Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-91.43,,0.0,-79.77,0.0,41.79,,,,,,,,0.0,0.0,0.0,3.2,3.0,0.13,3.0,1.04,2.4,2.28,0.01,2.28,0.79,2.3,2.28,0.09,2.28,0.24,2.0,1.96,0.08,1.96,0.33,1.7,1.67,0.02,1.67,0.43,2.0,1.87,0.05,1.87,0.7,2.5,2.39,0.1,2.39,0.54,2.4,2.11,0.32,2.11,0.98,1.8,1.7,0.06,1.7,0.6,1.1,1.06,0.2,1.06,0.16,0.9,0.5,0.02,0.5,0.74,1.8,1.45,0.17,1.45,0.51
0.0,2.93,4.083,0.02,0.0,-0.0,0.0,-11.5,,0.0,,0.0,,95.297,-19.388,97.25,2.6,2.55,0.49,2.55,0.55,1.8,1.83,0.36,1.83,0.06,2.0,1.96,0.25,1.96,0.28,1.7,1.71,0.03,1.71,0.13,1.8,1.62,0.01,1.62,0.71,1.9,1.68,0.04,1.68,0.95,2.6,2.6,0.05,2.6,0.38,2.4,2.24,0.05,2.24,0.86,1.6,1.49,0.06,1.49,0.7,1.0,0.95,0.09,0.95,0.17,0.9,0.54,0.03,0.54,0.72,1.7,0.9,0.1,0.9,1.44
1.0,2.89,4.257,1.34,0.03,-0.21,4.2,-7.877,,-4.042,,1.854,,93.53,-12.077,94.311,2.6,2.55,0.49,2.55,0.55,1.8,1.83,0.36,1.83,0.06,2.0,1.96,0.25,1.96,0.28,1.7,1.71,0.03,1.71,0.13,2.0,1.81,0.26,1.81,0.9,1.9,1.68,0.04,1.68,0.95,2.6,2.6,0.05,2.6,0.38,2.4,2.24,0.05,2.24,0.86,1.6,1.49,0.06,1.49,0.68,1.0,0.95,0.09,0.95,0.17,0.9,0.49,0.03,0.49,0.74,1.7,0.9,0.1,0.9,1.44
2.0,2.92,4.296,2.38,0.04,-0.33,6.4,-1.742,,-4.686,,2.793,,94.35,-12.591,95.192,2.6,2.55,0.49,2.55,0.55,1.8,1.83,0.36,1.83,0.06,2.0,1.96,0.25,1.96,0.28,1.7,1.71,0.03,1.71,0.13,2.0,1.81,0.26,1.81,0.9,1.9,1.68,0.04,1.68,0.95,2.6,2.6,0.05,2.6,0.38,2.4,2.24,0.05,2.24,0.86,1.6,1.49,0.06,1.49,0.68,1.0,0.95,0.09,0.95,0.17,0.9,0.49,0.03,0.49,0.74,1.7,0.9,0.1,0.9,1.44
3.0,2.95,4.336,3.42,0.05,-0.46,8.6,4.392,,-5.331,,3.732,,95.17,-13.105,96.073,2.6,2.55,0.49,2.55,0.55,1.8,1.83,0.36,1.83,0.06,2.0,1.96,0.25,1.96,0.28,1.7,1.71,0.03,1.71,0.13,2.0,1.81,0.26,1.81,0.9,1.9,1.68,0.04,1.68,0.95,2.6,2.6,0.05,2.6,0.38,2.4,2.24,0.05,2.24,0.86,1.6,1.49,0.06,1.49,0.68,1.0,0.95,0.09,0.95,0.17,0.9,0.49,0.03,0.49,0.74,1.7,0.9,0.1,0.9,1.44
4.0,2.99,4.376,4.45,0.05,-0.59,10.8,10.527,,-5.976,,4.671,,95.989,-13.618,96.957,2.6,2.55,0.49,2.55,0.55,1.8,1.83,0.36,1.83,0.06,2.0,1.96,0.25,1.96,0.28,1.7,1.71,0.03,1.71,0.13,2.0,1.81,0.26,1.81,0.9,1.9,1.68,0.04,1.68,0.95,2.6,2.6,0.05,2.6,0.38,2.4,2.24,0.05,2.24,0.86,1.6,1.49,0.06,1.49,0.68,1.0,0.95,0.09,0.95,0.17,0.9,0.49,0.03,0.49,0.74,1.7,0.9,0.1,0.9,1.44
5.0,3.03,4.415,5.49,0.07,-0.73,13.7,15.313,,-5.679,,5.835,,95.852,-13.874,96.863,2.6,2.55,0.49,2.55,0.55,1.8,1.83,0.36,1.83,0.06,2.0,1.96,0.25,1.96,0.28,1.7,1.71,0.03,1.71,0.13,2.0,1.81,0.26,1.81,0.9,1.9,1.68,0.04,1.68,0.95,2.6,2.6,0.05,2.6,0.38,2.4,2.24,0.05,2.24,0.86,1.6,1.49,0.06,1.49,0.68,1.0,0.95,0.09,0.95,0.17,0.9,0.49,0.03,0.49,0.74,1.7,0.9,0.1,0.9,1.44
6.0,3.09,4.454,6.52,0.09,-0.87,17.3,18.23,,-3.648,,7.289,,94.769,-14.164,95.851,2.6,2.55,0.49,2.55,0.55,1.8,1.83,0.36,1.83,0.06,2.0,1.96,0.25,1.96,0.28,1.7,1.71,0.03,1.71,0.13,2.0,1.81,0.26,1.81,0.9,1.9,1.68,0.04,1.68,0.95,2.6,2.6,0.05,2.6,0.38,2.4,2.24,0.05,2.24,0.86,1.6,1.49,0.06,1.49,0.68,1.0,0.95,0.09,0.95,0.17,0.9,0.49,0.03,0.49,0.74,1.7,0.9,0.1,0.9,1.44
7.0,3.15,4.493,7.55,0.11,-1.04,20.8,20.185,,1.337,,8.775,,95.031,-16.349,96.456,2.6,2.55,0.49,2.55,0.55,1.8,1.83,0.36,1.83,0.06,2.0,1.96,0.25,1.96,0.28,1.7,1.71,0.03,1.71,0.13,2.0,1.81,0.26,1.81,0.9,1.9,1.68,0.04,1.68,0.95,2.6,2.6,0.05,2.6,0.38,2.4,2.24,0.05,2.24,0.86,1.6,1.49,0.06,1.49,0.68,1.0,0.95,0.09,0.95,0.17,0.9,0.49,0.03,0.49,0.74,1.7,0.9,0.1,0.9,1.44
8.0,3.21,4.532,8.58,0.13,-1.22,24.0,20.539,,1.846,,10.194,,94.478,-16.232,95.891,2.6,2.46,0.46,2.46,0.55,1.9,1.86,0.27,1.86,0.02,1.9,1.78,0.35,1.78,0.33,1.7,1.68,0.04,1.68,0.16,2.0,1.83,0.26,1.83,0.88,1.9,1.62,0.04,1.62,1.0,2.5,2.43,0.12,2.43,0.46,2.2,2.05,0.23,2.05,0.83,1.7,1.54,0.02,1.54,0.66,1.0,0.97,0.05,0.97,0.16,0.9,0.46,0.04,0.46,0.76,1.7,0.74,0.1,0.74,1.51
