Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-32.6,,0.115,-33.41,-0.0,9.46,,,,,,,,0.0,0.0,0.0,1.5,1.42,0.18,1.42,0.6,0.9,0.63,0.09,0.63,0.54,2.0,1.87,0.13,1.87,0.6,1.2,0.91,0.17,0.91,0.68,2.0,1.97,0.11,1.97,0.41,0.9,0.81,0.21,0.81,0.24,2.1,1.85,0.1,1.85,0.93,1.8,1.65,0.07,1.65,0.14,2.4,2.43,0.26,2.43,0.29,1.8,1.58,0.21,1.58,0.77,2.0,1.77,0.09,1.77,0.03,1.9,1.78,0.04,1.78,0.73
0.0,2.93,1.31,0.0,-0.0,-0.0,0.0,-11.5,-11.5,0.0,0.0,0.0,0.0,96.565,-19.646,98.543,1.5,1.42,0.13,1.42,0.41,1.0,0.69,0.17,0.69,0.66,2.0,1.86,0.08,1.86,0.68,1.1,0.87,0.03,0.87,0.57,2.0,1.87,0.15,1.87,0.79,1.3,1.28,0.24,1.28,0.05,3.0,3.01,0.86,3.01,0.03,1.6,1.52,0.35,1.52,0.21,2.7,2.63,0.07,2.63,0.27,1.3,1.25,0.24,1.25,0.47,2.0,1.82,0.08,1.82,0.01,1.8,1.75,0.06,1.75,0.53
1.0,2.89,1.275,1.27,0.0,-0.19,1.4,-9.507,-9.37,-4.054,0.073,0.7,-0.671,96.118,-11.032,96.749,1.5,1.42,0.13,1.42,0.41,1.0,0.69,0.17,0.69,0.66,2.0,1.86,0.08,1.86,0.68,1.1,0.87,0.03,0.87,0.57,2.0,1.87,0.15,1.87,0.79,1.3,1.28,0.24,1.28,0.05,3.0,3.01,0.86,3.01,0.03,1.6,1.52,0.35,1.52,0.21,2.7,2.63,0.07,2.63,0.27,1.3,1.25,0.24,1.25,0.47,2.0,1.82,0.08,1.82,0.01,1.8,1.75,0.06,1.75,0.53
2.0,2.93,1.347,2.38,0.0,-0.31,2.9,-6.851,-5.548,-4.235,0.994,1.446,-1.483,97.054,-8.434,97.42,1.5,1.42,0.13,1.42,0.41,1.0,0.69,0.17,0.69,0.66,2.0,1.86,0.08,1.86,0.68,1.1,0.87,0.03,0.87,0.57,2.0,1.87,0.15,1.87,0.79,1.3,1.28,0.24,1.28,0.05,3.0,3.01,0.86,3.01,0.03,1.6,1.52,0.35,1.52,0.21,2.7,2.63,0.07,2.63,0.27,1.3,1.25,0.24,1.25,0.47,2.0,1.82,0.08,1.82,0.01,1.8,1.75,0.06,1.75,0.53
3.0,3.0,1.365,3.43,0.0,-0.4,4.7,-3.087,-0.066,-2.316,1.834,2.35,-2.383,97.629,-8.554,98.003,1.5,1.42,0.13,1.42,0.41,1.0,0.69,0.17,0.69,0.66,2.0,1.86,0.08,1.86,0.68,1.1,0.87,0.03,0.87,0.57,2.0,1.87,0.15,1.87,0.79,1.3,1.28,0.24,1.28,0.05,3.0,3.01,0.86,3.01,0.03,1.6,1.52,0.35,1.52,0.21,2.7,2.63,0.07,2.63,0.27,1.3,1.25,0.24,1.25,0.47,2.0,1.82,0.08,1.82,0.01,1.8,1.75,0.06,1.75,0.53
4.0,3.08,1.29,4.47,0.0,-0.49,6.8,1.61,6.596,-0.611,2.736,3.512,-3.328,97.101,-9.326,97.548,1.5,1.42,0.13,1.42,0.41,1.0,0.69,0.17,0.69,0.66,2.0,1.86,0.08,1.86,0.68,1.1,0.87,0.03,0.87,0.57,2.0,1.87,0.15,1.87,0.79,1.3,1.28,0.24,1.28,0.05,3.0,3.01,0.86,3.01,0.03,1.6,1.52,0.35,1.52,0.21,2.7,2.63,0.07,2.63,0.27,1.3,1.25,0.24,1.25,0.47,2.0,1.82,0.08,1.82,0.01,1.8,1.75,0.06,1.75,0.53
5.0,3.16,1.481,5.51,0.01,-0.61,9.3,4.896,12.303,-5.015,7.923,5.123,-4.279,97.659,-12.075,98.403,1.5,1.47,0.08,1.47,0.44,1.0,0.68,0.15,0.68,0.66,1.9,1.84,0.09,1.84,0.44,1.2,0.92,0.05,0.92,0.56,1.8,1.76,0.06,1.76,0.43,1.5,1.44,0.39,1.44,0.0,3.0,2.99,0.74,2.99,0.34,1.7,1.69,0.18,1.69,0.1,2.6,2.6,0.11,2.6,0.21,1.3,1.2,0.27,1.2,0.51,2.0,1.79,0.11,1.79,0.02,1.9,1.68,0.02,1.68,0.75
6.0,3.24,1.546,6.55,0.01,-0.73,12.0,6.95,16.006,-2.309,6.216,6.868,-5.38,97.141,-12.136,97.897,1.5,1.47,0.08,1.47,0.44,1.0,0.68,0.15,0.68,0.66,1.9,1.84,0.09,1.84,0.44,1.2,0.92,0.05,0.92,0.56,1.8,1.76,0.06,1.76,0.43,1.5,1.44,0.39,1.44,0.0,3.0,2.99,0.74,2.99,0.34,1.7,1.69,0.18,1.69,0.1,2.6,2.6,0.11,2.6,0.21,1.3,1.2,0.27,1.2,0.51,2.0,1.79,0.11,1.79,0.02,1.9,1.68,0.02,1.68,0.75
7.0,3.32,1.584,7.58,0.02,-0.88,15.0,7.832,17.693,0.587,2.63,8.759,-6.605,96.778,-12.756,97.615,1.5,1.47,0.08,1.47,0.44,1.0,0.68,0.15,0.68,0.66,1.9,1.84,0.09,1.84,0.44,1.2,0.92,0.05,0.92,0.56,1.8,1.76,0.06,1.76,0.43,1.5,1.44,0.39,1.44,0.0,3.0,2.99,0.74,2.99,0.34,1.7,1.69,0.18,1.69,0.1,2.6,2.6,0.11,2.6,0.21,1.3,1.2,0.27,1.2,0.51,2.0,1.79,0.11,1.79,0.02,1.9,1.68,0.02,1.68,0.75
8.0,3.39,1.622,8.62,0.02,-1.05,18.2,7.881,17.927,2.316,-1.366,10.757,-7.912,96.755,-14.389,97.821,1.5,1.47,0.08,1.47,0.44,1.0,0.68,0.15,0.68,0.66,1.9,1.84,0.09,1.84,0.44,1.2,0.92,0.05,0.92,0.56,1.8,1.76,0.06,1.76,0.43,1.5,1.44,0.39,1.44,0.0,3.0,2.99,0.74,2.99,0.34,1.7,1.69,0.18,1.69,0.1,2.6,2.6,0.11,2.6,0.21,1.3,1.2,0.27,1.2,0.51,2.0,1.79,0.11,1.79,0.02,1.9,1.68,0.02,1.68,0.75
