Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
,,0.047,-79.6,0.0,41.65,,,,,,,,0.0,0.0,0.0,1.5,1.47,0.22,1.47,0.02,1.0,0.58,0.01,0.58,0.74,2.0,1.92,0.09,1.92,0.32,1.2,0.83,0.05,0.83,0.69,1.2,1.09,0.02,1.09,0.46,2.5,2.49,0.52,2.49,0.12,0.7,0.38,0.06,0.38,0.5,0.6,0.55,0.29,0.55,0.11,1.3,0.65,0.1,0.65,1.03,0.8,0.66,0.04,0.66,0.33,1.0,0.24,0.33,0.24,0.86,0.7,0.5,0.09,0.5,0.46
0.0,2.93,4.074,0.06,0.0,-0.01,0.0,-11.5,-11.5,0.0,0.0,0.0,0.0,93.916,-19.108,95.84,1.7,1.71,0.18,1.71,0.06,0.8,0.53,0.17,0.53,0.59,2.2,2.07,0.2,2.07,0.81,0.9,0.74,0.21,0.74,0.5,1.5,1.45,0.11,1.45,0.45,2.5,2.46,0.13,2.46,0.06,0.8,0.52,0.04,0.52,0.6,0.7,0.66,0.09,0.66,0.31,1.3,0.64,0.0,0.64,0.91,0.8,0.76,0.01,0.76,0.35,0.8,0.6,0.26,0.6,0.41,0.7,0.62,0.12,0.62,0.11
1.0,2.95,4.29,1.35,0.01,-0.14,2.6,-8.863,-9.266,1.082,-0.687,0.959,-1.618,94.8,-13.76,95.794,1.6,1.55,0.04,1.55,0.02,0.8,0.53,0.18,0.53,0.56,2.2,2.08,0.22,2.08,0.81,1.0,0.75,0.19,0.75,0.52,1.6,1.5,0.11,1.5,0.3,2.5,2.47,0.13,2.47,0.07,0.9,0.59,0.09,0.59,0.62,0.7,0.66,0.09,0.66,0.31,1.3,0.71,0.09,0.71,0.94,0.8,0.75,0.01,0.75,0.36,0.9,0.74,0.11,0.74,0.43,0.7,0.66,0.15,0.66,0.08
2.0,2.99,4.331,2.39,0.01,-0.25,4.6,-6.733,-7.461,1.957,-1.243,1.735,-2.925,95.515,-9.44,95.98,1.6,1.55,0.04,1.55,0.02,0.8,0.53,0.18,0.53,0.56,2.2,2.08,0.22,2.08,0.81,1.0,0.75,0.19,0.75,0.52,1.6,1.5,0.11,1.5,0.3,2.5,2.47,0.13,2.47,0.07,0.9,0.59,0.09,0.59,0.62,0.7,0.66,0.09,0.66,0.31,1.3,0.71,0.09,0.71,0.94,0.8,0.75,0.01,0.75,0.36,0.9,0.74,0.11,0.74,0.43,0.7,0.66,0.15,0.66,0.08
3.0,3.04,4.372,3.43,0.01,-0.36,7.5,-3.069,-4.138,-0.859,2.761,2.855,-4.642,95.223,-9.906,95.737,1.6,1.55,0.04,1.55,0.02,0.8,0.53,0.18,0.53,0.56,2.2,2.08,0.22,2.08,0.81,1.0,0.75,0.19,0.75,0.52,1.6,1.5,0.11,1.5,0.3,2.5,2.47,0.13,2.47,0.07,0.9,0.59,0.09,0.59,0.62,0.7,0.66,0.09,0.66,0.31,1.3,0.71,0.09,0.71,0.94,0.8,0.75,0.01,0.75,0.36,0.9,0.74,0.11,0.74,0.43,0.7,0.66,0.15,0.66,0.08
4.0,3.09,4.411,4.47,0.02,-0.48,10.9,0.974,-0.67,-3.743,7.636,4.342,-6.594,94.827,-12.191,95.608,1.5,1.45,0.04,1.45,0.01,0.8,0.52,0.19,0.52,0.55,2.2,2.09,0.19,2.09,0.68,1.0,0.76,0.14,0.76,0.54,1.6,1.51,0.08,1.51,0.38,2.6,2.56,0.2,2.56,0.1,0.9,0.63,0.1,0.63,0.61,0.8,0.68,0.1,0.68,0.31,1.4,0.72,0.16,0.72,0.96,0.8,0.72,0.05,0.72,0.34,1.0,0.76,0.08,0.76,0.47,0.8,0.67,0.2,0.67,0.2
5.0,3.16,4.45,5.51,0.02,-0.6,14.5,3.675,1.003,-1.853,7.757,6.071,-8.436,95.563,-11.717,96.279,1.5,1.45,0.04,1.45,0.01,0.8,0.52,0.19,0.52,0.55,2.2,2.09,0.19,2.09,0.68,1.0,0.76,0.14,0.76,0.54,1.6,1.51,0.08,1.51,0.38,2.6,2.56,0.2,2.56,0.1,0.9,0.63,0.1,0.63,0.61,0.8,0.68,0.1,0.68,0.31,1.4,0.72,0.16,0.72,0.96,0.8,0.72,0.05,0.72,0.34,1.0,0.76,0.08,0.76,0.47,0.8,0.67,0.2,0.67,0.2
6.0,3.23,4.489,6.55,0.02,-0.74,17.3,6.835,3.13,-3.709,3.955,7.313,-10.086,95.415,-13.78,96.405,1.5,1.45,0.04,1.45,0.01,0.8,0.52,0.19,0.52,0.55,2.2,2.09,0.19,2.09,0.68,1.0,0.76,0.14,0.76,0.54,1.6,1.51,0.08,1.51,0.38,2.6,2.56,0.2,2.56,0.1,0.9,0.63,0.1,0.63,0.61,0.8,0.68,0.1,0.68,0.31,1.4,0.72,0.16,0.72,0.96,0.8,0.72,0.05,0.72,0.34,1.0,0.76,0.08,0.76,0.47,0.8,0.67,0.2,0.67,0.2
7.0,3.29,4.528,7.58,0.03,-0.9,18.6,8.256,3.732,-0.596,1.651,8.276,-11.271,95.474,-15.231,96.682,1.5,1.45,0.04,1.45,0.01,0.8,0.52,0.19,0.52,0.55,2.2,2.09,0.19,2.09,0.68,1.0,0.76,0.14,0.76,0.54,1.6,1.51,0.08,1.51,0.38,2.6,2.56,0.2,2.56,0.1,0.9,0.63,0.1,0.63,0.61,0.8,0.68,0.1,0.68,0.31,1.4,0.72,0.16,0.72,0.96,0.8,0.72,0.05,0.72,0.34,1.0,0.76,0.08,0.76,0.47,0.8,0.67,0.2,0.67,0.2
8.0,3.37,4.567,8.61,0.05,-1.07,19.5,9.19,3.908,3.895,-0.232,9.16,-12.326,95.59,-16.51,97.006,1.5,1.45,0.04,1.45,0.01,0.8,0.52,0.19,0.52,0.55,2.2,2.09,0.19,2.09,0.68,1.0,0.76,0.14,0.76,0.54,1.6,1.51,0.08,1.51,0.38,2.6,2.56,0.2,2.56,0.1,0.9,0.63,0.1,0.63,0.61,0.8,0.68,0.1,0.68,0.31,1.4,0.72,0.16,0.72,0.96,0.8,0.72,0.05,0.72,0.34,1.0,0.76,0.08,0.76,0.47,0.8,0.67,0.2,0.67,0.2
