Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-95.46,,0.0,-83.0,0.0,44.37,,,,,,,,0.0,0.0,0.0,0.6,0.47,0.09,0.47,0.35,1.2,1.22,0.35,1.22,0.04,1.0,-0.05,0.1,-0.05,0.92,1.5,0.0,0.17,0.0,1.53,0.8,-0.02,0.47,-0.02,0.6,3.4,-2.55,0.77,-2.55,2.19,1.3,0.01,0.27,0.01,1.2,1.1,-0.08,0.16,-0.08,1.02,1.1,-0.2,0.28,-0.2,1.09,1.8,0.15,0.49,0.15,1.79,0.1,0.12,0.01,0.12,0.08,0.7,-0.55,0.18,-0.55,0.38
0.0,2.93,4.189,0.02,0.0,-0.0,0.0,-11.5,-11.5,0.0,0.0,0.0,0.0,98.654,-20.071,100.675,0.8,0.62,0.19,0.62,0.55,1.1,0.83,0.02,0.83,0.71,0.9,-0.1,0.09,-0.1,0.87,1.7,-0.27,0.25,-0.27,1.7,0.3,-0.05,0.4,-0.05,0.03,2.8,-1.57,0.39,-1.57,2.32,0.8,0.16,0.23,0.16,0.61,1.2,-0.5,0.08,-0.5,1.09,1.1,-0.52,0.06,-0.52,0.89,1.5,-0.16,0.17,-0.16,1.53,0.1,0.0,0.08,0.0,0.08,1.2,-1.1,0.31,-1.1,0.01
1.0,2.85,4.368,1.33,-0.02,-0.24,4.2,-13.561,-12.123,1.799,5.043,2.25,-2.05,99.468,-14.18,100.483,0.8,0.62,0.19,0.62,0.55,1.1,0.83,0.02,0.83,0.71,0.9,-0.1,0.09,-0.1,0.87,1.7,-0.27,0.25,-0.27,1.7,0.3,-0.05,0.4,-0.05,0.03,2.8,-1.57,0.39,-1.57,2.32,0.8,0.16,0.23,0.16,0.61,1.2,-0.5,0.08,-0.5,1.09,1.1,-0.52,0.06,-0.52,0.89,1.5,-0.16,0.17,-0.16,1.53,0.1,0.0,0.08,0.0,0.08,1.2,-1.1,0.31,-1.1,0.01
2.0,2.85,4.406,2.37,-0.03,-0.38,6.6,-13.654,-9.842,-1.365,7.419,3.26,-3.468,97.354,-14.593,98.446,0.8,0.62,0.19,0.62,0.55,1.1,0.83,0.02,0.83,0.71,0.9,-0.1,0.09,-0.1,0.87,1.7,-0.27,0.25,-0.27,1.7,0.3,-0.05,0.4,-0.05,0.03,2.8,-1.57,0.39,-1.57,2.32,0.8,0.16,0.23,0.16,0.61,1.2,-0.5,0.08,-0.5,1.09,1.1,-0.52,0.06,-0.52,0.89,1.5,-0.16,0.17,-0.16,1.53,0.1,0.0,0.08,0.0,0.08,1.2,-1.1,0.31,-1.1,0.01
3.0,2.86,4.444,3.41,-0.04,-0.53,9.1,-10.747,-5.415,-1.182,10.383,4.412,-4.795,97.515,-15.295,98.712,0.8,0.65,0.15,0.65,0.5,1.0,0.45,0.11,0.45,0.88,0.9,-0.15,0.06,-0.15,0.91,1.7,-0.04,0.28,-0.04,1.69,0.1,-0.09,0.45,-0.09,0.0,2.8,-1.59,0.33,-1.59,2.31,0.9,0.26,0.07,0.26,0.68,1.1,-0.44,0.16,-0.44,1.03,1.1,-0.54,0.04,-0.54,0.9,1.5,-0.09,0.23,-0.09,1.46,0.1,0.0,0.04,0.0,0.07,1.4,-1.26,0.38,-1.26,0.1
4.0,2.89,4.482,4.44,-0.05,-0.68,11.6,-7.846,-0.998,-0.999,13.341,5.561,-6.12,97.675,-15.996,98.983,0.8,0.65,0.15,0.65,0.5,1.0,0.45,0.11,0.45,0.88,0.9,-0.15,0.06,-0.15,0.91,1.7,-0.04,0.28,-0.04,1.69,0.1,-0.09,0.45,-0.09,0.0,2.8,-1.59,0.33,-1.59,2.31,0.9,0.26,0.07,0.26,0.68,1.1,-0.44,0.16,-0.44,1.03,1.1,-0.54,0.04,-0.54,0.9,1.5,-0.09,0.23,-0.09,1.46,0.1,0.0,0.04,0.0,0.07,1.4,-1.26,0.38,-1.26,0.1
5.0,2.92,4.52,5.47,-0.06,-0.83,13.8,-4.647,3.004,-1.049,13.518,6.709,-7.117,97.961,-16.157,99.292,0.8,0.65,0.15,0.65,0.5,1.0,0.45,0.11,0.45,0.88,0.9,-0.15,0.06,-0.15,0.91,1.7,-0.04,0.28,-0.04,1.69,0.1,-0.09,0.45,-0.09,0.0,2.8,-1.59,0.33,-1.59,2.31,0.9,0.26,0.07,0.26,0.68,1.1,-0.44,0.16,-0.44,1.03,1.1,-0.54,0.04,-0.54,0.9,1.5,-0.09,0.23,-0.09,1.46,0.1,0.0,0.04,0.0,0.07,1.4,-1.26,0.38,-1.26,0.1
6.0,2.96,4.557,6.5,-0.08,-1.0,15.7,-1.24,6.637,-1.122,11.556,7.881,-7.884,98.377,-16.329,99.731,0.8,0.65,0.15,0.65,0.5,1.0,0.45,0.11,0.45,0.88,0.9,-0.15,0.06,-0.15,0.91,1.7,-0.04,0.28,-0.04,1.69,0.1,-0.09,0.45,-0.09,0.0,2.8,-1.59,0.33,-1.59,2.31,0.9,0.26,0.07,0.26,0.68,1.1,-0.44,0.16,-0.44,1.03,1.1,-0.54,0.04,-0.54,0.9,1.5,-0.09,0.23,-0.09,1.46,0.1,0.0,0.04,0.0,0.07,1.4,-1.26,0.38,-1.26,0.1
7.0,3.01,4.595,7.53,-0.09,-1.17,17.8,2.034,10.17,-0.597,10.131,9.143,-8.789,98.889,-18.132,100.546,0.8,0.65,0.15,0.65,0.5,1.0,0.45,0.11,0.45,0.88,0.9,-0.15,0.06,-0.15,0.91,1.7,-0.04,0.28,-0.04,1.69,0.1,-0.09,0.45,-0.09,0.0,2.8,-1.59,0.33,-1.59,2.31,0.9,0.26,0.07,0.26,0.68,1.1,-0.44,0.16,-0.44,1.03,1.1,-0.54,0.04,-0.54,0.9,1.5,-0.09,0.23,-0.09,1.46,0.1,0.0,0.04,0.0,0.07,1.4,-1.26,0.38,-1.26,0.1
8.0,3.05,4.632,8.54,-0.1,-1.37,20.1,2.905,10.518,1.012,7.344,10.5,-9.736,98.949,-19.319,100.826,0.8,0.65,0.15,0.65,0.5,1.0,0.45,0.11,0.45,0.88,0.9,-0.15,0.06,-0.15,0.91,1.7,-0.04,0.28,-0.04,1.69,0.1,-0.09,0.45,-0.09,0.0,2.8,-1.59,0.33,-1.59,2.31,0.9,0.26,0.07,0.26,0.68,1.1,-0.44,0.16,-0.44,1.03,1.1,-0.54,0.04,-0.54,0.9,1.5,-0.09,0.23,-0.09,1.46,0.1,0.0,0.04,0.0,0.07,1.4,-1.26,0.38,-1.26,0.1
9.0,3.09,4.669,9.56,-0.12,-1.58,22.4,3.48,10.473,2.755,4.39,11.868,-10.687,98.953,-20.43,101.048,0.8,0.65,0.15,0.65,0.5,1.0,0.45,0.11,0.45,0.88,0.9,-0.15,0.06,-0.15,0.91,1.7,-0.04,0.28,-0.04,1.69,0.1,-0.09,0.45,-0.09,0.0,2.8,-1.59,0.33,-1.59,2.31,0.9,0.26,0.07,0.26,0.68,1.1,-0.44,0.16,-0.44,1.03,1.1,-0.54,0.04,-0.54,0.9,1.5,-0.09,0.23,-0.09,1.46,0.1,0.0,0.04,0.0,0.07,1.4,-1.26,0.38,-1.26,0.1
