Position;Height above ground [m];Time;X [m];Y [m];Z [m];Opening Angle [°];Stalling Angle Left [°];Stalling Angle Right [°];Roll Angle Left [°];Roll Angle Right [°];Yaw Angle Left [°];Yaw Angle Right [°];Speed hor. [km/h];Speed vert. [km/h];Speed resulting [km/h];WindTime|WindName|WindSpeed|WindSpeedTangent|WindTurbulence|WindSpeedCleanTan|WindSpeedCross
-93.00;NaN;0001-01-01T00:00:00.1170000+01:00;-81.11;0.00;42.86;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.000;0.000;0.000;"0001-01-01T00:00:00.000+01:00|W1|1.0|0.16|0.23|0.16|0.46;0001-01-01T00:00:00.000+01:00|W2|0.7|0.39|0.09|0.39|0.53;0001-01-01T00:00:00.000+01:00|W3|0.6|-0.58|0.23|-0.58|0.11;0001-01-01T00:00:00.000+01:00|W4|0.6|0.11|0.00|0.11|0.55;0001-01-01T00:00:00.000+01:00|W5|0.8|0.75|0.16|0.75|0.02;0001-01-01T00:00:00.000+01:00|W6|0.9|0.58|0.29|0.58|0.67;0001-01-01T00:00:00.000+01:00|W7|0.8|0.45|0.28|0.45|0.63;0001-01-01T00:00:00.000+01:00|W8|1.1|1.06|0.06|1.06|0.14;0001-01-01T00:00:00.000+01:00|W9|0.7|0.35|0.10|0.35|0.29;0001-01-01T00:00:00.000+01:00|W10|0.7|0.63|0.05|0.63|0.18;0001-01-01T00:00:00.000+01:00|W11|0.6|0.50|0.19|0.50|0.20;0001-01-01T00:00:00.000+01:00|W12|0.4|0.19|0.01|0.19|0.35"
0.00;2.93;0001-01-01T00:00:04.1710000+01:00;0.03;0.00;-0.01;0.0;-11.500;-11.500;0.000;0.000;0.000;0.000;96.730;-19.680;98.712;"0001-01-01T00:00:04.252+01:00|W1|0.7|0.17|0.21|0.17|0.02;0001-01-01T00:00:04.252+01:00|W2|0.7|0.31|0.05|0.31|0.62;0001-01-01T00:00:04.252+01:00|W3|0.5|-0.31|0.08|-0.31|0.30;0001-01-01T00:00:04.252+01:00|W4|0.6|0.21|0.04|0.21|0.51;0001-01-01T00:00:04.252+01:00|W5|0.6|0.46|0.10|0.46|0.22;0001-01-01T00:00:04.252+01:00|W6|1.3|1.24|0.28|1.24|0.38;0001-01-01T00:00:04.252+01:00|W7|0.7|0.37|0.04|0.37|0.65;0001-01-01T00:00:04.252+01:00|W8|1.0|0.95|0.18|0.95|0.07;0001-01-01T00:00:04.252+01:00|W9|0.9|0.81|0.13|0.81|0.06;0001-01-01T00:00:04.252+01:00|W10|0.7|0.63|0.05|0.63|0.03;0001-01-01T00:00:04.252+01:00|W11|0.6|0.42|0.07|0.42|0.22;0001-01-01T00:00:04.252+01:00|W12|0.6|0.27|0.10|0.27|0.47"
1.00;2.86;0001-01-01T00:00:04.1730000+01:00;1.34;0.00;-0.22;3.9;-10.295;-11.734;-3.641;4.255;1.681;-2.334;96.221;-15.782;97.507;"0001-01-01T00:00:04.252+01:00|W1|0.7|0.17|0.21|0.17|0.02;0001-01-01T00:00:04.252+01:00|W2|0.7|0.31|0.05|0.31|0.62;0001-01-01T00:00:04.252+01:00|W3|0.5|-0.31|0.08|-0.31|0.30;0001-01-01T00:00:04.252+01:00|W4|0.6|0.21|0.04|0.21|0.51;0001-01-01T00:00:04.252+01:00|W5|0.6|0.46|0.10|0.46|0.22;0001-01-01T00:00:04.252+01:00|W6|1.3|1.24|0.28|1.24|0.38;0001-01-01T00:00:04.252+01:00|W7|0.7|0.37|0.04|0.37|0.65;0001-01-01T00:00:04.252+01:00|W8|1.0|0.95|0.18|0.95|0.07;0001-01-01T00:00:04.252+01:00|W9|0.9|0.81|0.13|0.81|0.06;0001-01-01T00:00:04.252+01:00|W10|0.7|0.63|0.05|0.63|0.03;0001-01-01T00:00:04.252+01:00|W11|0.6|0.42|0.07|0.42|0.22;0001-01-01T00:00:04.252+01:00|W12|0.6|0.27|0.10|0.27|0.47"
2.00;2.84;0001-01-01T00:00:04.3300000+01:00;2.37;-0.00;-0.39;6.9;-9.138;-11.695;-6.002;6.989;3.017;-4.127;95.974;-12.698;96.811;"0001-01-01T00:00:04.252+01:00|W1|0.7|0.17|0.21|0.17|0.02;0001-01-01T00:00:04.252+01:00|W2|0.7|0.31|0.05|0.31|0.62;0001-01-01T00:00:04.252+01:00|W3|0.5|-0.31|0.08|-0.31|0.30;0001-01-01T00:00:04.252+01:00|W4|0.6|0.21|0.04|0.21|0.51;0001-01-01T00:00:04.252+01:00|W5|0.6|0.46|0.10|0.46|0.22;0001-01-01T00:00:04.252+01:00|W6|1.3|1.24|0.28|1.24|0.38;0001-01-01T00:00:04.252+01:00|W7|0.7|0.37|0.04|0.37|0.65;0001-01-01T00:00:04.252+01:00|W8|1.0|0.95|0.18|0.95|0.07;0001-01-01T00:00:04.252+01:00|W9|0.9|0.81|0.13|0.81|0.06;0001-01-01T00:00:04.252+01:00|W10|0.7|0.63|0.05|0.63|0.03;0001-01-01T00:00:04.252+01:00|W11|0.6|0.42|0.07|0.42|0.22;0001-01-01T00:00:04.252+01:00|W12|0.6|0.27|0.10|0.27|0.47"
3.00;2.85;0001-01-01T00:00:04.4440000+01:00;3.40;-0.02;-0.54;8.2;-6.258;-9.752;-3.948;4.351;4.389;-5.457;97.051;-9.622;97.528;"0001-01-01T00:00:04.497+01:00|W1|0.7|0.28|0.23|0.28|0.03;0001-01-01T00:00:04.497+01:00|W2|0.7|0.23|0.12|0.23|0.59;0001-01-01T00:00:04.497+01:00|W3|0.4|-0.18|0.15|-0.18|0.30;0001-01-01T00:00:04.497+01:00|W4|0.5|0.23|0.00|0.23|0.44;0001-01-01T00:00:04.497+01:00|W5|0.5|0.37|0.23|0.37|0.21;0001-01-01T00:00:04.497+01:00|W6|1.4|1.28|0.33|1.28|0.42;0001-01-01T00:00:04.497+01:00|W7|0.7|0.37|0.05|0.37|0.65;0001-01-01T00:00:04.497+01:00|W8|0.9|0.94|0.19|0.94|0.07;0001-01-01T00:00:04.497+01:00|W9|1.0|0.94|0.24|0.94|0.04;0001-01-01T00:00:04.497+01:00|W10|0.6|0.57|0.00|0.57|0.02;0001-01-01T00:00:04.497+01:00|W11|0.6|0.42|0.06|0.42|0.22;0001-01-01T00:00:04.497+01:00|W12|0.6|0.27|0.10|0.27|0.48"
4.00;2.90;0001-01-01T00:00:04.4970000+01:00;4.44;-0.00;-0.66;12.1;-3.390;-5.111;-1.901;4.357;5.757;-7.049;97.546;-12.348;98.324;"0001-01-01T00:00:04.497+01:00|W1|0.7|0.28|0.23|0.28|0.03;0001-01-01T00:00:04.497+01:00|W2|0.7|0.23|0.12|0.23|0.59;0001-01-01T00:00:04.497+01:00|W3|0.4|-0.18|0.15|-0.18|0.30;0001-01-01T00:00:04.497+01:00|W4|0.5|0.23|0.00|0.23|0.44;0001-01-01T00:00:04.497+01:00|W5|0.5|0.37|0.23|0.37|0.21;0001-01-01T00:00:04.497+01:00|W6|1.4|1.28|0.33|1.28|0.42;0001-01-01T00:00:04.497+01:00|W7|0.7|0.37|0.05|0.37|0.65;0001-01-01T00:00:04.497+01:00|W8|0.9|0.94|0.19|0.94|0.07;0001-01-01T00:00:04.497+01:00|W9|1.0|0.94|0.24|0.94|0.04;0001-01-01T00:00:04.497+01:00|W10|0.6|0.57|0.00|0.57|0.02;0001-01-01T00:00:04.497+01:00|W11|0.6|0.42|0.06|0.42|0.22;0001-01-01T00:00:04.497+01:00|W12|0.6|0.27|0.10|0.27|0.48"
5.00;2.96;0001-01-01T00:00:04.5350000+01:00;5.48;0.01;-0.80;16.1;-1.197;-0.688;1.291;4.831;7.544;-8.592;97.690;-14.241;98.723;"0001-01-01T00:00:04.497+01:00|W1|0.7|0.28|0.23|0.28|0.03;0001-01-01T00:00:04.497+01:00|W2|0.7|0.23|0.12|0.23|0.59;0001-01-01T00:00:04.497+01:00|W3|0.4|-0.18|0.15|-0.18|0.30;0001-01-01T00:00:04.497+01:00|W4|0.5|0.23|0.00|0.23|0.44;0001-01-01T00:00:04.497+01:00|W5|0.5|0.37|0.23|0.37|0.21;0001-01-01T00:00:04.497+01:00|W6|1.4|1.28|0.33|1.28|0.42;0001-01-01T00:00:04.497+01:00|W7|0.7|0.37|0.05|0.37|0.65;0001-01-01T00:00:04.497+01:00|W8|0.9|0.94|0.19|0.94|0.07;0001-01-01T00:00:04.497+01:00|W9|1.0|0.94|0.24|0.94|0.04;0001-01-01T00:00:04.497+01:00|W10|0.6|0.57|0.00|0.57|0.02;0001-01-01T00:00:04.497+01:00|W11|0.6|0.42|0.06|0.42|0.22;0001-01-01T00:00:04.497+01:00|W12|0.6|0.27|0.10|0.27|0.48"
6.00;3.01;0001-01-01T00:00:04.5730000+01:00;6.51;0.02;-0.95;19.7;0.418;2.919;5.122;5.129;9.794;-9.965;97.632;-14.441;98.695;"0001-01-01T00:00:04.497+01:00|W1|0.7|0.28|0.23|0.28|0.03;0001-01-01T00:00:04.497+01:00|W2|0.7|0.23|0.12|0.23|0.59;0001-01-01T00:00:04.497+01:00|W3|0.4|-0.18|0.15|-0.18|0.30;0001-01-01T00:00:04.497+01:00|W4|0.5|0.23|0.00|0.23|0.44;0001-01-01T00:00:04.497+01:00|W5|0.5|0.37|0.23|0.37|0.21;0001-01-01T00:00:04.497+01:00|W6|1.4|1.28|0.33|1.28|0.42;0001-01-01T00:00:04.497+01:00|W7|0.7|0.37|0.05|0.37|0.65;0001-01-01T00:00:04.497+01:00|W8|0.9|0.94|0.19|0.94|0.07;0001-01-01T00:00:04.497+01:00|W9|1.0|0.94|0.24|0.94|0.04;0001-01-01T00:00:04.497+01:00|W10|0.6|0.57|0.00|0.57|0.02;0001-01-01T00:00:04.497+01:00|W11|0.6|0.42|0.06|0.42|0.22;0001-01-01T00:00:04.497+01:00|W12|0.6|0.27|0.10|0.27|0.48"
7.00;3.07;0001-01-01T00:00:04.6110000+01:00;7.54;0.02;-1.12;23.2;2.465;6.775;6.712;5.402;12.216;-11.088;97.608;-17.045;99.085;"0001-01-01T00:00:04.497+01:00|W1|0.7|0.28|0.23|0.28|0.03;0001-01-01T00:00:04.497+01:00|W2|0.7|0.23|0.12|0.23|0.59;0001-01-01T00:00:04.497+01:00|W3|0.4|-0.18|0.15|-0.18|0.30;0001-01-01T00:00:04.497+01:00|W4|0.5|0.23|0.00|0.23|0.44;0001-01-01T00:00:04.497+01:00|W5|0.5|0.37|0.23|0.37|0.21;0001-01-01T00:00:04.497+01:00|W6|1.4|1.28|0.33|1.28|0.42;0001-01-01T00:00:04.497+01:00|W7|0.7|0.37|0.05|0.37|0.65;0001-01-01T00:00:04.497+01:00|W8|0.9|0.94|0.19|0.94|0.07;0001-01-01T00:00:04.497+01:00|W9|1.0|0.94|0.24|0.94|0.04;0001-01-01T00:00:04.497+01:00|W10|0.6|0.57|0.00|0.57|0.02;0001-01-01T00:00:04.497+01:00|W11|0.6|0.42|0.06|0.42|0.22;0001-01-01T00:00:04.497+01:00|W12|0.6|0.27|0.10|0.27|0.48"
8.00;3.11;0001-01-01T00:00:04.6490000+01:00;8.56;0.02;-1.31;26.5;3.222;8.011;9.446;0.904;14.606;-12.042;97.501;-18.336;99.211;"0001-01-01T00:00:04.750+01:00|W1|0.7|0.42|0.20|0.42|0.08;0001-01-01T00:00:04.750+01:00|W2|0.7|0.23|0.12|0.23|0.59;0001-01-01T00:00:04.750+01:00|W3|0.4|-0.12|0.13|-0.12|0.30;0001-01-01T00:00:04.750+01:00|W4|0.5|0.25|0.04|0.25|0.37;0001-01-01T00:00:04.750+01:00|W5|0.4|0.38|0.25|0.38|0.01;0001-01-01T00:00:04.750+01:00|W6|1.3|1.21|0.23|1.21|0.48;0001-01-01T00:00:04.750+01:00|W7|0.7|0.38|0.05|0.38|0.64;0001-01-01T00:00:04.750+01:00|W8|0.9|0.92|0.20|0.92|0.06;0001-01-01T00:00:04.750+01:00|W9|1.1|1.03|0.29|1.03|0.17;0001-01-01T00:00:04.750+01:00|W10|0.6|0.53|0.04|0.53|0.02;0001-01-01T00:00:04.750+01:00|W11|0.6|0.43|0.04|0.43|0.23;0001-01-01T00:00:04.750+01:00|W12|0.6|0.25|0.06|0.25|0.46"
