Position;Height above ground [m];Time;X [m];Y [m];Z [m];Opening Angle [°];Stalling Angle Left [°];Stalling Angle Right [°];Roll Angle Left [°];Roll Angle Right [°];Yaw Angle Left [°];Yaw Angle Right [°];Speed hor. [km/h];Speed vert. [km/h];Speed resulting [km/h];WindTime|WindName|WindSpeed|WindSpeedTangent|WindTurbulence|WindSpeedCleanTan|WindSpeedCross
-93.55;NaN;0001-01-01T00:00:00.0000000+01:00;-81.43;0.00;43.11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.000;0.000;0.000;"0001-01-01T00:00:00.068+01:00|W1|0.7|0.59|0.15|0.59|0.29;0001-01-01T00:00:00.068+01:00|W2|2.0|1.91|0.32|1.91|0.52;0001-01-01T00:00:00.068+01:00|W3|1.5|0.94|0.03|0.94|0.91;0001-01-01T00:00:00.068+01:00|W4|1.3|1.08|0.01|1.08|0.64;0001-01-01T00:00:00.068+01:00|W5|1.7|1.22|0.05|1.22|1.12;0001-01-01T00:00:00.068+01:00|W6|1.6|1.28|0.23|1.28|0.78;0001-01-01T00:00:00.068+01:00|W7|3.0|0.62|0.24|0.62|2.66;0001-01-01T00:00:00.068+01:00|W8|1.8|1.50|0.06|1.50|0.99;0001-01-01T00:00:00.068+01:00|W9|1.7|1.52|0.05|1.52|0.70;0001-01-01T00:00:00.068+01:00|W10|1.2|-0.41|0.06|-0.41|1.12;0001-01-01T00:00:00.068+01:00|W11|0.1|-0.03|0.17|-0.03|0.07;0001-01-01T00:00:00.068+01:00|W12|0.5|0.00|0.07|0.00|0.48"
0.00;2.93;0001-01-01T00:00:04.1740000+01:00;0.06;0.00;-0.01;0.0;NaN;-11.500;NaN;0.000;NaN;0.000;94.342;-19.194;96.275;"0001-01-01T00:00:04.071+01:00|W1|1.1|0.91|0.13|0.91|0.45;0001-01-01T00:00:04.071+01:00|W2|1.4|1.33|0.29|1.33|0.19;0001-01-01T00:00:04.071+01:00|W3|1.7|1.28|0.15|1.28|0.98;0001-01-01T00:00:04.071+01:00|W4|1.8|1.54|0.08|1.54|0.96;0001-01-01T00:00:04.071+01:00|W5|1.7|1.55|0.10|1.55|0.59;0001-01-01T00:00:04.071+01:00|W6|1.5|0.42|0.14|0.42|1.39;0001-01-01T00:00:04.071+01:00|W7|1.9|-0.16|0.52|-0.16|1.82;0001-01-01T00:00:04.071+01:00|W8|2.0|1.86|0.03|1.86|0.68;0001-01-01T00:00:04.071+01:00|W9|2.1|1.37|0.09|1.37|1.47;0001-01-01T00:00:04.071+01:00|W10|1.0|0.38|0.08|0.38|0.58;0001-01-01T00:00:04.071+01:00|W11|0.4|0.34|0.21|0.34|0.21;0001-01-01T00:00:04.071+01:00|W12|0.7|-0.42|0.19|-0.42|0.12"
1.00;2.86;0001-01-01T00:00:04.3390000+01:00;1.34;-0.00;-0.22;2.9;NaN;-9.933;NaN;2.394;NaN;-1.581;95.224;-13.596;96.192;"0001-01-01T00:00:04.323+01:00|W1|1.1|0.91|0.11|0.91|0.45;0001-01-01T00:00:04.323+01:00|W2|1.4|1.33|0.27|1.33|0.16;0001-01-01T00:00:04.323+01:00|W3|2.0|1.55|0.38|1.55|0.99;0001-01-01T00:00:04.323+01:00|W4|1.6|1.30|0.18|1.30|0.99;0001-01-01T00:00:04.323+01:00|W5|1.6|1.50|0.04|1.50|0.59;0001-01-01T00:00:04.323+01:00|W6|1.4|0.24|0.23|0.24|1.31;0001-01-01T00:00:04.323+01:00|W7|1.8|-0.20|0.44|-0.20|1.76;0001-01-01T00:00:04.323+01:00|W8|2.0|1.93|0.05|1.93|0.62;0001-01-01T00:00:04.323+01:00|W9|2.1|1.39|0.04|1.39|1.40;0001-01-01T00:00:04.323+01:00|W10|1.1|0.55|0.01|0.55|0.71;0001-01-01T00:00:04.323+01:00|W11|0.5|0.49|0.31|0.49|0.16;0001-01-01T00:00:04.323+01:00|W12|0.6|-0.43|0.07|-0.43|0.30"
2.00;2.88;0001-01-01T00:00:04.4080000+01:00;2.38;-0.01;-0.35;4.2;NaN;-6.487;NaN;2.602;NaN;-2.337;92.546;-11.045;93.206;"0001-01-01T00:00:04.323+01:00|W1|1.1|0.91|0.11|0.91|0.45;0001-01-01T00:00:04.323+01:00|W2|1.4|1.33|0.27|1.33|0.16;0001-01-01T00:00:04.323+01:00|W3|2.0|1.55|0.38|1.55|0.99;0001-01-01T00:00:04.323+01:00|W4|1.6|1.30|0.18|1.30|0.99;0001-01-01T00:00:04.323+01:00|W5|1.6|1.50|0.04|1.50|0.59;0001-01-01T00:00:04.323+01:00|W6|1.4|0.24|0.23|0.24|1.31;0001-01-01T00:00:04.323+01:00|W7|1.8|-0.20|0.44|-0.20|1.76;0001-01-01T00:00:04.323+01:00|W8|2.0|1.93|0.05|1.93|0.62;0001-01-01T00:00:04.323+01:00|W9|2.1|1.39|0.04|1.39|1.40;0001-01-01T00:00:04.323+01:00|W10|1.1|0.55|0.01|0.55|0.71;0001-01-01T00:00:04.323+01:00|W11|0.5|0.49|0.31|0.49|0.16;0001-01-01T00:00:04.323+01:00|W12|0.6|-0.43|0.07|-0.43|0.30"
3.00;2.93;0001-01-01T00:00:04.4480000+01:00;3.41;-0.02;-0.46;7.9;NaN;-2.825;NaN;-2.200;NaN;-3.382;95.037;-9.250;95.492;"0001-01-01T00:00:04.568+01:00|W1|1.1|0.91|0.11|0.91|0.45;0001-01-01T00:00:04.568+01:00|W2|1.4|1.33|0.27|1.33|0.16;0001-01-01T00:00:04.568+01:00|W3|2.0|1.55|0.38|1.55|0.99;0001-01-01T00:00:04.568+01:00|W4|1.6|1.30|0.18|1.30|0.99;0001-01-01T00:00:04.568+01:00|W5|1.6|1.50|0.04|1.50|0.59;0001-01-01T00:00:04.568+01:00|W6|1.4|0.24|0.23|0.24|1.31;0001-01-01T00:00:04.568+01:00|W7|1.8|-0.20|0.44|-0.20|1.76;0001-01-01T00:00:04.568+01:00|W8|2.0|1.93|0.05|1.93|0.62;0001-01-01T00:00:04.568+01:00|W9|2.1|1.39|0.04|1.39|1.40;0001-01-01T00:00:04.568+01:00|W10|1.1|0.55|0.01|0.55|0.71;0001-01-01T00:00:04.568+01:00|W11|0.5|0.49|0.31|0.49|0.16;0001-01-01T00:00:04.568+01:00|W12|0.6|-0.43|0.07|-0.43|0.30"
4.00;2.97;0001-01-01T00:00:04.4870000+01:00;4.45;-0.04;-0.61;12.2;NaN;0.874;NaN;-0.342;NaN;-4.941;95.163;-11.942;95.918;"0001-01-01T00:00:04.568+01:00|W1|1.1|0.91|0.11|0.91|0.45;0001-01-01T00:00:04.568+01:00|W2|1.4|1.33|0.27|1.33|0.16;0001-01-01T00:00:04.568+01:00|W3|2.0|1.55|0.38|1.55|0.99;0001-01-01T00:00:04.568+01:00|W4|1.6|1.30|0.18|1.30|0.99;0001-01-01T00:00:04.568+01:00|W5|1.6|1.50|0.04|1.50|0.59;0001-01-01T00:00:04.568+01:00|W6|1.4|0.24|0.23|0.24|1.31;0001-01-01T00:00:04.568+01:00|W7|1.8|-0.20|0.44|-0.20|1.76;0001-01-01T00:00:04.568+01:00|W8|2.0|1.93|0.05|1.93|0.62;0001-01-01T00:00:04.568+01:00|W9|2.1|1.39|0.04|1.39|1.40;0001-01-01T00:00:04.568+01:00|W10|1.1|0.55|0.01|0.55|0.71;0001-01-01T00:00:04.568+01:00|W11|0.5|0.49|0.31|0.49|0.16;0001-01-01T00:00:04.568+01:00|W12|0.6|-0.43|0.07|-0.43|0.30"
5.00;3.01;0001-01-01T00:00:04.5270000+01:00;5.49;-0.06;-0.75;14.6;NaN;4.573;NaN;1.650;NaN;-6.511;95.241;-14.726;96.385;"0001-01-01T00:00:04.568+01:00|W1|1.1|0.91|0.11|0.91|0.45;0001-01-01T00:00:04.568+01:00|W2|1.4|1.33|0.27|1.33|0.16;0001-01-01T00:00:04.568+01:00|W3|2.0|1.55|0.38|1.55|0.99;0001-01-01T00:00:04.568+01:00|W4|1.6|1.30|0.18|1.30|0.99;0001-01-01T00:00:04.568+01:00|W5|1.6|1.50|0.04|1.50|0.59;0001-01-01T00:00:04.568+01:00|W6|1.4|0.24|0.23|0.24|1.31;0001-01-01T00:00:04.568+01:00|W7|1.8|-0.20|0.44|-0.20|1.76;0001-01-01T00:00:04.568+01:00|W8|2.0|1.93|0.05|1.93|0.62;0001-01-01T00:00:04.568+01:00|W9|2.1|1.39|0.04|1.39|1.40;0001-01-01T00:00:04.568+01:00|W10|1.1|0.55|0.01|0.55|0.71;0001-01-01T00:00:04.568+01:00|W11|0.5|0.49|0.31|0.49|0.16;0001-01-01T00:00:04.568+01:00|W12|0.6|-0.43|0.07|-0.43|0.30"
6.00;3.06;0001-01-01T00:00:04.5660000+01:00;6.52;-0.07;-0.90;16.7;NaN;7.618;NaN;1.036;NaN;-8.224;95.012;-15.953;96.358;"0001-01-01T00:00:04.568+01:00|W1|1.1|0.91|0.11|0.91|0.45;0001-01-01T00:00:04.568+01:00|W2|1.4|1.33|0.27|1.33|0.16;0001-01-01T00:00:04.568+01:00|W3|2.0|1.55|0.38|1.55|0.99;0001-01-01T00:00:04.568+01:00|W4|1.6|1.30|0.18|1.30|0.99;0001-01-01T00:00:04.568+01:00|W5|1.6|1.50|0.04|1.50|0.59;0001-01-01T00:00:04.568+01:00|W6|1.4|0.24|0.23|0.24|1.31;0001-01-01T00:00:04.568+01:00|W7|1.8|-0.20|0.44|-0.20|1.76;0001-01-01T00:00:04.568+01:00|W8|2.0|1.93|0.05|1.93|0.62;0001-01-01T00:00:04.568+01:00|W9|2.1|1.39|0.04|1.39|1.40;0001-01-01T00:00:04.568+01:00|W10|1.1|0.55|0.01|0.55|0.71;0001-01-01T00:00:04.568+01:00|W11|0.5|0.49|0.31|0.49|0.16;0001-01-01T00:00:04.568+01:00|W12|0.6|-0.43|0.07|-0.43|0.30"
7.00;3.12;0001-01-01T00:00:04.6050000+01:00;7.55;-0.09;-1.07;19.3;NaN;9.494;NaN;-2.074;NaN;-10.145;94.557;-15.643;95.862;"0001-01-01T00:00:04.568+01:00|W1|1.1|0.91|0.11|0.91|0.45;0001-01-01T00:00:04.568+01:00|W2|1.4|1.33|0.27|1.33|0.16;0001-01-01T00:00:04.568+01:00|W3|2.0|1.55|0.38|1.55|0.99;0001-01-01T00:00:04.568+01:00|W4|1.6|1.30|0.18|1.30|0.99;0001-01-01T00:00:04.568+01:00|W5|1.6|1.50|0.04|1.50|0.59;0001-01-01T00:00:04.568+01:00|W6|1.4|0.24|0.23|0.24|1.31;0001-01-01T00:00:04.568+01:00|W7|1.8|-0.20|0.44|-0.20|1.76;0001-01-01T00:00:04.568+01:00|W8|2.0|1.93|0.05|1.93|0.62;0001-01-01T00:00:04.568+01:00|W9|2.1|1.39|0.04|1.39|1.40;0001-01-01T00:00:04.568+01:00|W10|1.1|0.55|0.01|0.55|0.71;0001-01-01T00:00:04.568+01:00|W11|0.5|0.49|0.31|0.49|0.16;0001-01-01T00:00:04.568+01:00|W12|0.6|-0.43|0.07|-0.43|0.30"
8.00;3.17;0001-01-01T00:00:04.6440000+01:00;8.57;-0.12;-1.25;25.8;NaN;9.786;NaN;-0.538;NaN;-12.167;94.996;-17.884;96.698;"0001-01-01T00:00:04.568+01:00|W1|1.1|0.91|0.11|0.91|0.45;0001-01-01T00:00:04.568+01:00|W2|1.4|1.33|0.27|1.33|0.16;0001-01-01T00:00:04.568+01:00|W3|2.0|1.55|0.38|1.55|0.99;0001-01-01T00:00:04.568+01:00|W4|1.6|1.30|0.18|1.30|0.99;0001-01-01T00:00:04.568+01:00|W5|1.6|1.50|0.04|1.50|0.59;0001-01-01T00:00:04.568+01:00|W6|1.4|0.24|0.23|0.24|1.31;0001-01-01T00:00:04.568+01:00|W7|1.8|-0.20|0.44|-0.20|1.76;0001-01-01T00:00:04.568+01:00|W8|2.0|1.93|0.05|1.93|0.62;0001-01-01T00:00:04.568+01:00|W9|2.1|1.39|0.04|1.39|1.40;0001-01-01T00:00:04.568+01:00|W10|1.1|0.55|0.01|0.55|0.71;0001-01-01T00:00:04.568+01:00|W11|0.5|0.49|0.31|0.49|0.16;0001-01-01T00:00:04.568+01:00|W12|0.6|-0.43|0.07|-0.43|0.30"
