dict_id,length,Speed hor. [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-10. point,207.11879248392697,97.421,0.5,0.4,0.05,0.4,0.23,0.7,0.26,0.24,0.26,0.35,1.0,0.66,0.02,0.66,0.7,1.4,0.65,0.31,0.65,1.21,1.0,-0.05,0.23,-0.05,0.92,0.7,0.34,0.02,0.34,0.58,1.9,0.16,0.18,0.16,1.68,0.3,0.14,0.01,0.14,0.21,0.5,-0.36,0.25,-0.36,0.03,0.8,-0.69,0.03,-0.69,0.22,0.8,-0.65,0.03,-0.65,0.43,1.1,-1.08,0.1,-1.08,0.14
-10. point,229.29820845353328,102.349,1.3,1.05,0.07,1.05,0.62,2.9,1.52,0.21,1.52,1.71,0.9,0.49,0.22,0.49,0.74,1.1,-0.36,0.25,-0.36,0.97,1.1,1.05,0.32,1.05,0.18,1.6,-0.09,0.17,-0.09,1.55,1.5,0.37,0.02,0.37,1.42,2.0,-1.04,0.16,-1.04,1.59,1.1,0.07,0.25,0.07,1.02,1.6,1.12,0.23,1.12,1.09,1.2,0.96,0.35,0.96,0.57,0.6,0.51,0.34,0.51,0.13
-10. point,211.1778513480995,98.941,0.9,0.01,0.31,0.01,0.88,1.0,0.46,0.13,0.46,0.87,1.2,0.29,0.09,0.29,1.11,2.3,-1.04,0.15,-1.04,1.96,0.9,0.55,0.11,0.55,0.68,0.9,0.02,0.14,0.02,0.73,1.7,-0.17,0.4,-0.17,1.5,1.4,-0.08,0.55,-0.08,1.35,1.8,-1.43,0.08,-1.43,0.89,2.1,-1.97,0.37,-1.97,0.62,0.9,-0.58,0.42,-0.58,0.58,1.7,-1.36,0.07,-1.36,0.93
-10. point,195.45360805060622,104.805,0.5,0.35,0.2,0.35,0.18,0.5,0.35,0.28,0.35,0.16,1.2,0.06,0.02,0.06,1.16,1.2,0.88,0.07,0.88,0.73,1.4,-0.04,0.1,-0.04,1.42,1.3,-0.13,0.17,-0.13,1.23,0.6,-0.2,0.09,-0.2,0.59,1.8,-1.22,0.23,-1.22,1.28,1.0,0.17,0.27,0.17,0.62,0.4,-0.39,0.08,-0.39,0.15,0.6,-0.41,0.06,-0.41,0.1,2.2,-1.65,0.13,-1.65,1.39
-10. point,203.56941666173728,101.221,0.8,-0.14,0.02,-0.14,0.72,1.1,-0.96,0.07,-0.96,0.59,0.6,-0.12,0.03,-0.12,0.52,0.4,-0.11,0.14,-0.11,0.07,1.7,0.2,0.53,0.2,1.02,1.2,0.14,0.04,0.14,1.16,1.2,-1.09,0.08,-1.09,0.3,1.9,-1.89,0.11,-1.89,0.16,1.3,-0.71,0.07,-0.71,1.02,1.7,-1.65,0.26,-1.65,0.13,1.2,-1.11,0.07,-1.11,0.05,1.5,-1.51,0.17,-1.51,0.16
-10. point,219.36577148680237,94.227,0.7,-0.16,0.02,-0.16,0.65,0.8,0.55,0.43,0.55,0.31,0.8,0.35,0.12,0.35,0.72,0.5,0.37,0.14,0.37,0.27,1.4,1.35,0.55,1.35,0.26,1.6,-1.59,0.16,-1.59,0.09,1.9,1.32,0.27,1.32,0.99,1.1,0.77,0.11,0.77,0.66,0.8,0.48,0.07,0.48,0.17,0.9,0.51,0.03,0.51,0.64,1.6,1.5,0.45,1.5,0.25,0.6,-0.29,0.01,-0.29,0.27
-10. point,199.45385932591026,92.206,0.5,-0.04,0.19,-0.04,0.37,1.6,-1.34,0.32,-1.34,0.63,1.0,0.08,0.02,0.08,0.97,0.9,0.51,1.19,0.51,0.6,1.2,0.33,0.02,0.33,0.73,0.9,-0.67,0.97,-0.67,0.66,1.2,0.35,0.87,0.35,1.08,3.3,-0.11,0.24,-0.11,3.18,2.2,-1.03,0.07,-1.03,1.92,1.8,-1.6,0.07,-1.6,0.84,0.5,-0.01,0.03,-0.01,0.33,1.3,-1.11,0.06,-1.11,0.55
-10. point,223.7171949135783,98.4,0.8,0.49,0.06,0.49,0.53,0.4,0.13,0.11,0.13,0.34,1.6,1.43,0.0,1.43,0.79,2.0,0.97,0.26,0.97,1.62,1.4,1.24,0.02,1.24,0.7,0.6,-0.23,0.17,-0.23,0.54,1.9,1.8,0.47,1.8,0.41,0.8,0.69,0.35,0.69,0.35,0.6,0.58,0.14,0.58,0.13,0.8,0.43,0.1,0.43,0.6,1.2,1.04,0.24,1.04,0.54,1.0,0.77,0.35,0.77,0.58
-10. point,216.59870059628707,103.025,0.6,0.37,0.06,0.37,0.4,1.1,1.07,0.1,1.07,0.3,1.1,0.5,0.02,0.5,0.98,1.3,1.2,0.43,1.2,0.41,1.6,1.02,0.69,1.02,1.19,1.8,0.73,0.31,0.73,1.59,1.0,0.29,0.11,0.29,0.93,0.8,-0.18,0.15,-0.18,0.64,1.4,0.66,0.15,0.66,1.25,0.7,-0.58,0.01,-0.58,0.39,0.6,0.04,0.04,0.04,0.29,0.5,-0.21,0.14,-0.21,0.41
-10. point,164.01528130024957,101.449,0.6,-0.56,0.01,-0.56,0.16,1.8,1.75,0.17,1.75,0.11,0.7,0.5,0.14,0.5,0.42,1.0,0.17,0.08,0.17,0.93,0.7,-0.5,0.02,-0.5,0.42,2.0,-1.96,0.33,-1.96,0.15,1.2,0.45,0.09,0.45,0.93,1.7,-1.06,0.05,-1.06,1.31,0.9,-0.86,0.0,-0.86,0.16,0.9,-0.69,0.08,-0.69,0.17,2.3,-2.18,0.25,-2.18,0.57,1.6,-1.45,0.18,-1.45,0.74
-10. point,196.2939583889428,105.769,0.7,0.32,0.04,0.32,0.57,0.8,0.82,0.33,0.82,0.12,1.7,1.58,0.04,1.58,0.55,2.4,1.53,0.2,1.53,1.84,1.5,0.91,0.15,0.91,1.12,1.3,0.85,0.08,0.85,0.94,1.0,-0.54,0.12,-0.54,0.82,1.6,-0.61,0.04,-0.61,1.46,1.1,-0.71,0.48,-0.71,0.55,2.3,-2.08,0.34,-2.08,0.82,0.9,0.35,0.05,0.35,0.81,1.6,-1.32,0.26,-1.32,0.76
-10. point,210.1301896444202,96.532,1.3,0.18,0.06,0.18,1.23,1.1,1.04,0.12,1.04,0.34,1.5,1.24,0.01,1.24,0.72,2.6,1.68,0.41,1.68,1.98,1.9,1.4,0.22,1.4,1.22,2.2,0.17,0.29,0.17,2.13,2.0,-0.76,0.06,-0.76,1.79,1.4,-0.35,0.09,-0.35,1.36,1.8,-0.11,0.11,-0.11,1.78,1.0,-0.85,0.02,-0.85,0.5,0.8,0.64,0.05,0.64,0.4,1.2,-0.98,0.12,-0.98,0.65
-10. point,191.08984405247705,102.215,0.5,0.07,0.15,0.07,0.4,0.1,-0.07,0.38,-0.07,0.07,0.3,0.33,0.17,0.33,0.04,0.4,-0.33,0.06,-0.33,0.27,0.6,-0.57,0.03,-0.57,0.28,0.6,-0.5,0.11,-0.5,0.36,0.4,0.26,0.26,0.26,0.13,0.8,-0.63,0.06,-0.63,0.3,0.4,-0.29,0.2,-0.29,0.22,0.8,-0.71,0.35,-0.71,0.01,0.6,0.14,0.01,0.14,0.29,1.5,-1.18,0.01,-1.18,0.12
-10. point,185.18171913015607,92.804,0.4,-0.26,0.15,-0.26,0.27,1.4,-1.02,0.36,-1.02,0.94,0.8,-0.37,0.15,-0.37,0.49,2.8,2.13,0.89,2.13,1.69,1.8,1.04,0.43,1.04,1.34,2.2,-1.26,0.15,-1.26,1.84,2.0,0.31,0.21,0.31,1.88,2.1,-1.74,0.01,-1.74,1.15,1.6,-1.24,0.25,-1.24,1.02,2.4,-1.81,0.11,-1.81,1.54,1.0,-0.69,0.2,-0.69,0.43,0.6,0.45,0.08,0.45,0.14
-10. point,171.8737126497243,94.044,0.9,-0.43,0.16,-0.43,0.72,1.7,-1.43,0.15,-1.43,0.9,0.9,-0.08,0.01,-0.08,0.88,1.6,-1.61,0.18,-1.61,0.36,1.3,-0.17,0.12,-0.17,1.25,0.7,-0.4,0.3,-0.4,0.22,1.4,0.5,0.25,0.5,1.21,1.3,0.24,0.29,0.24,1.2,1.3,0.09,0.01,0.09,1.11,0.2,0.16,0.03,0.16,0.11,1.0,0.65,0.06,0.65,0.17,1.6,-0.96,0.16,-0.96,1.21
-10. point,209.02252964692585,100.116,0.7,0.45,0.04,0.45,0.46,1.8,1.48,0.1,1.48,0.72,1.2,0.88,0.13,0.88,0.82,0.9,-0.09,0.35,-0.09,0.87,1.2,0.6,0.06,0.6,1.02,0.8,-0.64,0.08,-0.64,0.45,1.3,-0.7,0.19,-0.7,1.1,0.8,-0.19,0.15,-0.19,0.61,1.3,0.43,0.04,0.43,1.11,1.1,-1.1,0.05,-1.1,0.22,0.6,0.37,0.21,0.37,0.33,1.7,-0.98,0.0,-0.98,0.95
-10. point,186.48818166307484,94.791,0.2,-0.07,0.13,-0.07,0.14,0.4,-0.07,0.14,-0.07,0.4,0.8,0.64,0.07,0.64,0.26,2.3,0.03,0.26,0.03,2.06,0.3,-0.24,0.24,-0.24,0.03,0.6,0.02,0.52,0.02,0.5,1.2,0.03,0.09,0.03,1.16,1.0,-1.03,0.1,-1.03,0.09,0.7,-0.22,0.1,-0.22,0.08,0.6,-0.62,0.07,-0.62,0.09,1.1,-0.48,0.03,-0.48,0.56,0.3,-0.25,0.04,-0.25,0.02
-10. point,181.35469500401692,95.03,1.4,1.4,0.12,1.4,0.03,1.4,1.28,0.19,1.28,0.07,1.0,1.04,0.09,1.04,0.0,1.4,1.33,0.08,1.33,0.17,1.2,1.15,0.0,1.15,0.24,0.8,0.73,0.32,0.73,0.11,0.5,0.45,0.09,0.45,0.2,0.9,0.71,0.08,0.71,0.56,0.7,0.15,0.11,0.15,0.65,0.5,-0.26,0.09,-0.26,0.05,0.9,-0.65,0.19,-0.65,0.33,0.5,0.45,0.01,0.45,0.25
-10. point,186.14512026910617,93.348,2.9,2.68,0.09,2.68,0.38,2.3,2.17,0.14,2.17,0.2,2.1,2.1,0.04,2.1,0.43,1.8,1.75,0.06,1.75,0.18,2.2,1.99,0.07,1.99,0.94,2.3,2.1,0.39,2.1,0.84,2.3,2.18,0.05,2.18,0.75,1.9,1.92,0.11,1.92,0.15,1.6,1.48,0.03,1.48,0.51,1.3,1.28,0.19,1.28,0.09,1.2,0.59,0.15,0.59,0.96,1.1,0.64,0.06,0.64,0.71
-10. point,138.3992850415059,90.178,0.4,-0.09,0.09,-0.09,0.37,0.2,0.2,0.16,0.2,0.0,0.3,0.28,0.01,0.28,0.18,0.3,0.16,0.08,0.16,0.15,0.7,-0.1,0.31,-0.1,0.64,0.7,0.67,0.01,0.67,0.09,1.6,0.97,0.09,0.97,0.69,0.6,0.34,0.03,0.34,0.38,0.8,0.17,0.01,0.17,0.7,0.3,0.25,0.24,0.25,0.1,0.8,-0.74,0.12,-0.74,0.25,0.3,0.24,0.02,0.24,0.03
-10. point,185.05998405922335,104.048,1.5,1.51,0.04,1.51,0.14,0.8,0.69,0.02,0.69,0.44,1.0,0.9,0.07,0.9,0.05,0.6,0.45,0.06,0.45,0.36,1.3,1.19,0.04,1.19,0.47,1.0,0.92,0.08,0.92,0.16,1.0,0.71,0.07,0.71,0.64,0.2,-0.18,0.11,-0.18,0.02,0.9,-0.44,0.02,-0.44,0.79,0.4,-0.22,0.21,-0.22,0.03,0.7,0.09,0.1,0.09,0.74,0.4,-0.35,0.25,-0.35,0.25
-10. point,165.4204334415794,94.599,1.5,1.43,0.06,1.43,0.19,0.9,0.81,0.09,0.81,0.23,1.1,0.23,0.31,0.23,0.18,1.2,1.0,0.07,1.0,0.31,0.9,0.65,0.0,0.65,0.68,0.8,0.72,0.01,0.72,0.33,0.6,0.28,0.01,0.28,0.5,0.8,0.66,0.02,0.66,0.34,1.4,0.66,0.09,0.66,1.24,0.4,0.04,0.04,0.04,0.19,0.5,-0.08,0.11,-0.08,0.28,0.6,0.53,0.11,0.53,0.19
-10. point,117.90960859912987,83.032,1.8,1.61,0.17,1.61,0.61,1.5,1.42,0.07,1.42,0.28,1.4,1.36,0.14,1.36,0.02,2.0,1.72,0.35,1.72,1.01,1.9,1.85,0.17,1.85,0.06,2.5,2.32,0.12,2.32,0.82,2.0,1.72,0.1,1.72,0.98,2.5,2.48,0.31,2.48,0.32,2.7,2.56,0.3,2.56,0.81,0.8,0.7,0.04,0.7,0.37,2.1,1.07,0.01,1.07,1.82,1.3,1.14,0.12,1.14,0.55
-10. point,212.84268509864276,96.252,1.8,1.74,0.2,1.74,0.01,1.9,1.65,0.18,1.65,0.3,2.6,2.37,0.15,2.37,0.72,1.7,1.53,0.04,1.53,0.61,1.2,1.16,0.12,1.16,0.2,1.7,1.57,0.01,1.57,0.62,2.5,2.47,0.04,2.47,0.25,2.0,1.78,0.13,1.78,0.95,1.5,1.47,0.08,1.47,0.41,1.9,1.83,0.13,1.83,0.28,1.4,1.34,0.37,1.34,0.31,2.3,2.29,0.46,2.29,0.26
-10. point,194.77093520338195,99.259,0.8,0.8,0.23,0.8,0.17,0.7,0.33,0.04,0.33,0.58,0.9,0.86,0.23,0.86,0.34,0.7,0.56,0.02,0.56,0.36,1.1,0.92,0.18,0.92,0.56,1.9,1.87,0.31,1.87,0.04,1.1,0.9,0.06,0.9,0.34,1.3,1.25,0.11,1.25,0.25,1.9,1.91,0.05,1.91,0.14,1.6,1.52,0.1,1.52,0.44,2.1,1.89,0.35,1.89,0.35,2.2,2.07,0.33,2.07,0.13
