dict_id,length,Speed hor. [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
10. point,207.11879248392697,98.985,0.5,0.45,0.03,0.45,0.12,1.1,0.59,0.08,0.59,0.76,0.8,0.56,0.11,0.56,0.55,1.8,0.53,0.06,0.53,1.75,0.6,0.34,0.29,0.34,0.09,1.2,0.37,0.38,0.37,1.12,1.4,0.85,0.15,0.85,1.01,0.4,-0.33,0.21,-0.33,0.28,0.8,-0.42,0.12,-0.42,0.63,0.7,-0.55,0.03,-0.55,0.41,1.0,-0.89,0.24,-0.89,0.3,1.0,-0.99,0.06,-0.99,0.28
10. point,229.29820845353328,97.498,1.3,1.07,0.1,1.07,0.64,2.6,2.28,0.41,2.28,1.01,1.5,1.18,0.13,1.18,0.28,1.4,-0.7,0.1,-0.7,1.1,0.5,0.4,0.92,0.4,0.22,2.1,-0.26,0.52,-0.26,2.01,1.7,0.23,0.1,0.23,1.69,1.9,-0.26,0.08,-0.26,1.79,1.1,-0.8,0.06,-0.8,0.77,0.5,-0.22,0.43,-0.22,0.47,1.8,1.14,0.18,1.14,0.95,0.6,-0.11,0.1,-0.11,0.57
10. point,211.1778513480995,100.561,0.4,0.09,0.0,0.09,0.38,0.6,-0.24,0.04,-0.24,0.55,1.4,0.82,0.06,0.82,1.05,2.2,-0.62,0.06,-0.62,2.08,0.6,0.12,0.34,0.12,0.56,0.9,-0.54,0.08,-0.54,0.47,1.3,0.02,0.51,0.02,1.25,1.1,-0.75,0.03,-0.75,0.86,1.8,-0.9,0.43,-0.9,1.23,1.6,-1.28,0.14,-1.28,0.95,1.0,-0.31,0.1,-0.31,0.89,1.6,-1.12,0.39,-1.12,1.12
10. point,195.45360805060622,97.107,0.7,0.47,0.38,0.47,0.36,0.1,0.03,0.05,0.03,0.14,1.2,0.1,0.06,0.1,1.1,0.8,-0.01,0.29,-0.01,0.56,1.1,0.03,0.09,0.03,1.14,0.7,0.3,0.34,0.3,0.62,1.1,-0.93,0.33,-0.93,0.45,2.0,-1.42,0.38,-1.42,1.38,1.5,-0.63,0.24,-0.63,0.75,0.6,-0.45,0.14,-0.45,0.34,0.3,0.08,0.05,0.08,0.31,2.4,-2.14,0.27,-2.14,1.11
10. point,203.56941666173728,96.614,0.6,-0.16,0.08,-0.16,0.57,1.1,-0.66,0.12,-0.66,0.83,0.5,-0.13,0.01,-0.13,0.38,0.9,-0.27,0.14,-0.27,0.76,0.6,0.13,0.2,0.13,0.63,0.8,-0.07,0.01,-0.07,0.41,0.8,-0.28,0.13,-0.28,0.58,1.7,-1.65,0.02,-1.65,0.08,1.0,-0.75,0.07,-0.75,0.59,1.2,-1.14,0.08,-1.14,0.39,0.9,-0.78,0.06,-0.78,0.28,1.9,-1.83,0.06,-1.83,0.42
10. point,219.36577148680237,98.08,1.0,-0.79,0.31,-0.79,0.53,1.3,1.23,0.17,1.23,0.22,1.1,0.8,0.11,0.8,0.59,0.8,0.34,0.02,0.34,0.7,0.3,0.34,0.02,0.34,0.08,0.3,-0.1,0.7,-0.1,0.2,1.6,0.9,0.07,0.9,1.07,1.0,0.81,0.3,0.81,0.6,0.5,0.53,0.38,0.53,0.07,1.6,1.46,0.01,1.46,0.47,1.1,1.0,0.38,1.0,0.37,1.1,0.01,0.06,0.01,0.56
10. point,199.45385932591026,98.768,0.9,-0.08,0.07,-0.08,0.9,1.3,-1.16,0.26,-1.16,0.0,1.1,0.18,0.06,0.18,0.9,2.7,-0.09,0.39,-0.09,2.4,0.5,0.16,0.16,0.16,0.12,2.2,-1.98,0.74,-1.98,0.86,2.6,0.22,0.04,0.22,2.45,3.1,-0.18,0.36,-0.18,3.11,2.3,-1.61,0.35,-1.61,1.49,2.5,-2.45,0.56,-2.45,0.35,0.5,-0.28,0.06,-0.28,0.42,0.4,-0.18,0.24,-0.18,0.08
10. point,223.7171949135783,96.947,0.9,0.42,0.19,0.42,0.34,0.7,0.11,0.16,0.11,0.64,1.4,1.31,0.05,1.31,0.32,2.1,1.28,0.06,1.28,1.59,1.3,1.1,0.18,1.1,0.68,1.0,-0.28,0.19,-0.28,0.99,0.8,0.44,0.29,0.44,0.28,1.3,1.12,0.31,1.12,0.64,0.6,0.34,0.1,0.34,0.36,1.1,0.84,0.31,0.84,0.7,0.7,0.49,0.01,0.49,0.45,0.9,0.91,0.05,0.91,0.09
10. point,216.59870059628707,98.9,0.8,0.27,0.05,0.27,0.58,0.9,0.57,0.34,0.57,0.74,0.9,0.57,0.24,0.57,0.46,1.3,0.41,0.14,0.41,1.16,2.5,1.9,0.56,1.9,1.57,1.4,0.8,0.2,0.8,1.15,1.7,0.17,0.13,0.17,1.3,0.4,-0.08,0.2,-0.08,0.32,0.9,0.46,0.08,0.46,0.7,1.2,-0.85,0.27,-0.85,0.77,0.6,0.44,0.08,0.44,0.32,0.2,-0.22,0.06,-0.22,0.05
10. point,164.01528130024957,99.44,0.6,-0.52,0.03,-0.52,0.11,1.6,1.55,0.17,1.55,0.05,0.5,0.25,0.03,0.25,0.41,0.9,-0.21,0.35,-0.21,0.86,0.6,-0.52,0.03,-0.52,0.23,2.0,-1.88,0.67,-1.88,0.53,1.6,-0.57,0.21,-0.57,1.29,1.6,-1.24,0.3,-1.24,0.95,0.8,-0.64,0.02,-0.64,0.26,0.7,-0.51,0.39,-0.51,0.4,2.0,-2.02,0.03,-2.02,0.03,2.3,-2.04,0.15,-2.04,0.91
