dict_id,length,Speed hor. [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-1. point,199.7606487774807,98.965,0.7,0.53,0.01,0.53,0.5,0.8,0.59,0.09,0.59,0.01,1.1,0.71,0.07,0.71,0.86,1.9,1.02,0.29,1.02,1.61,1.6,0.08,0.3,0.08,1.58,1.1,0.26,0.45,0.26,1.01,1.9,0.26,0.37,0.26,1.85,2.1,-0.12,0.25,-0.12,2.09,2.3,-1.12,0.25,-1.12,2.0,0.9,0.08,0.09,0.08,0.73,1.1,-0.3,0.32,-0.3,1.0,0.4,-0.3,0.14,-0.3,0.15
-1. point,213.45253149119594,93.531,0.9,0.5,0.15,0.5,0.49,1.5,-0.71,0.26,-0.71,0.86,0.7,0.34,0.1,0.34,0.54,0.6,0.07,0.1,0.07,0.44,0.5,-0.23,0.0,-0.23,0.3,0.9,-0.87,0.17,-0.87,0.09,0.8,0.41,0.16,0.41,0.51,0.6,0.55,0.17,0.55,0.31,0.9,0.02,0.0,0.02,0.9,0.7,0.26,0.15,0.26,0.44,0.9,-0.55,0.06,-0.55,0.48,1.9,1.82,0.0,1.82,0.37
-1. point,233.2731467614736,95.798,1.0,0.11,0.09,0.11,1.01,1.1,0.89,0.1,0.89,0.45,1.0,0.7,0.12,0.7,0.46,2.2,2.21,0.03,2.21,0.08,1.2,1.03,0.39,1.03,0.5,2.3,2.31,0.02,2.31,0.22,2.0,1.73,0.1,1.73,0.98,2.1,1.95,0.05,1.95,0.66,2.4,1.67,0.03,1.67,1.58,0.4,-0.23,0.17,-0.23,0.16,1.2,0.03,0.05,0.03,1.15,0.7,0.52,0.01,0.52,0.36
-1. point,203.54295099560682,90.077,1.4,0.97,0.24,0.97,0.68,1.1,0.95,0.27,0.95,0.45,1.3,0.85,0.03,0.85,1.0,0.5,-0.24,0.28,-0.24,0.2,1.1,0.04,0.04,0.04,0.91,2.9,-1.27,0.16,-1.27,2.66,1.3,-0.18,0.61,-0.18,1.27,1.3,0.67,0.13,0.67,1.02,1.0,0.79,0.09,0.79,0.35,1.7,-0.21,0.04,-0.21,1.67,1.2,-0.92,0.25,-0.92,0.54,1.9,-1.83,0.12,-1.83,0.43
-1. point,221.80018687999342,101.542,0.7,-0.17,0.23,-0.17,0.51,2.2,2.02,0.19,2.02,0.1,1.3,0.8,0.07,0.8,0.99,1.4,0.62,0.64,0.62,1.27,1.1,0.61,0.36,0.61,0.92,1.5,-1.01,0.68,-1.01,0.93,1.9,-0.49,0.15,-0.49,1.83,0.7,-0.49,0.06,-0.49,0.53,1.6,0.83,0.09,0.83,1.1,0.4,-0.01,0.07,-0.01,0.33,0.2,-0.05,0.01,-0.05,0.16,1.6,1.14,0.43,1.14,0.79
-1. point,197.45661877992342,96.19,1.4,0.01,0.0,0.01,1.27,0.3,0.17,0.23,0.17,0.16,0.9,0.17,0.1,0.17,0.78,2.4,-0.38,0.38,-0.38,2.33,1.3,0.57,0.38,0.57,1.12,2.5,-0.73,0.05,-0.73,2.4,2.3,-0.61,0.15,-0.61,2.21,2.1,-0.95,0.01,-0.95,1.75,1.8,-1.65,0.04,-1.65,0.75,1.9,-1.84,0.13,-1.84,0.19,0.7,-0.56,0.09,-0.56,0.41,0.4,0.19,0.11,0.19,0.33
-1. point,212.66576663863887,101.349,1.6,-0.43,0.07,-0.43,1.51,0.5,-0.01,0.25,-0.01,0.32,1.1,0.05,0.23,0.05,1.03,0.7,0.43,0.22,0.43,0.53,0.9,-0.14,0.01,-0.14,0.83,1.7,1.05,0.5,1.05,1.27,2.6,0.21,0.0,0.21,2.58,2.2,0.2,0.06,0.2,2.1,1.5,-1.31,0.1,-1.31,0.56,1.3,-0.46,0.17,-0.46,1.21,0.5,0.43,0.01,0.43,0.11,1.8,-1.67,0.06,-1.67,0.44
-1. point,185.66868583581885,92.568,0.4,-0.37,0.18,-0.37,0.02,0.9,-0.86,0.03,-0.86,0.33,1.1,0.58,0.16,0.58,0.87,1.2,-1.23,0.13,-1.23,0.11,1.2,0.07,0.1,0.07,1.1,1.1,0.38,0.03,0.38,1.03,2.7,-0.13,0.36,-0.13,2.64,1.6,0.15,0.1,0.15,1.29,2.4,-1.47,0.14,-1.47,1.61,1.4,-1.29,0.44,-1.29,0.48,1.4,-1.07,0.02,-1.07,0.82,1.8,-1.73,0.07,-1.73,0.34
-1. point,219.07254049743435,108.771,0.6,0.2,0.06,0.2,0.38,1.0,1.02,0.06,1.02,0.17,1.1,0.79,0.2,0.79,0.58,1.2,1.04,0.21,1.04,0.42,1.0,0.88,0.01,0.88,0.38,2.0,1.89,0.53,1.89,0.16,1.6,1.1,0.06,1.1,1.04,1.7,0.34,0.18,0.34,1.57,0.9,0.09,0.03,0.09,0.87,1.3,0.08,0.24,0.08,0.76,0.8,-0.41,0.04,-0.41,0.32,0.6,0.23,0.05,0.23,0.18
-1. point,203.66466188320447,101.979,0.6,0.03,0.02,0.03,0.35,0.7,0.51,0.06,0.51,0.48,0.9,0.32,0.07,0.32,0.48,0.3,-0.12,0.07,-0.12,0.03,0.5,-0.37,0.08,-0.37,0.03,0.9,-0.83,0.12,-0.83,0.26,0.9,-0.03,0.07,-0.03,0.45,0.8,-0.11,0.13,-0.11,0.7,1.4,-1.04,0.35,-1.04,0.88,1.1,-0.97,0.01,-0.97,0.54,1.8,-1.21,0.1,-1.21,0.77,0.9,-0.76,0.33,-0.76,0.1
