dict_id,length,Speed hor. [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
65. point,199.7606487774807,92.937,0.7,0.49,0.02,0.49,0.48,1.0,1.0,0.04,1.0,0.04,1.0,0.57,0.13,0.57,0.86,1.7,0.75,0.48,0.75,1.48,1.0,0.38,0.1,0.38,0.9,1.8,1.51,0.25,1.51,0.97,2.3,0.45,0.33,0.45,2.19,1.8,0.29,0.35,0.29,1.79,1.8,-1.39,0.08,-1.39,1.14,0.7,-0.1,0.24,-0.1,0.7,1.2,-0.59,0.34,-0.59,1.05,0.6,-0.63,0.22,-0.63,0.05
65. point,213.45253149119594,95.641,0.9,-0.03,0.02,-0.03,0.89,1.2,-0.73,0.12,-0.73,0.73,0.5,0.07,0.01,0.07,0.48,0.8,-0.02,0.02,-0.02,0.41,0.5,-0.46,0.07,-0.46,0.0,0.7,-0.07,0.01,-0.07,0.55,0.5,0.06,0.17,0.06,0.23,0.7,0.13,0.02,0.13,0.6,0.8,0.47,0.33,0.47,0.47,0.9,0.67,0.22,0.67,0.59,0.7,0.03,0.63,0.03,0.58,2.2,1.98,0.49,1.98,0.85
65. point,233.2731467614736,91.647,0.9,0.04,0.16,0.04,0.9,1.0,0.92,0.38,0.92,0.08,1.6,1.19,0.08,1.19,0.95,2.1,2.13,0.03,2.13,0.22,0.5,0.46,0.01,0.46,0.17,2.7,2.65,0.34,2.65,0.3,2.2,1.75,0.12,1.75,1.27,2.3,2.29,0.41,2.29,0.34,2.7,2.1,0.1,2.1,1.7,0.1,0.03,0.08,0.03,0.12,1.3,-0.43,0.05,-0.43,1.27,0.7,0.51,0.18,0.51,0.47
65. point,203.54295099560682,95.634,2.0,1.06,0.13,1.06,0.53,0.3,0.15,0.43,0.15,0.16,1.3,0.71,0.02,0.71,1.03,0.8,-0.45,0.25,-0.45,0.58,1.4,0.52,0.23,0.52,1.28,2.9,-0.87,1.07,-0.87,2.7,2.2,-0.83,0.64,-0.83,1.65,1.0,0.52,0.18,0.52,0.84,0.5,0.35,0.13,0.35,0.1,1.7,-0.87,0.31,-0.87,1.43,0.7,-0.6,0.63,-0.6,0.27,2.1,-1.84,0.64,-1.84,0.78
65. point,221.80018687999342,95.794,0.4,0.0,0.07,0.0,0.31,2.2,1.73,0.85,1.73,0.64,1.5,0.75,0.04,0.75,1.22,0.5,-0.1,0.23,-0.1,0.27,1.6,0.85,0.06,0.85,1.38,0.4,-0.36,0.1,-0.36,0.0,1.8,-0.25,0.13,-0.25,1.74,0.6,0.02,0.08,0.02,0.59,1.7,0.38,0.19,0.38,1.64,0.6,-0.44,0.0,-0.44,0.31,0.4,0.22,0.16,0.22,0.33,0.7,0.47,0.3,0.47,0.14
65. point,197.45661877992342,95.03,1.4,-0.01,0.02,-0.01,1.37,0.6,0.58,0.11,0.58,0.19,1.0,0.34,0.09,0.34,0.75,1.7,0.98,0.61,0.98,1.38,2.3,-0.98,0.47,-0.98,1.98,2.6,0.34,0.19,0.34,2.51,2.6,-0.18,0.08,-0.18,2.61,2.2,-1.31,0.12,-1.31,1.7,1.9,-1.63,0.12,-1.63,0.44,2.0,-1.91,0.65,-1.91,0.17,1.1,-0.97,0.01,-0.97,0.18,0.5,0.06,0.03,0.06,0.38
65. point,212.66576663863887,95.981,1.5,-0.42,0.02,-0.42,1.38,0.8,-0.16,0.17,-0.16,0.5,0.9,0.24,0.15,0.24,0.83,1.0,0.21,0.06,0.21,0.03,0.9,0.22,0.16,0.22,0.83,0.6,0.52,0.33,0.52,0.21,2.7,0.57,0.19,0.57,2.59,2.1,0.24,0.18,0.24,2.03,1.7,-1.51,0.38,-1.51,0.68,1.6,-1.01,0.02,-1.01,1.19,0.6,0.57,0.01,0.57,0.1,1.7,-1.64,0.44,-1.64,0.6
65. point,185.66868583581885,94.54,0.7,-0.66,0.18,-0.66,0.15,1.0,-0.8,0.16,-0.8,0.57,1.0,0.68,0.08,0.68,0.28,1.0,-1.02,0.15,-1.02,0.16,0.9,0.02,0.05,0.02,0.79,1.1,0.45,0.17,0.45,0.96,3.2,-0.44,0.11,-0.44,3.1,1.7,-0.05,0.35,-0.05,1.6,2.0,-0.93,0.18,-0.93,1.74,1.9,-1.59,0.1,-1.59,0.94,1.4,-1.06,0.02,-1.06,0.89,1.9,-1.81,0.04,-1.81,0.63
65. point,219.07254049743435,94.191,0.7,0.66,0.07,0.66,0.13,0.9,0.84,0.04,0.84,0.03,1.4,1.11,0.13,1.11,0.6,0.8,0.66,0.4,0.66,0.37,0.7,0.42,0.01,0.42,0.48,0.5,0.48,0.46,0.48,0.08,1.5,1.12,0.23,1.12,1.05,1.3,0.52,0.2,0.52,1.14,0.9,0.2,0.08,0.2,0.8,1.7,-0.79,0.31,-0.79,1.08,0.6,0.15,0.02,0.15,0.57,0.5,-0.09,0.04,-0.09,0.08
65. point,203.66466188320447,94.641,0.4,-0.34,0.46,-0.34,0.25,0.8,0.5,0.1,0.5,0.57,1.1,0.4,0.06,0.4,0.34,0.3,-0.02,0.34,-0.02,0.31,0.3,-0.25,0.02,-0.25,0.09,0.8,-0.74,0.21,-0.74,0.33,1.0,-0.61,0.1,-0.61,0.74,0.7,0.17,0.1,0.17,0.65,0.9,-0.52,0.32,-0.52,0.7,1.1,-1.05,0.16,-1.05,0.39,1.7,-1.53,0.17,-1.53,0.74,1.4,-1.36,0.16,-1.36,0.19
