Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-90.2,,0.0,-79.09,-0.0,41.25,,,,,,,,0.0,0.0,0.0,1.3,1.23,0.08,1.23,0.38,0.5,0.43,0.07,0.43,0.14,0.7,0.55,0.14,0.55,0.06,0.3,0.33,0.53,0.33,0.08,0.7,0.59,0.05,0.59,0.18,1.0,0.77,0.11,0.77,0.57,0.6,0.39,0.2,0.39,0.37,0.9,0.8,0.26,0.8,0.41,0.5,0.39,0.08,0.39,0.24,0.2,-0.19,0.05,-0.19,0.1,0.6,0.15,0.15,0.15,0.54,1.3,-1.16,0.21,-1.16,0.45
0.0,2.93,3.841,0.02,-0.0,-0.0,0.0,-11.5,-11.5,0.0,0.0,0.0,0.0,98.476,-20.035,100.494,0.9,0.86,0.27,0.86,0.23,0.5,0.48,0.08,0.48,0.23,0.5,0.5,0.13,0.5,0.05,0.3,0.34,0.09,0.34,0.0,0.5,0.47,0.11,0.47,0.29,1.1,1.05,0.02,1.05,0.07,0.6,-0.13,0.17,-0.13,0.19,0.8,0.51,0.04,0.51,0.67,0.7,0.61,0.15,0.61,0.22,0.3,-0.17,0.01,-0.17,0.16,0.9,0.62,0.23,0.62,0.6,1.8,-1.01,0.17,-1.01,1.18
1.0,2.88,4.083,1.34,-0.06,-0.21,4.7,-8.271,-10.37,1.772,-1.723,2.009,-1.031,98.078,-17.835,99.693,1.0,0.89,0.18,0.89,0.34,0.6,0.57,0.13,0.57,0.15,0.6,0.53,0.08,0.53,0.06,0.4,0.37,0.03,0.37,0.04,0.4,0.36,0.22,0.36,0.23,1.2,1.15,0.1,1.15,0.09,0.5,-0.17,0.2,-0.17,0.21,0.8,0.53,0.05,0.53,0.64,0.7,0.68,0.17,0.68,0.22,0.3,-0.17,0.02,-0.17,0.17,0.9,0.65,0.2,0.65,0.54,1.8,-0.82,0.14,-0.82,1.4
2.0,2.86,4.124,2.37,-0.1,-0.37,8.4,-5.746,-9.486,3.158,-3.071,3.579,-1.838,97.766,-16.114,99.107,1.0,0.89,0.18,0.89,0.34,0.6,0.57,0.13,0.57,0.15,0.6,0.53,0.08,0.53,0.06,0.4,0.37,0.03,0.37,0.04,0.4,0.36,0.22,0.36,0.23,1.2,1.15,0.1,1.15,0.09,0.5,-0.17,0.2,-0.17,0.21,0.8,0.53,0.05,0.53,0.64,0.7,0.68,0.17,0.68,0.22,0.3,-0.17,0.02,-0.17,0.17,0.9,0.65,0.2,0.65,0.54,1.8,-0.82,0.14,-0.82,1.4
3.0,2.86,4.163,3.41,-0.15,-0.52,12.0,-3.226,-8.604,4.541,-4.416,5.147,-2.643,97.455,-14.396,98.558,1.0,0.89,0.18,0.89,0.34,0.6,0.57,0.13,0.57,0.15,0.6,0.53,0.08,0.53,0.06,0.4,0.37,0.03,0.37,0.04,0.4,0.36,0.22,0.36,0.23,1.2,1.15,0.1,1.15,0.09,0.5,-0.17,0.2,-0.17,0.21,0.8,0.53,0.05,0.53,0.64,0.7,0.68,0.17,0.68,0.22,0.3,-0.17,0.02,-0.17,0.17,0.9,0.65,0.2,0.65,0.54,1.8,-0.82,0.14,-0.82,1.4
4.0,2.88,4.202,4.44,-0.19,-0.69,15.4,-0.497,-7.723,4.442,-5.759,6.784,-3.447,97.097,-13.045,98.044,1.0,0.89,0.18,0.89,0.34,0.6,0.57,0.13,0.57,0.15,0.6,0.53,0.08,0.53,0.06,0.4,0.37,0.03,0.37,0.04,0.4,0.36,0.22,0.36,0.23,1.2,1.15,0.1,1.15,0.09,0.5,-0.17,0.2,-0.17,0.21,0.8,0.53,0.05,0.53,0.64,0.7,0.68,0.17,0.68,0.22,0.3,-0.17,0.02,-0.17,0.17,0.9,0.65,0.2,0.65,0.54,1.8,-0.82,0.14,-0.82,1.4
5.0,2.9,4.24,5.47,-0.23,-0.85,17.4,3.272,-6.857,-3.237,-7.079,8.758,-4.237,96.503,-13.58,97.547,1.0,0.89,0.18,0.89,0.34,0.6,0.57,0.13,0.57,0.15,0.6,0.53,0.08,0.53,0.06,0.4,0.37,0.03,0.37,0.04,0.4,0.36,0.22,0.36,0.23,1.2,1.15,0.1,1.15,0.09,0.5,-0.17,0.2,-0.17,0.21,0.8,0.53,0.05,0.53,0.64,0.7,0.68,0.17,0.68,0.22,0.3,-0.17,0.02,-0.17,0.17,0.9,0.65,0.2,0.65,0.54,1.8,-0.82,0.14,-0.82,1.4
6.0,2.94,4.279,6.49,-0.27,-1.02,19.4,7.049,-5.99,-10.932,-8.402,10.736,-5.029,95.907,-14.116,97.055,1.0,0.89,0.18,0.89,0.34,0.6,0.57,0.13,0.57,0.15,0.6,0.53,0.08,0.53,0.06,0.4,0.37,0.03,0.37,0.04,0.4,0.36,0.22,0.36,0.23,1.2,1.15,0.1,1.15,0.09,0.5,-0.17,0.2,-0.17,0.21,0.8,0.53,0.05,0.53,0.64,0.7,0.68,0.17,0.68,0.22,0.3,-0.17,0.02,-0.17,0.17,0.9,0.65,0.2,0.65,0.54,1.8,-0.82,0.14,-0.82,1.4
7.0,2.99,4.317,7.52,-0.31,-1.19,21.4,10.711,-5.118,-7.403,-9.731,12.674,-5.824,96.193,-16.469,97.687,1.0,0.89,0.18,0.89,0.34,0.6,0.57,0.13,0.57,0.15,0.6,0.53,0.08,0.53,0.06,0.4,0.37,0.03,0.37,0.04,0.4,0.36,0.22,0.36,0.23,1.2,1.15,0.1,1.15,0.09,0.5,-0.17,0.2,-0.17,0.21,0.8,0.53,0.05,0.53,0.64,0.7,0.68,0.17,0.68,0.22,0.3,-0.17,0.02,-0.17,0.17,0.9,0.65,0.2,0.65,0.54,1.8,-0.82,0.14,-0.82,1.4
8.0,3.04,4.356,8.54,-0.35,-1.38,23.3,13.589,-4.248,0.64,-11.057,14.595,-6.618,96.848,-19.188,98.791,1.0,0.89,0.18,0.89,0.34,0.6,0.57,0.13,0.57,0.15,0.6,0.53,0.08,0.53,0.06,0.4,0.37,0.03,0.37,0.04,0.4,0.36,0.22,0.36,0.23,1.2,1.15,0.1,1.15,0.09,0.5,-0.17,0.2,-0.17,0.21,0.8,0.53,0.05,0.53,0.64,0.7,0.68,0.17,0.68,0.22,0.3,-0.17,0.02,-0.17,0.17,0.9,0.65,0.2,0.65,0.54,1.8,-0.82,0.14,-0.82,1.4
9.0,3.09,4.393,9.56,-0.39,-1.58,25.3,14.435,-3.392,-5.249,-12.363,16.569,-7.4,96.451,-18.575,98.286,1.0,0.89,0.18,0.89,0.34,0.6,0.57,0.13,0.57,0.15,0.6,0.53,0.08,0.53,0.06,0.4,0.37,0.03,0.37,0.04,0.4,0.36,0.22,0.36,0.23,1.2,1.15,0.1,1.15,0.09,0.5,-0.17,0.2,-0.17,0.21,0.8,0.53,0.05,0.53,0.64,0.7,0.68,0.17,0.68,0.22,0.3,-0.17,0.02,-0.17,0.17,0.9,0.65,0.2,0.65,0.54,1.8,-0.82,0.14,-0.82,1.4
10.0,3.15,4.431,10.58,-0.43,-1.78,27.2,15.805,-2.528,1.475,-13.679,18.484,-8.188,96.075,-19.895,98.187,1.0,0.89,0.18,0.89,0.34,0.6,0.57,0.13,0.57,0.15,0.6,0.53,0.08,0.53,0.06,0.4,0.37,0.03,0.37,0.04,0.4,0.36,0.22,0.36,0.23,1.2,1.15,0.1,1.15,0.09,0.5,-0.17,0.2,-0.17,0.21,0.8,0.53,0.05,0.53,0.64,0.7,0.68,0.17,0.68,0.22,0.3,-0.17,0.02,-0.17,0.17,0.9,0.65,0.2,0.65,0.54,1.8,-0.82,0.14,-0.82,1.4
11.0,3.21,4.469,11.59,-0.47,-2.0,29.1,16.39,-1.668,5.663,-14.991,20.358,-8.973,95.805,-20.531,98.053,1.0,0.97,0.06,0.97,0.36,0.6,0.62,0.15,0.62,0.08,0.5,0.47,0.12,0.47,0.09,0.3,0.33,0.07,0.33,0.02,0.4,0.32,0.21,0.32,0.26,1.2,1.18,0.11,1.18,0.09,0.6,-0.19,0.08,-0.19,0.3,0.8,0.53,0.05,0.53,0.63,0.7,0.7,0.15,0.7,0.13,0.3,-0.21,0.03,-0.21,0.17,0.9,0.68,0.17,0.68,0.51,1.7,-0.48,0.01,-0.48,1.51
12.0,3.28,4.507,12.61,-0.5,-2.21,30.9,16.575,-0.805,8.963,-16.307,22.169,-9.76,95.291,-20.555,97.552,1.0,0.97,0.06,0.97,0.36,0.6,0.62,0.15,0.62,0.08,0.5,0.47,0.12,0.47,0.09,0.3,0.33,0.07,0.33,0.02,0.4,0.32,0.21,0.32,0.26,1.2,1.18,0.11,1.18,0.09,0.6,-0.19,0.08,-0.19,0.3,0.8,0.53,0.05,0.53,0.63,0.7,0.7,0.15,0.7,0.13,0.3,-0.21,0.03,-0.21,0.17,0.9,0.68,0.17,0.68,0.51,1.7,-0.48,0.01,-0.48,1.51
