Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-91.1,,0.0,-79.31,0.0,41.43,,,,,,,,0.0,0.0,0.0,1.1,0.97,0.04,0.97,0.54,1.0,0.39,0.06,0.39,0.91,0.8,0.57,0.17,0.57,0.49,1.0,0.17,0.01,0.17,0.8,0.7,0.56,0.36,0.56,0.25,1.6,1.58,0.13,1.58,0.02,0.9,0.23,0.02,0.23,0.85,1.0,-0.18,0.0,-0.18,0.94,0.8,0.09,0.01,0.09,0.7,0.4,-0.42,0.33,-0.42,0.02,0.6,-0.3,0.05,-0.3,0.44,0.6,-0.6,0.06,-0.6,0.06
0.0,2.93,3.942,0.09,0.0,-0.02,0.0,,-11.5,,0.0,,0.0,93.915,-19.107,95.839,1.1,0.92,0.13,0.92,0.33,1.0,0.49,0.03,0.49,0.84,1.4,1.09,0.36,1.09,0.07,1.0,0.21,0.05,0.21,0.84,1.1,1.07,0.14,1.07,0.4,1.4,1.38,0.12,1.38,0.02,0.9,-0.21,0.16,-0.21,0.85,1.1,-0.52,0.12,-0.52,0.99,1.0,-0.4,0.24,-0.4,0.84,0.3,-0.03,0.14,-0.03,0.15,0.6,-0.39,0.04,-0.39,0.47,0.6,-0.46,0.09,-0.46,0.21
1.0,2.91,4.04,1.26,-0.0,-0.18,2.1,,-10.521,,1.113,,-1.137,94.565,-13.654,95.546,1.1,0.95,0.12,0.95,0.23,1.0,0.5,0.04,0.5,0.81,1.3,1.06,0.28,1.06,0.01,1.0,0.18,0.05,0.18,0.85,1.1,1.01,0.08,1.01,0.36,1.4,1.36,0.13,1.36,0.05,0.8,-0.26,0.21,-0.26,0.77,1.0,-0.44,0.04,-0.44,0.95,1.1,-0.41,0.28,-0.41,0.89,0.3,-0.01,0.12,-0.01,0.17,0.6,-0.38,0.05,-0.38,0.5,0.5,-0.41,0.11,-0.41,0.23
2.0,2.91,4.146,2.38,-0.0,-0.32,4.7,,-8.856,,1.633,,-2.484,94.747,-10.969,95.382,1.1,0.95,0.12,0.95,0.23,1.0,0.5,0.04,0.5,0.81,1.3,1.06,0.28,1.06,0.01,1.0,0.18,0.05,0.18,0.85,1.1,1.01,0.08,1.01,0.36,1.4,1.36,0.13,1.36,0.05,0.8,-0.26,0.21,-0.26,0.77,1.0,-0.44,0.04,-0.44,0.95,1.1,-0.41,0.28,-0.41,0.89,0.3,-0.01,0.12,-0.01,0.17,0.6,-0.38,0.05,-0.38,0.5,0.5,-0.41,0.11,-0.41,0.23
3.0,2.95,4.255,3.42,-0.01,-0.44,8.0,,-6.125,,1.633,,-4.175,94.425,-12.598,95.267,1.1,0.92,0.13,0.92,0.25,1.0,0.52,0.01,0.52,0.83,1.2,0.97,0.06,0.97,0.01,0.9,0.22,0.01,0.22,0.77,1.5,1.24,0.44,1.24,0.78,1.4,1.33,0.15,1.33,0.06,0.8,-0.2,0.26,-0.2,0.71,1.0,-0.15,0.03,-0.15,0.94,1.1,-0.38,0.26,-0.38,0.87,0.3,0.01,0.09,0.01,0.19,0.6,-0.41,0.04,-0.41,0.48,0.4,-0.26,0.17,-0.26,0.28
4.0,2.98,4.293,4.46,-0.02,-0.58,11.5,,-3.571,,4.859,,-5.94,95.917,-13.617,96.888,1.1,0.92,0.13,0.92,0.25,1.0,0.52,0.01,0.52,0.83,1.2,0.97,0.06,0.97,0.01,0.9,0.22,0.01,0.22,0.77,1.5,1.24,0.44,1.24,0.78,1.4,1.33,0.15,1.33,0.06,0.8,-0.2,0.26,-0.2,0.71,1.0,-0.15,0.03,-0.15,0.94,1.1,-0.38,0.26,-0.38,0.87,0.3,0.01,0.09,0.01,0.19,0.6,-0.41,0.04,-0.41,0.48,0.4,-0.26,0.17,-0.26,0.28
5.0,3.03,4.332,5.49,-0.04,-0.74,14.7,,-1.989,,4.508,,-7.242,96.148,-14.936,97.314,1.1,0.92,0.13,0.92,0.25,1.0,0.52,0.01,0.52,0.83,1.2,0.97,0.06,0.97,0.01,0.9,0.22,0.01,0.22,0.77,1.5,1.24,0.44,1.24,0.78,1.4,1.33,0.15,1.33,0.06,0.8,-0.2,0.26,-0.2,0.71,1.0,-0.15,0.03,-0.15,0.94,1.1,-0.38,0.26,-0.38,0.87,0.3,0.01,0.09,0.01,0.19,0.6,-0.41,0.04,-0.41,0.48,0.4,-0.26,0.17,-0.26,0.28
6.0,3.07,4.371,6.52,-0.07,-0.9,17.8,,-0.602,,3.439,,-8.452,96.125,-16.315,97.518,1.1,0.92,0.13,0.92,0.25,1.0,0.52,0.01,0.52,0.83,1.2,0.97,0.06,0.97,0.01,0.9,0.22,0.01,0.22,0.77,1.5,1.24,0.44,1.24,0.78,1.4,1.33,0.15,1.33,0.06,0.8,-0.2,0.26,-0.2,0.71,1.0,-0.15,0.03,-0.15,0.94,1.1,-0.38,0.26,-0.38,0.87,0.3,0.01,0.09,0.01,0.19,0.6,-0.41,0.04,-0.41,0.48,0.4,-0.26,0.17,-0.26,0.28
7.0,3.12,4.41,7.55,-0.09,-1.07,20.8,,0.413,,2.002,,-9.497,96.117,-17.44,97.709,1.1,0.92,0.13,0.92,0.25,1.0,0.52,0.01,0.52,0.83,1.2,0.97,0.06,0.97,0.01,0.9,0.22,0.01,0.22,0.77,1.5,1.24,0.44,1.24,0.78,1.4,1.33,0.15,1.33,0.06,0.8,-0.2,0.26,-0.2,0.71,1.0,-0.15,0.03,-0.15,0.94,1.1,-0.38,0.26,-0.38,0.87,0.3,0.01,0.09,0.01,0.19,0.6,-0.41,0.04,-0.41,0.48,0.4,-0.26,0.17,-0.26,0.28
8.0,3.16,4.448,8.57,-0.1,-1.26,23.3,,0.355,,-0.493,,-10.07,96.15,-17.836,97.812,1.1,0.92,0.13,0.92,0.25,1.0,0.52,0.01,0.52,0.83,1.2,0.97,0.06,0.97,0.01,0.9,0.22,0.01,0.22,0.77,1.5,1.24,0.44,1.24,0.78,1.4,1.33,0.15,1.33,0.06,0.8,-0.2,0.26,-0.2,0.71,1.0,-0.15,0.03,-0.15,0.94,1.1,-0.38,0.26,-0.38,0.87,0.3,0.01,0.09,0.01,0.19,0.6,-0.41,0.04,-0.41,0.48,0.4,-0.26,0.17,-0.26,0.28
