Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-92.51,,0.0,-80.68,-0.0,42.52,,,,,,,,0.0,0.0,0.0,0.9,0.91,0.13,0.91,0.03,1.1,1.02,0.11,1.02,0.12,0.9,0.88,0.11,0.88,0.05,0.6,0.53,0.17,0.53,0.35,0.4,0.3,0.24,0.3,0.24,0.9,0.1,0.1,0.1,0.93,0.6,0.44,0.1,0.44,0.3,1.3,0.35,0.02,0.35,1.2,0.5,0.38,0.06,0.38,0.06,0.7,0.45,0.04,0.45,0.58,0.5,0.42,0.05,0.42,0.05,0.8,-0.35,0.02,-0.35,0.54
0.0,2.93,4.147,0.03,-0.0,-0.01,0.0,-11.5,-11.5,0.0,0.0,0.0,0.0,95.782,-19.487,97.744,0.9,0.88,0.0,0.88,0.19,1.2,1.06,0.08,1.06,0.14,1.0,0.96,0.05,0.96,0.1,1.1,0.98,0.45,0.98,0.57,0.4,0.34,0.05,0.34,0.22,0.5,0.1,0.32,0.1,0.48,1.0,0.64,0.4,0.64,0.68,1.3,0.4,0.04,0.4,1.16,0.5,0.34,0.09,0.34,0.17,0.7,0.38,0.12,0.38,0.55,0.6,0.57,0.08,0.57,0.15,0.6,-0.08,0.16,-0.08,0.6
1.0,2.96,4.317,1.35,-0.0,-0.13,3.0,-8.461,-8.079,-3.986,4.063,1.475,-1.697,96.471,-9.501,96.938,0.9,0.86,0.03,0.86,0.22,1.1,1.05,0.05,1.05,0.12,1.0,0.95,0.03,0.95,0.08,1.2,1.06,0.46,1.06,0.5,0.5,0.43,0.02,0.43,0.2,0.4,0.05,0.4,0.05,0.36,1.1,0.71,0.45,0.71,0.72,1.3,0.34,0.03,0.34,1.17,0.4,0.32,0.12,0.32,0.19,0.7,0.37,0.13,0.37,0.54,0.6,0.56,0.05,0.56,0.17,0.7,-0.12,0.11,-0.12,0.63
2.0,3.01,4.304,2.39,-0.0,-0.22,6.0,-3.568,-3.443,-5.642,6.344,2.68,-3.395,96.27,-8.728,96.665,0.9,0.86,0.03,0.86,0.22,1.1,1.05,0.05,1.05,0.12,1.0,0.95,0.03,0.95,0.08,1.2,1.06,0.46,1.06,0.5,0.5,0.43,0.02,0.43,0.2,0.4,0.05,0.4,0.05,0.36,1.1,0.71,0.45,0.71,0.72,1.3,0.34,0.03,0.34,1.17,0.4,0.32,0.12,0.32,0.19,0.7,0.37,0.13,0.37,0.54,0.6,0.56,0.05,0.56,0.17,0.7,-0.12,0.11,-0.12,0.63
3.0,3.07,4.295,3.44,0.0,-0.32,9.3,2.647,2.627,-8.4,8.036,4.062,-5.377,96.377,-10.071,96.903,0.9,0.86,0.03,0.86,0.22,1.1,1.05,0.05,1.05,0.12,1.0,0.95,0.03,0.95,0.08,1.2,1.06,0.46,1.06,0.5,0.5,0.43,0.02,0.43,0.2,0.4,0.05,0.4,0.05,0.36,1.1,0.71,0.45,0.71,0.72,1.3,0.34,0.03,0.34,1.17,0.4,0.32,0.12,0.32,0.19,0.7,0.37,0.13,0.37,0.54,0.6,0.56,0.05,0.56,0.17,0.7,-0.12,0.11,-0.12,0.63
4.0,3.15,4.449,4.48,0.01,-0.42,12.7,8.865,8.703,-11.147,9.716,5.454,-7.371,96.478,-11.409,97.152,0.9,0.86,0.03,0.86,0.22,1.1,1.05,0.05,1.05,0.12,1.0,0.95,0.03,0.95,0.08,1.2,1.06,0.46,1.06,0.5,0.5,0.43,0.02,0.43,0.2,0.4,0.05,0.4,0.05,0.36,1.1,0.71,0.45,0.71,0.72,1.3,0.34,0.03,0.34,1.17,0.4,0.32,0.12,0.32,0.19,0.7,0.37,0.13,0.37,0.54,0.6,0.56,0.05,0.56,0.17,0.7,-0.12,0.11,-0.12,0.63
5.0,3.22,4.488,5.53,0.01,-0.54,17.6,12.777,13.249,-10.993,8.702,7.844,-10.235,95.508,-11.399,96.187,0.9,0.86,0.03,0.86,0.22,1.1,1.05,0.05,1.05,0.12,1.0,0.91,0.0,0.91,0.08,1.2,1.04,0.41,1.04,0.5,0.5,0.43,0.02,0.43,0.2,0.4,0.0,0.4,0.0,0.3,1.1,0.76,0.49,0.76,0.77,1.3,0.34,0.03,0.34,1.17,0.4,0.32,0.12,0.32,0.19,0.7,0.37,0.13,0.37,0.54,0.6,0.56,0.05,0.56,0.17,0.7,-0.12,0.11,-0.12,0.63
6.0,3.3,4.527,6.56,0.02,-0.68,22.8,15.585,16.208,-6.932,5.114,10.579,-13.2,95.852,-13.21,96.758,0.9,0.86,0.03,0.86,0.22,1.1,1.05,0.05,1.05,0.12,1.0,0.91,0.0,0.91,0.08,1.2,1.04,0.41,1.04,0.5,0.5,0.43,0.02,0.43,0.2,0.4,0.0,0.4,0.0,0.3,1.1,0.76,0.49,0.76,0.77,1.3,0.34,0.03,0.34,1.17,0.4,0.32,0.12,0.32,0.19,0.7,0.37,0.13,0.37,0.54,0.6,0.56,0.05,0.56,0.17,0.7,-0.12,0.11,-0.12,0.63
7.0,3.37,4.566,7.6,0.03,-0.83,28.1,16.842,17.529,-2.263,0.567,13.29,-16.111,96.001,-14.595,97.104,0.9,0.86,0.03,0.86,0.22,1.1,1.05,0.05,1.05,0.12,1.0,0.91,0.0,0.91,0.08,1.2,1.04,0.41,1.04,0.5,0.5,0.43,0.02,0.43,0.2,0.4,0.0,0.4,0.0,0.3,1.1,0.76,0.49,0.76,0.77,1.3,0.34,0.03,0.34,1.17,0.4,0.32,0.12,0.32,0.19,0.7,0.37,0.13,0.37,0.54,0.6,0.56,0.05,0.56,0.17,0.7,-0.12,0.11,-0.12,0.63
8.0,3.45,4.605,8.63,0.03,-0.99,32.9,16.713,17.528,1.722,-4.266,15.692,-18.773,95.459,-14.839,96.605,0.9,0.86,0.03,0.86,0.22,1.1,1.05,0.05,1.05,0.12,1.0,0.91,0.0,0.91,0.08,1.2,1.04,0.41,1.04,0.5,0.5,0.43,0.02,0.43,0.2,0.4,0.0,0.4,0.0,0.3,1.1,0.76,0.49,0.76,0.77,1.3,0.34,0.03,0.34,1.17,0.4,0.32,0.12,0.32,0.19,0.7,0.37,0.13,0.37,0.54,0.6,0.56,0.05,0.56,0.17,0.7,-0.12,0.11,-0.12,0.63
