time,angle,angle_raw,outlier,angle_smooth,segment,airborne,angle_leg,angle_torso,n_skis,body_inclination,ski_inclination,knee_angle,hip_angle,view,ski_v_angle_2d,confidence,shot,frame,pose_method,camera_motion_px,joint_angles_2d.left_elbow,joint_angles_2d.right_elbow,joint_angles_2d.left_shoulder,joint_angles_2d.right_shoulder,joint_angles_2d.left_wrist,joint_angles_2d.right_wrist,joint_angles_2d.left_hip,joint_angles_2d.right_hip,joint_angles_2d.left_knee,joint_angles_2d.right_knee,joint_angles_2d.left_ankle,joint_angles_2d.right_ankle,joint_angles_2d.neck,joint_angles_3d.left_elbow,joint_angles_3d.right_elbow,joint_angles_3d.left_shoulder,joint_angles_3d.right_shoulder,joint_angles_3d.left_wrist,joint_angles_3d.right_wrist,joint_angles_3d.left_hip,joint_angles_3d.right_hip,joint_angles_3d.left_knee,joint_angles_3d.right_knee,joint_angles_3d.left_ankle,joint_angles_3d.right_ankle,joint_angles_3d.neck,posture_3d.leg_spread,posture_3d.arm_spread,posture_3d.trunk_twist,posture_3d.head_to_trunk,posture_3d.ankle_separation_m,posture_3d.knee_separation_m,posture_3d.wrist_separation_m,posture_3d.hand_to_hip_l_m,posture_3d.hand_to_hip_r_m,posture_3d.body_length_m,relative_to_ski_2d.body_line,relative_to_ski_2d.leg_line,relative_to_ski_2d.trunk,relative_to_ski_2d.head,relative_to_ski_2d.upper_arm_l,relative_to_ski_2d.upper_arm_r,relative_to_ski_2d.forearm_l,relative_to_ski_2d.forearm_r,relative_to_ski_2d.thigh_l,relative_to_ski_2d.thigh_r,relative_to_ski_2d.shank_l,relative_to_ski_2d.shank_r,relative_to_ski_2d.foot_l,relative_to_ski_2d.foot_r,segment_inclination_2d.body_line,segment_inclination_2d.leg_line,segment_inclination_2d.trunk,segment_inclination_2d.head,segment_inclination_2d.upper_arm_l,segment_inclination_2d.upper_arm_r,segment_inclination_2d.forearm_l,segment_inclination_2d.forearm_r,segment_inclination_2d.thigh_l,segment_inclination_2d.thigh_r,segment_inclination_2d.shank_l,segment_inclination_2d.shank_r,segment_inclination_2d.foot_l,segment_inclination_2d.foot_r,distances_rel_2d.shoulder_width,distances_rel_2d.hip_width,distances_rel_2d.ankle_separation,distances_rel_2d.knee_separation,distances_rel_2d.wrist_separation,distances_rel_2d.hand_to_hip_l,distances_rel_2d.hand_to_hip_r,distances_rel_2d.head_to_shoulder,center_of_mass_vs_ski.along_ski_from_ankles,center_of_mass_vs_ski.above_ski,skis.v_angle_2d,skis.axis_inclination_2d,skis.visible_length_rel,skis
22.0,22.84,22.84,False,24.2,0,True,35.25,3.94,1,30.8,8.0,167.7,142.3,side,0.0,0.882,1,1320,full,,,172.8,,9.6,,170.9,,140.4,,164.5,,149.8,153.7,164.6,167.2,12.1,44.8,156.1,112.6,145.4,136.3,177.7,153.2,127.8,105.4,151.6,13.3,37.6,3.0,74.6,0.431,0.323,0.511,0.069,0.352,1.208,22.8,35.2,3.9,-22.3,,7.3,,0.1,,-42.0,,-26.4,-41.5,-80.7,30.8,43.3,11.9,-14.3,,-179.3,,-172.1,,-130.0,,-145.6,-33.5,-72.7,0.069,0.056,0.126,0.054,0.076,0.087,0.107,0.193,0.59,0.309,0.0,8.0,0.906,
22.1,25.56,25.56,False,22.84,0,True,36.49,9.42,1,30.1,4.5,170.4,148.1,side,0.0,1.0,1,1326,track,,175.3,168.0,7.0,14.1,178.6,169.8,147.8,148.4,169.4,171.3,142.6,128.5,152.0,155.3,162.1,18.8,24.5,154.7,102.2,151.6,141.3,178.1,157.2,130.4,105.0,138.9,34.1,21.9,12.1,83.1,0.535,0.442,0.357,0.052,0.188,1.181,25.6,36.5,9.4,-18.6,-4.4,6.7,-9.1,-5.2,-43.6,-38.9,-33.0,-30.2,-62.7,-71.5,30.1,41.0,14.0,-14.0,-171.1,177.8,-166.3,-170.2,-131.9,-136.5,-142.4,-145.2,-58.1,-66.9,0.06,0.027,0.056,0.01,0.009,0.042,0.072,0.197,0.575,0.327,0.0,4.5,1.758,
22.2,19.48,19.48,False,19.48,0,True,24.93,11.99,1,28.0,8.5,173.0,170.3,side,0.0,0.75,1,1332,track,,,178.7,,16.0,,177.6,,167.0,,177.5,,151.0,145.2,110.3,157.0,9.6,19.7,68.5,104.3,169.7,163.3,162.2,169.0,151.4,108.0,124.0,8.1,25.9,2.2,98.1,0.134,0.182,0.489,0.385,0.177,1.211,,,12.0,-22.8,,6.4,,7.6,,-22.6,,-25.1,,-76.1,,,20.5,-14.3,,-177.9,,-179.1,,-148.9,,-146.4,,-67.6,0.058,0.023,0.022,0.065,0.306,0.27,0.128,0.149,0.608,0.241,0.0,8.5,1.422,
22.3,15.15,15.15,False,15.15,0,True,22.28,3.57,1,28.0,12.8,173.4,158.9,side,0.0,1.0,1,1338,track,,176.7,167.5,8.3,7.6,175.4,171.8,166.7,151.0,167.7,179.1,97.4,121.7,151.5,164.7,167.4,10.0,22.6,153.0,142.5,155.0,136.9,167.9,158.3,97.7,93.3,138.7,15.3,27.9,8.9,82.6,0.316,0.302,0.503,0.133,0.164,1.136,15.2,22.3,3.6,-24.9,0.3,7.8,3.6,-4.6,-21.3,-28.7,-9.0,-29.6,-62.1,-61.5,28.0,35.1,16.4,-12.0,-167.5,-175.0,-170.7,-162.5,-145.8,-138.4,-158.2,-137.5,-49.3,-48.6,0.172,0.094,0.244,0.14,0.242,0.133,0.033,0.145,0.636,0.204,0.0,12.8,1.342,
22.4,12.06,12.06,False,12.06,0,True,18.21,3.27,2,31.4,19.4,174.7,161.1,side,8.6,1.0,1,1344,track,,176.8,168.1,13.7,8.9,179.6,177.8,176.6,145.7,179.7,169.6,165.6,109.9,148.7,155.1,169.7,14.0,14.6,151.4,122.6,159.7,138.3,173.6,155.3,163.1,83.0,138.7,24.7,19.8,14.1,77.4,0.426,0.357,0.398,0.161,0.099,1.075,12.1,18.2,3.3,-28.0,6.1,9.3,9.3,-2.6,-11.0,-33.9,-11.3,-23.5,52.9,-54.2,31.4,37.6,22.6,-8.7,-166.8,-169.9,-170.0,-158.0,-149.6,-126.7,-149.3,-137.1,72.3,-34.9,0.174,0.092,0.379,0.27,0.251,0.112,0.11,0.127,0.632,0.163,8.6,19.4,1.917,
22.5,7.56,7.56,False,7.56,0,True,15.63,-3.41,2,31.7,24.1,144.0,123.9,side,9.1,1.0,1,1350,track,,,171.8,,21.4,,179.3,169.8,78.0,177.8,110.2,171.7,107.3,172.9,141.0,169.5,30.0,25.4,102.2,109.9,152.2,134.3,178.8,149.4,153.3,123.5,121.6,81.7,44.9,44.4,74.0,0.9,0.601,0.399,0.205,0.284,1.086,7.6,15.6,-3.4,-10.5,,25.7,,17.5,-7.6,-82.3,-5.4,-27.9,-17.0,-49.1,31.7,39.7,20.7,13.6,,178.4,,-173.4,-148.3,-58.2,-150.5,-128.0,-138.9,-25.0,0.047,0.07,0.552,0.524,0.407,0.249,0.228,0.101,0.646,0.128,9.1,24.1,1.729,
22.6,4.45,4.45,False,4.45,0,True,11.32,-6.96,2,33.8,29.4,168.0,163.5,oblique,15.1,0.6,1,1356,track,,,175.4,41.4,22.6,,177.0,176.3,150.7,167.4,168.5,174.5,107.5,174.3,131.8,175.3,34.1,33.9,166.7,114.1,156.3,154.8,165.6,169.8,133.0,136.8,118.8,46.5,57.6,123.6,100.0,0.719,0.366,0.425,0.162,0.303,1.15,4.5,11.3,-7.0,-12.6,-31.2,25.3,,20.7,6.5,-26.6,-6.1,-38.1,17.2,-33.4,33.8,40.7,22.4,16.7,-119.4,-175.9,,-171.3,-157.1,-124.0,-144.5,-112.6,-167.9,-4.0,0.133,0.013,0.519,0.3,0.451,0.221,0.224,0.123,0.667,0.093,15.1,29.4,2.541,
22.7,1.51,1.51,False,1.51,0,True,9.36,-12.59,2,35.6,34.0,165.2,149.7,oblique,19.2,0.6,1,1362,track,,,168.9,,24.1,,177.9,176.9,122.5,169.2,161.2,155.2,120.2,167.5,145.7,174.1,31.2,30.5,144.0,126.6,156.2,143.7,176.3,167.9,151.9,137.8,128.7,44.7,56.4,108.5,109.5,0.677,0.405,0.437,0.201,0.314,1.128,1.5,9.4,-12.6,-0.1,,38.6,,27.5,8.1,-43.0,-2.7,-24.2,40.5,-68.9,35.6,43.4,21.5,33.9,,175.4,,-173.4,-154.0,-103.0,-143.3,-121.8,173.6,-34.9,0.096,0.064,0.654,0.4,0.504,0.28,0.289,0.109,0.683,0.063,19.2,34.0,2.291,
22.8,-1.3,-1.3,False,0.1,0,True,6.99,-14.73,2,36.3,37.6,158.6,160.5,oblique,21.2,0.6,1,1368,track,,168.8,145.4,11.3,8.5,155.5,171.2,177.3,143.7,173.7,143.4,169.1,167.3,177.8,148.2,159.8,19.3,6.8,165.5,134.3,146.5,142.2,164.4,137.9,168.1,134.6,173.2,28.5,12.7,23.7,44.1,0.668,0.376,0.439,0.282,0.067,1.015,-1.3,7.0,-14.7,-12.5,21.3,27.4,32.5,-7.2,7.3,-17.4,1.0,-54.0,19.7,-81.9,36.3,44.5,22.8,25.1,-163.8,-169.9,-175.0,-135.2,-149.7,-125.0,-143.4,-88.4,-162.2,-44.4,0.222,0.146,0.683,0.356,0.386,0.221,0.05,0.105,0.655,0.036,21.2,37.6,2.042,
22.9,,7.48,False,,0,True,,,2,66.7,59.2,172.8,144.5,frontal,34.8,0.1,2,1374,detector,,157.3,95.7,38.8,0.5,178.3,153.7,143.0,146.0,179.2,166.5,49.2,114.4,144.3,163.1,108.5,43.4,48.7,94.0,142.9,99.0,108.4,159.7,136.9,68.9,83.5,113.1,28.2,82.1,18.6,85.2,0.66,0.31,0.567,0.284,0.401,0.916,7.5,8.9,5.5,-30.1,-38.4,-11.4,-15.6,-84.3,-36.6,22.2,-37.4,8.7,5.7,66.2,66.7,68.1,64.7,29.1,-82.4,-109.4,-105.2,-25.1,-84.2,-143.0,-83.4,-129.5,64.9,125.4,0.285,0.19,0.75,0.451,0.215,0.249,0.271,0.043,0.653,0.089,34.8,59.2,2.956,
