Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-90.61,,0.0,-79.32,0.0,41.43,,,,,,,,0.0,0.0,0.0,1.3,1.08,0.44,1.08,0.68,1.1,0.76,0.07,0.76,0.76,1.1,1.06,0.27,1.06,0.24,1.1,0.58,0.07,0.58,0.87,2.3,2.07,0.2,2.07,1.03,1.5,0.7,0.02,0.7,1.1,2.4,2.14,0.25,2.14,0.92,1.8,1.73,0.08,1.73,0.29,2.4,1.85,0.36,1.85,1.32,1.8,1.7,0.09,1.7,0.4,1.6,1.09,0.17,1.09,1.11,1.8,1.74,0.11,1.74,0.45
0.0,2.93,3.969,0.05,0.0,-0.01,0.0,-11.5,-11.5,0.0,0.0,0.0,0.0,95.158,-19.36,97.108,1.6,1.4,0.17,1.4,0.72,1.2,0.85,0.04,0.85,0.75,1.2,1.12,0.09,1.12,0.43,1.1,0.44,0.03,0.44,0.81,1.5,1.32,0.42,1.32,0.68,1.9,1.84,0.37,1.84,0.61,1.8,1.68,0.37,1.68,0.54,1.7,1.63,0.09,1.63,0.06,1.4,1.19,0.44,1.19,0.72,1.4,1.37,0.17,1.37,0.31,1.4,1.15,0.03,1.15,0.71,1.6,1.53,0.09,1.53,0.48
1.0,2.92,4.181,1.34,-0.03,-0.17,2.4,-7.587,-8.322,-4.141,3.8,0.988,-1.424,93.402,-10.755,94.043,1.1,1.02,0.26,1.02,0.43,1.2,0.85,0.04,0.85,0.75,1.4,1.35,0.3,1.35,0.44,1.1,0.37,0.05,0.37,0.84,1.7,1.55,0.21,1.55,0.66,2.1,1.86,0.41,1.86,0.87,1.8,1.64,0.34,1.64,0.46,1.7,1.65,0.05,1.65,0.08,1.5,1.22,0.34,1.22,0.72,1.3,1.23,0.26,1.23,0.34,1.3,1.17,0.03,1.17,0.66,1.7,1.59,0.03,1.59,0.47
2.0,2.95,4.221,2.38,-0.05,-0.29,4.1,-4.557,-4.627,-4.408,1.651,1.647,-2.427,93.847,-10.448,94.452,1.1,1.02,0.26,1.02,0.43,1.2,0.85,0.04,0.85,0.75,1.4,1.35,0.3,1.35,0.44,1.1,0.37,0.05,0.37,0.84,1.7,1.55,0.21,1.55,0.66,2.1,1.86,0.41,1.86,0.87,1.8,1.64,0.34,1.64,0.46,1.7,1.65,0.05,1.65,0.08,1.5,1.22,0.34,1.22,0.72,1.3,1.23,0.26,1.23,0.34,1.3,1.17,0.03,1.17,0.66,1.7,1.59,0.03,1.59,0.47
3.0,2.99,4.26,3.42,-0.08,-0.41,6.5,-1.775,-0.066,-2.975,2.279,2.917,-3.57,95.626,-11.108,96.289,1.1,1.02,0.26,1.02,0.43,1.2,0.85,0.04,0.85,0.75,1.4,1.35,0.3,1.35,0.44,1.1,0.37,0.05,0.37,0.84,1.7,1.55,0.21,1.55,0.66,2.1,1.86,0.41,1.86,0.87,1.8,1.64,0.34,1.64,0.46,1.7,1.65,0.05,1.65,0.08,1.5,1.22,0.34,1.22,0.72,1.3,1.23,0.26,1.23,0.34,1.3,1.17,0.03,1.17,0.66,1.7,1.59,0.03,1.59,0.47
4.0,3.02,4.299,4.46,-0.1,-0.54,9.5,-0.19,5.137,-9.828,8.216,4.894,-4.658,95.741,-13.816,96.755,1.1,1.02,0.26,1.02,0.43,1.2,0.85,0.04,0.85,0.75,1.4,1.35,0.3,1.35,0.44,1.1,0.37,0.05,0.37,0.84,1.7,1.55,0.21,1.55,0.66,2.1,1.86,0.41,1.86,0.87,1.8,1.64,0.34,1.64,0.46,1.7,1.65,0.05,1.65,0.08,1.5,1.22,0.34,1.22,0.72,1.3,1.23,0.26,1.23,0.34,1.3,1.17,0.03,1.17,0.66,1.7,1.59,0.03,1.59,0.47
5.0,3.05,4.338,5.49,-0.1,-0.71,12.4,-0.344,6.24,-9.277,6.606,7.783,-5.92,95.562,-14.884,96.725,1.1,1.02,0.26,1.02,0.43,1.2,0.85,0.04,0.85,0.75,1.4,1.35,0.3,1.35,0.44,1.1,0.37,0.05,0.37,0.84,1.7,1.55,0.21,1.55,0.66,2.1,1.86,0.41,1.86,0.87,1.8,1.64,0.34,1.64,0.46,1.7,1.65,0.05,1.65,0.08,1.5,1.22,0.34,1.22,0.72,1.3,1.23,0.26,1.23,0.34,1.3,1.17,0.03,1.17,0.66,1.7,1.59,0.03,1.59,0.47
6.0,3.09,4.376,6.52,-0.11,-0.88,15.3,-0.498,7.342,-8.727,4.997,10.67,-7.181,95.384,-15.951,96.712,1.1,1.02,0.26,1.02,0.43,1.2,0.85,0.04,0.85,0.75,1.4,1.35,0.3,1.35,0.44,1.1,0.37,0.05,0.37,0.84,1.7,1.55,0.21,1.55,0.66,2.1,1.86,0.41,1.86,0.87,1.8,1.64,0.34,1.64,0.46,1.7,1.65,0.05,1.65,0.08,1.5,1.22,0.34,1.22,0.72,1.3,1.23,0.26,1.23,0.34,1.3,1.17,0.03,1.17,0.66,1.7,1.59,0.03,1.59,0.47
7.0,3.13,4.414,7.55,-0.13,-1.06,19.6,-0.752,8.458,-7.699,3.367,13.407,-8.459,95.375,-17.218,96.921,1.1,1.02,0.26,1.02,0.43,1.2,0.86,0.05,0.86,0.76,1.6,1.54,0.48,1.54,0.47,1.1,0.37,0.05,0.37,0.84,1.7,1.6,0.18,1.6,0.49,2.1,1.86,0.41,1.86,0.87,1.8,1.66,0.24,1.66,0.26,1.7,1.65,0.05,1.65,0.1,1.5,1.33,0.24,1.33,0.66,1.3,1.23,0.26,1.23,0.34,1.3,1.17,0.03,1.17,0.66,1.7,1.63,0.01,1.63,0.39
8.0,3.18,4.454,8.57,-0.17,-1.24,25.3,-1.116,9.237,-5.575,1.536,15.796,-9.765,95.598,-18.657,97.415,1.1,1.02,0.26,1.02,0.43,1.2,0.86,0.05,0.86,0.76,1.6,1.54,0.48,1.54,0.47,1.1,0.37,0.05,0.37,0.84,1.7,1.6,0.18,1.6,0.49,2.1,1.86,0.41,1.86,0.87,1.8,1.66,0.24,1.66,0.26,1.7,1.65,0.05,1.65,0.1,1.5,1.33,0.24,1.33,0.66,1.3,1.23,0.26,1.23,0.34,1.3,1.17,0.03,1.17,0.66,1.7,1.63,0.01,1.63,0.39
