Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross,W1_Speed_quad,W2_Speed_quad,W3_Speed_quad,W4_Speed_quad,W5_Speed_quad,W6_Speed_quad,W7_Speed_quad,W8_Speed_quad,W9_Speed_quad,W10_Speed_quad,W11_Speed_quad,W12_Speed_quad,W1_Tangent_quad,W2_Tangent_quad,W3_Tangent_quad,W4_Tangent_quad,W5_Tangent_quad,W6_Tangent_quad,W7_Tangent_quad,W8_Tangent_quad,W9_Tangent_quad,W10_Tangent_quad,W11_Tangent_quad,W12_Tangent_quad,W1_Cross_quad,W2_Cross_quad,W3_Cross_quad,W4_Cross_quad,W5_Cross_quad,W6_Cross_quad,W7_Cross_quad,W8_Cross_quad,W9_Cross_quad,W10_Cross_quad,W11_Cross_quad,W12_Cross_quad,W1_Turbulence_quad,W2_Turbulence_quad,W3_Turbulence_quad,W4_Turbulence_quad,W5_Turbulence_quad,W6_Turbulence_quad,W7_Turbulence_quad,W8_Turbulence_quad,W9_Turbulence_quad,W10_Turbulence_quad,W11_Turbulence_quad,W12_Turbulence_quad
0.0,2.93,3.968,0.03,0.0,-0.01,0.0,-11.5,-11.5,0.0,0.0,0.0,0.0,93.67,-19.057,95.589,1.4,1.4,0.07,1.4,0.18,0.8,0.18,0.02,0.18,0.72,1.2,1.14,0.21,1.14,0.47,1.1,0.43,0.02,0.43,0.92,1.7,0.83,0.34,0.83,1.48,0.7,0.16,0.13,0.16,0.63,1.7,1.63,0.15,1.63,0.26,1.5,1.34,0.01,1.34,0.01,2.2,2.0,0.04,2.0,1.01,2.0,1.83,0.12,1.83,0.82,1.7,1.18,0.25,1.18,0.95,1.6,1.51,0.3,1.51,0.09,1.9599999999999997,0.6400000000000001,1.44,1.2100000000000002,2.8899999999999997,0.48999999999999994,2.8899999999999997,2.25,4.840000000000001,4.0,2.8899999999999997,2.5600000000000005,1.9599999999999997,0.0324,1.2995999999999999,0.18489999999999998,0.6889,0.0256,2.6569,1.7956000000000003,4.0,3.3489000000000004,1.3923999999999999,2.2801,0.0324,0.5184,0.22089999999999999,0.8464,2.1904,0.39690000000000003,0.06760000000000001,0.0001,1.0201,0.6723999999999999,0.9025,0.0081,0.004900000000000001,0.0004,0.04409999999999999,0.0004,0.11560000000000002,0.016900000000000002,0.0225,0.0001,0.0016,0.0144,0.0625,0.09
1.0,2.92,4.16,1.34,0.01,-0.17,2.0,-10.531,-10.772,-4.293,-4.102,0.855,-1.206,93.916,-10.452,94.497,1.3,1.26,0.2,1.26,0.14,0.8,0.2,0.01,0.2,0.72,1.2,1.06,0.26,1.06,0.37,1.1,0.39,0.02,0.39,0.93,1.8,0.92,0.17,0.92,1.58,0.9,0.32,0.06,0.32,0.72,1.7,1.64,0.12,1.64,0.3,1.5,1.23,0.0,1.23,0.12,2.4,2.07,0.12,2.07,1.05,2.0,1.78,0.13,1.78,0.88,1.6,1.16,0.27,1.16,0.89,1.5,1.46,0.27,1.46,0.17,1.6900000000000002,0.6400000000000001,1.44,1.2100000000000002,3.24,0.81,2.8899999999999997,2.25,5.76,4.0,2.5600000000000005,2.25,1.5876000000000001,0.04000000000000001,1.1236000000000002,0.1521,0.8464,0.1024,2.6895999999999995,1.5129,4.2848999999999995,3.1684,1.3456,2.1315999999999997,0.019600000000000003,0.5184,0.1369,0.8649000000000001,2.4964000000000004,0.5184,0.09,0.0144,1.1025,0.7744,0.7921,0.028900000000000006,0.04000000000000001,0.0001,0.06760000000000001,0.0004,0.028900000000000006,0.0036,0.0144,0.0,0.0144,0.016900000000000002,0.0729,0.0729
2.0,2.93,4.2,2.39,0.01,-0.3,3.8,-8.233,-10.311,-4.787,-2.417,0.823,-3.007,93.664,-11.657,94.388,1.3,1.26,0.2,1.26,0.14,0.8,0.2,0.01,0.2,0.72,1.2,1.06,0.26,1.06,0.37,1.1,0.39,0.02,0.39,0.93,1.8,0.92,0.17,0.92,1.58,0.9,0.32,0.06,0.32,0.72,1.7,1.64,0.12,1.64,0.3,1.5,1.23,0.0,1.23,0.12,2.4,2.07,0.12,2.07,1.05,2.0,1.78,0.13,1.78,0.88,1.6,1.16,0.27,1.16,0.89,1.5,1.46,0.27,1.46,0.17,1.6900000000000002,0.6400000000000001,1.44,1.2100000000000002,3.24,0.81,2.8899999999999997,2.25,5.76,4.0,2.5600000000000005,2.25,1.5876000000000001,0.04000000000000001,1.1236000000000002,0.1521,0.8464,0.1024,2.6895999999999995,1.5129,4.2848999999999995,3.1684,1.3456,2.1315999999999997,0.019600000000000003,0.5184,0.1369,0.8649000000000001,2.4964000000000004,0.5184,0.09,0.0144,1.1025,0.7744,0.7921,0.028900000000000006,0.04000000000000001,0.0001,0.06760000000000001,0.0004,0.028900000000000006,0.0036,0.0144,0.0,0.0144,0.016900000000000002,0.0729,0.0729
3.0,2.96,4.24,3.42,0.01,-0.43,5.5,-5.946,-9.853,-5.279,-0.74,0.791,-4.799,93.414,-12.856,94.296,1.3,1.26,0.2,1.26,0.14,0.8,0.2,0.01,0.2,0.72,1.2,1.06,0.26,1.06,0.37,1.1,0.39,0.02,0.39,0.93,1.8,0.92,0.17,0.92,1.58,0.9,0.32,0.06,0.32,0.72,1.7,1.64,0.12,1.64,0.3,1.5,1.23,0.0,1.23,0.12,2.4,2.07,0.12,2.07,1.05,2.0,1.78,0.13,1.78,0.88,1.6,1.16,0.27,1.16,0.89,1.5,1.46,0.27,1.46,0.17,1.6900000000000002,0.6400000000000001,1.44,1.2100000000000002,3.24,0.81,2.8899999999999997,2.25,5.76,4.0,2.5600000000000005,2.25,1.5876000000000001,0.04000000000000001,1.1236000000000002,0.1521,0.8464,0.1024,2.6895999999999995,1.5129,4.2848999999999995,3.1684,1.3456,2.1315999999999997,0.019600000000000003,0.5184,0.1369,0.8649000000000001,2.4964000000000004,0.5184,0.09,0.0144,1.1025,0.7744,0.7921,0.028900000000000006,0.04000000000000001,0.0001,0.06760000000000001,0.0004,0.028900000000000006,0.0036,0.0144,0.0,0.0144,0.016900000000000002,0.0729,0.0729
4.0,2.99,4.28,4.45,0.01,-0.58,7.8,-2.72,-8.72,-4.824,2.011,0.649,-7.188,93.512,-12.777,94.382,1.3,1.26,0.2,1.26,0.14,0.8,0.2,0.01,0.2,0.72,1.2,1.06,0.26,1.06,0.37,1.1,0.39,0.02,0.39,0.93,1.8,0.92,0.17,0.92,1.58,0.9,0.32,0.06,0.32,0.72,1.7,1.64,0.12,1.64,0.3,1.5,1.23,0.0,1.23,0.12,2.4,2.07,0.12,2.07,1.05,2.0,1.78,0.13,1.78,0.88,1.6,1.16,0.27,1.16,0.89,1.5,1.46,0.27,1.46,0.17,1.6900000000000002,0.6400000000000001,1.44,1.2100000000000002,3.24,0.81,2.8899999999999997,2.25,5.76,4.0,2.5600000000000005,2.25,1.5876000000000001,0.04000000000000001,1.1236000000000002,0.1521,0.8464,0.1024,2.6895999999999995,1.5129,4.2848999999999995,3.1684,1.3456,2.1315999999999997,0.019600000000000003,0.5184,0.1369,0.8649000000000001,2.4964000000000004,0.5184,0.09,0.0144,1.1025,0.7744,0.7921,0.028900000000000006,0.04000000000000001,0.0001,0.06760000000000001,0.0004,0.028900000000000006,0.0036,0.0144,0.0,0.0144,0.016900000000000002,0.0729,0.0729
5.0,3.03,4.32,5.49,0.02,-0.73,10.3,0.834,-6.899,-2.685,2.624,0.55,-9.785,93.146,-13.639,94.14,1.3,1.26,0.2,1.26,0.14,0.8,0.2,0.01,0.2,0.72,1.2,1.06,0.26,1.06,0.37,1.1,0.39,0.02,0.39,0.93,1.8,0.92,0.17,0.92,1.58,0.9,0.32,0.06,0.32,0.72,1.7,1.64,0.12,1.64,0.3,1.5,1.23,0.0,1.23,0.12,2.4,2.07,0.12,2.07,1.05,2.0,1.78,0.13,1.78,0.88,1.6,1.16,0.27,1.16,0.89,1.5,1.46,0.27,1.46,0.17,1.6900000000000002,0.6400000000000001,1.44,1.2100000000000002,3.24,0.81,2.8899999999999997,2.25,5.76,4.0,2.5600000000000005,2.25,1.5876000000000001,0.04000000000000001,1.1236000000000002,0.1521,0.8464,0.1024,2.6895999999999995,1.5129,4.2848999999999995,3.1684,1.3456,2.1315999999999997,0.019600000000000003,0.5184,0.1369,0.8649000000000001,2.4964000000000004,0.5184,0.09,0.0144,1.1025,0.7744,0.7921,0.028900000000000006,0.04000000000000001,0.0001,0.06760000000000001,0.0004,0.028900000000000006,0.0036,0.0144,0.0,0.0144,0.016900000000000002,0.0729,0.0729
6.0,3.08,4.36,6.52,0.03,-0.88,12.9,3.93,-4.629,0.88,0.077,0.681,-12.236,92.47,-15.701,93.795,1.3,1.26,0.2,1.26,0.14,0.8,0.2,0.01,0.2,0.72,1.2,1.06,0.26,1.06,0.37,1.1,0.39,0.02,0.39,0.93,1.8,0.92,0.17,0.92,1.58,0.9,0.32,0.06,0.32,0.72,1.7,1.64,0.12,1.64,0.3,1.5,1.23,0.0,1.23,0.12,2.4,2.07,0.12,2.07,1.05,2.0,1.78,0.13,1.78,0.88,1.6,1.16,0.27,1.16,0.89,1.5,1.46,0.27,1.46,0.17,1.6900000000000002,0.6400000000000001,1.44,1.2100000000000002,3.24,0.81,2.8899999999999997,2.25,5.76,4.0,2.5600000000000005,2.25,1.5876000000000001,0.04000000000000001,1.1236000000000002,0.1521,0.8464,0.1024,2.6895999999999995,1.5129,4.2848999999999995,3.1684,1.3456,2.1315999999999997,0.019600000000000003,0.5184,0.1369,0.8649000000000001,2.4964000000000004,0.5184,0.09,0.0144,1.1025,0.7744,0.7921,0.028900000000000006,0.04000000000000001,0.0001,0.06760000000000001,0.0004,0.028900000000000006,0.0036,0.0144,0.0,0.0144,0.016900000000000002,0.0729,0.0729
7.0,3.12,4.4,7.55,0.03,-1.07,15.5,5.558,-2.441,4.359,-3.744,1.278,-14.255,92.984,-16.511,94.439,1.2,1.22,0.23,1.22,0.17,0.8,0.19,0.03,0.19,0.7,1.1,1.0,0.26,1.0,0.29,1.1,0.38,0.03,0.38,0.93,1.8,0.92,0.17,0.92,1.58,1.1,0.45,0.27,0.45,0.92,1.7,1.66,0.08,1.66,0.27,1.4,1.19,0.04,1.19,0.04,2.5,2.1,0.22,2.1,1.11,2.0,1.78,0.13,1.78,0.86,1.6,1.17,0.23,1.17,0.81,1.5,1.39,0.21,1.39,0.24,1.44,0.6400000000000001,1.2100000000000002,1.2100000000000002,3.24,1.2100000000000002,2.8899999999999997,1.9599999999999997,6.25,4.0,2.5600000000000005,2.25,1.4884,0.0361,1.0,0.1444,0.8464,0.2025,2.7556,1.4161,4.41,3.1684,1.3688999999999998,1.9320999999999997,0.028900000000000006,0.48999999999999994,0.0841,0.8649000000000001,2.4964000000000004,0.8464,0.0729,0.0016,1.2321000000000002,0.7395999999999999,0.6561000000000001,0.0576,0.0529,0.0009,0.06760000000000001,0.0009,0.028900000000000006,0.0729,0.0064,0.0016,0.0484,0.016900000000000002,0.0529,0.04409999999999999
8.0,3.17,4.439,8.57,0.03,-1.25,18.1,7.184,-0.255,7.835,-7.563,1.875,-16.273,93.497,-17.321,95.089,1.2,1.22,0.23,1.22,0.17,0.8,0.19,0.03,0.19,0.7,1.1,1.0,0.26,1.0,0.29,1.1,0.38,0.03,0.38,0.93,1.8,0.92,0.17,0.92,1.58,1.1,0.45,0.27,0.45,0.92,1.7,1.66,0.08,1.66,0.27,1.4,1.19,0.04,1.19,0.04,2.5,2.1,0.22,2.1,1.11,2.0,1.78,0.13,1.78,0.86,1.6,1.17,0.23,1.17,0.81,1.5,1.39,0.21,1.39,0.24,1.44,0.6400000000000001,1.2100000000000002,1.2100000000000002,3.24,1.2100000000000002,2.8899999999999997,1.9599999999999997,6.25,4.0,2.5600000000000005,2.25,1.4884,0.0361,1.0,0.1444,0.8464,0.2025,2.7556,1.4161,4.41,3.1684,1.3688999999999998,1.9320999999999997,0.028900000000000006,0.48999999999999994,0.0841,0.8649000000000001,2.4964000000000004,0.8464,0.0729,0.0016,1.2321000000000002,0.7395999999999999,0.6561000000000001,0.0576,0.0529,0.0009,0.06760000000000001,0.0009,0.028900000000000006,0.0729,0.0064,0.0016,0.0484,0.016900000000000002,0.0529,0.04409999999999999
9.0,3.23,4.478,9.59,0.04,-1.45,20.4,8.009,1.747,12.557,-12.584,2.681,-17.826,93.966,-18.872,95.844,1.2,1.22,0.23,1.22,0.17,0.8,0.19,0.03,0.19,0.7,1.1,1.0,0.26,1.0,0.29,1.1,0.38,0.03,0.38,0.93,1.8,0.92,0.17,0.92,1.58,1.1,0.45,0.27,0.45,0.92,1.7,1.66,0.08,1.66,0.27,1.4,1.19,0.04,1.19,0.04,2.5,2.1,0.22,2.1,1.11,2.0,1.78,0.13,1.78,0.86,1.6,1.17,0.23,1.17,0.81,1.5,1.39,0.21,1.39,0.24,1.44,0.6400000000000001,1.2100000000000002,1.2100000000000002,3.24,1.2100000000000002,2.8899999999999997,1.9599999999999997,6.25,4.0,2.5600000000000005,2.25,1.4884,0.0361,1.0,0.1444,0.8464,0.2025,2.7556,1.4161,4.41,3.1684,1.3688999999999998,1.9320999999999997,0.028900000000000006,0.48999999999999994,0.0841,0.8649000000000001,2.4964000000000004,0.8464,0.0729,0.0016,1.2321000000000002,0.7395999999999999,0.6561000000000001,0.0576,0.0529,0.0009,0.06760000000000001,0.0009,0.028900000000000006,0.0729,0.0064,0.0016,0.0484,0.016900000000000002,0.0529,0.04409999999999999
