Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-29.3,,0.0,-27.65,0.0,7.12,,,,,,,,0.0,0.0,0.0,1.5,-0.09,0.1,-0.09,1.42,0.6,-0.3,0.12,-0.3,0.26,1.1,0.0,0.04,0.0,1.03,0.6,0.48,0.46,0.48,0.2,1.2,0.71,0.12,0.71,0.9,0.9,0.35,0.23,0.35,0.22,3.2,0.63,0.79,0.63,2.98,2.2,0.53,0.05,0.53,2.01,2.4,-2.29,0.36,-2.29,0.85,1.5,-0.74,0.08,-0.74,1.28,0.5,0.44,0.14,0.44,0.11,2.1,-2.06,0.43,-2.06,0.51
0.0,2.93,0.84,0.04,0.0,-0.01,0.0,-11.5,-11.5,0.0,0.0,0.0,0.0,98.757,-20.092,100.78,1.5,-0.19,0.04,-0.19,1.47,0.6,-0.28,0.15,-0.28,0.28,1.1,0.02,0.0,0.02,1.07,0.8,0.62,0.2,0.62,0.08,1.1,0.68,0.11,0.68,0.89,0.9,0.46,0.2,0.46,0.46,3.1,0.23,0.61,0.23,3.06,2.2,0.78,0.04,0.78,2.05,2.3,-2.17,0.12,-2.17,0.47,1.5,-0.7,0.06,-0.7,1.27,0.6,0.49,0.03,0.49,0.1,2.3,-2.24,0.19,-2.24,0.2
1.0,2.9,1.074,1.34,-0.01,-0.18,3.7,-9.641,-8.956,0.536,0.527,1.649,-2.08,97.282,-11.406,97.95,1.5,-0.22,0.03,-0.22,1.47,0.6,-0.29,0.13,-0.29,0.29,1.1,0.04,0.0,0.04,1.06,0.9,0.57,0.1,0.57,0.2,1.0,0.57,0.01,0.57,0.81,1.0,0.5,0.14,0.5,0.53,2.9,0.13,0.33,0.13,2.88,2.3,0.79,0.09,0.79,2.1,2.2,-2.12,0.04,-2.12,0.39,1.5,-0.74,0.02,-0.74,1.27,0.7,0.46,0.04,0.46,0.11,2.4,-2.25,0.17,-2.25,0.25
2.0,2.94,1.125,2.39,-0.01,-0.29,6.2,-6.031,-4.535,-0.661,2.823,2.955,-3.222,97.816,-9.66,98.293,1.5,-0.22,0.03,-0.22,1.47,0.6,-0.29,0.13,-0.29,0.29,1.1,0.04,0.0,0.04,1.06,0.9,0.57,0.1,0.57,0.2,1.0,0.57,0.01,0.57,0.81,1.0,0.5,0.14,0.5,0.53,2.9,0.13,0.33,0.13,2.88,2.3,0.79,0.09,0.79,2.1,2.2,-2.12,0.04,-2.12,0.39,1.5,-0.74,0.02,-0.74,1.27,0.7,0.46,0.04,0.46,0.11,2.4,-2.25,0.17,-2.25,0.25
3.0,3.0,1.163,3.43,-0.01,-0.4,8.9,-1.579,1.196,-2.339,5.379,4.534,-4.361,98.811,-9.945,99.31,1.5,-0.22,0.03,-0.22,1.47,0.6,-0.29,0.13,-0.29,0.29,1.1,0.04,0.0,0.04,1.06,0.9,0.57,0.1,0.57,0.2,1.0,0.57,0.01,0.57,0.81,1.0,0.5,0.14,0.5,0.53,2.9,0.13,0.33,0.13,2.88,2.3,0.79,0.09,0.79,2.1,2.2,-2.12,0.04,-2.12,0.39,1.5,-0.74,0.02,-0.74,1.27,0.7,0.46,0.04,0.46,0.11,2.4,-2.25,0.17,-2.25,0.25
4.0,3.06,1.201,4.47,-0.03,-0.51,11.6,3.084,7.721,-2.355,5.227,6.223,-5.386,98.388,-11.685,99.081,1.5,-0.22,0.03,-0.22,1.47,0.6,-0.29,0.13,-0.29,0.29,1.1,0.04,0.0,0.04,1.06,0.9,0.57,0.1,0.57,0.2,1.0,0.57,0.01,0.57,0.81,1.0,0.5,0.14,0.5,0.53,2.9,0.13,0.33,0.13,2.88,2.3,0.79,0.09,0.79,2.1,2.2,-2.12,0.04,-2.12,0.39,1.5,-0.74,0.02,-0.74,1.27,0.7,0.46,0.04,0.46,0.11,2.4,-2.25,0.17,-2.25,0.25
5.0,3.11,1.239,5.5,-0.03,-0.65,14.1,5.234,11.282,-1.02,5.427,7.988,-6.29,98.093,-13.063,98.96,1.5,-0.29,0.05,-0.29,1.44,0.6,-0.29,0.11,-0.29,0.28,1.1,0.09,0.02,0.09,1.03,1.0,0.56,0.03,0.56,0.25,1.0,0.52,0.05,0.52,0.79,0.9,0.44,0.14,0.44,0.54,2.9,0.2,0.31,0.2,2.87,2.3,0.79,0.09,0.79,2.1,2.1,-2.05,0.04,-2.05,0.39,1.7,-0.89,0.2,-0.89,1.37,0.7,0.47,0.04,0.47,0.05,2.3,-2.2,0.23,-2.2,0.39
6.0,3.18,1.277,6.54,-0.03,-0.79,16.6,7.385,14.844,0.315,5.626,9.754,-7.194,97.797,-14.44,98.859,1.5,-0.29,0.05,-0.29,1.44,0.6,-0.29,0.11,-0.29,0.28,1.1,0.09,0.02,0.09,1.03,1.0,0.56,0.03,0.56,0.25,1.0,0.52,0.05,0.52,0.79,0.9,0.44,0.14,0.44,0.54,2.9,0.2,0.31,0.2,2.87,2.3,0.79,0.09,0.79,2.1,2.1,-2.05,0.04,-2.05,0.39,1.7,-0.89,0.2,-0.89,1.37,0.7,0.47,0.04,0.47,0.05,2.3,-2.2,0.23,-2.2,0.39
7.0,3.24,1.315,7.57,-0.04,-0.95,19.0,8.698,16.962,1.335,5.328,11.461,-8.001,97.778,-16.401,99.145,1.5,-0.29,0.05,-0.29,1.44,0.6,-0.29,0.11,-0.29,0.28,1.1,0.09,0.02,0.09,1.03,1.0,0.56,0.03,0.56,0.25,1.0,0.52,0.05,0.52,0.79,0.9,0.44,0.14,0.44,0.54,2.9,0.2,0.31,0.2,2.87,2.3,0.79,0.09,0.79,2.1,2.1,-2.05,0.04,-2.05,0.39,1.7,-0.89,0.2,-0.89,1.37,0.7,0.47,0.04,0.47,0.05,2.3,-2.2,0.23,-2.2,0.39
8.0,3.29,1.353,8.6,-0.05,-1.14,21.2,8.698,16.721,2.136,3.97,13.063,-8.646,98.141,-19.05,99.975,1.5,-0.29,0.05,-0.29,1.44,0.6,-0.29,0.11,-0.29,0.28,1.1,0.09,0.02,0.09,1.03,1.0,0.56,0.03,0.56,0.25,1.0,0.52,0.05,0.52,0.79,0.9,0.44,0.14,0.44,0.54,2.9,0.2,0.31,0.2,2.87,2.3,0.79,0.09,0.79,2.1,2.1,-2.05,0.04,-2.05,0.39,1.7,-0.89,0.2,-0.89,1.37,0.7,0.47,0.04,0.47,0.05,2.3,-2.2,0.23,-2.2,0.39
