Position;Height above ground [m];Time;X [m];Y [m];Z [m];Opening Angle [°];Stalling Angle Left [°];Stalling Angle Right [°];Roll Angle Left [°];Roll Angle Right [°];Yaw Angle Left [°];Yaw Angle Right [°];Speed hor. [km/h];Speed vert. [km/h];Speed resulting [km/h];WindTime|WindName|WindSpeed|WindSpeedTangent|WindTurbulence|WindSpeedCleanTan|WindSpeedCross
-91.56;NaN;0001-01-01T00:00:00.0610000+01:00;-79.95;0.00;41.93;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.000;0.000;0.000;"0001-01-01T00:00:00.000+01:00|W1|2.1|2.05|0.18|2.05|0.55;0001-01-01T00:00:00.000+01:00|W2|0.9|0.75|0.08|0.75|0.48;0001-01-01T00:00:00.000+01:00|W3|0.9|0.75|0.03|0.75|0.34;0001-01-01T00:00:00.000+01:00|W4|0.5|0.40|0.02|0.40|0.15;0001-01-01T00:00:00.000+01:00|W5|1.6|1.55|0.37|1.55|0.12;0001-01-01T00:00:00.000+01:00|W6|1.4|1.25|0.30|1.25|0.64;0001-01-01T00:00:00.000+01:00|W7|2.1|2.00|0.15|2.00|0.70;0001-01-01T00:00:00.000+01:00|W8|1.0|0.90|0.13|0.90|0.31;0001-01-01T00:00:00.000+01:00|W9|2.2|2.15|0.10|2.15|0.09;0001-01-01T00:00:00.000+01:00|W10|1.7|1.63|0.19|1.63|0.02;0001-01-01T00:00:00.000+01:00|W11|3.2|2.80|0.14|2.80|1.35;0001-01-01T00:00:00.000+01:00|W12|2.5|2.42|0.14|2.42|0.48"
0.00;2.93;0001-01-01T00:00:04.1880000+01:00;0.03;0.00;-0.01;0.0;-11.500;-11.500;0.000;0.000;0.000;0.000;94.898;-19.307;96.842;"0001-01-01T00:00:04.249+01:00|W1|2.0|1.86|0.08|1.86|0.66;0001-01-01T00:00:04.249+01:00|W2|0.7|0.51|0.12|0.51|0.41;0001-01-01T00:00:04.249+01:00|W3|1.4|1.12|0.33|1.12|0.79;0001-01-01T00:00:04.249+01:00|W4|0.6|0.55|0.12|0.55|0.08;0001-01-01T00:00:04.249+01:00|W5|1.5|1.26|0.10|1.26|0.84;0001-01-01T00:00:04.249+01:00|W6|1.7|1.72|0.10|1.72|0.27;0001-01-01T00:00:04.249+01:00|W7|2.8|2.81|0.13|2.81|0.42;0001-01-01T00:00:04.249+01:00|W8|1.1|1.07|0.02|1.07|0.11;0001-01-01T00:00:04.249+01:00|W9|2.6|2.48|0.38|2.48|0.50;0001-01-01T00:00:04.249+01:00|W10|1.9|1.90|0.11|1.90|0.13;0001-01-01T00:00:04.249+01:00|W11|2.9|2.74|0.29|2.74|0.74;0001-01-01T00:00:04.249+01:00|W12|2.5|2.40|0.07|2.40|0.81"
1.00;2.92;0001-01-01T00:00:04.3370000+01:00;1.34;0.01;-0.17;3.3;-9.311;-8.095;-0.669;2.695;1.323;-3.546;95.304;-11.323;95.975;"0001-01-01T00:00:04.249+01:00|W1|2.0|1.86|0.08|1.86|0.66;0001-01-01T00:00:04.249+01:00|W2|0.7|0.51|0.12|0.51|0.41;0001-01-01T00:00:04.249+01:00|W3|1.4|1.12|0.33|1.12|0.79;0001-01-01T00:00:04.249+01:00|W4|0.6|0.55|0.12|0.55|0.08;0001-01-01T00:00:04.249+01:00|W5|1.5|1.26|0.10|1.26|0.84;0001-01-01T00:00:04.249+01:00|W6|1.7|1.72|0.10|1.72|0.27;0001-01-01T00:00:04.249+01:00|W7|2.8|2.81|0.13|2.81|0.42;0001-01-01T00:00:04.249+01:00|W8|1.1|1.07|0.02|1.07|0.11;0001-01-01T00:00:04.249+01:00|W9|2.6|2.48|0.38|2.48|0.50;0001-01-01T00:00:04.249+01:00|W10|1.9|1.90|0.11|1.90|0.13;0001-01-01T00:00:04.249+01:00|W11|2.9|2.74|0.29|2.74|0.74;0001-01-01T00:00:04.249+01:00|W12|2.5|2.40|0.07|2.40|0.81"
2.00;2.95;0001-01-01T00:00:04.3880000+01:00;2.39;0.02;-0.28;3.8;-6.871;-5.394;-0.250;3.013;1.791;-5.111;95.556;-9.413;96.019;"0001-01-01T00:00:04.499+01:00|W1|1.9|1.80|0.11|1.80|0.68;0001-01-01T00:00:04.499+01:00|W2|0.7|0.56|0.04|0.56|0.46;0001-01-01T00:00:04.499+01:00|W3|1.4|1.11|0.30|1.11|0.77;0001-01-01T00:00:04.499+01:00|W4|0.6|0.55|0.10|0.55|0.10;0001-01-01T00:00:04.499+01:00|W5|1.7|1.35|0.21|1.35|0.95;0001-01-01T00:00:04.499+01:00|W6|1.6|1.56|0.07|1.56|0.18;0001-01-01T00:00:04.499+01:00|W7|2.8|2.72|0.01|2.72|0.38;0001-01-01T00:00:04.499+01:00|W8|1.2|1.16|0.06|1.16|0.10;0001-01-01T00:00:04.499+01:00|W9|2.6|2.50|0.38|2.50|0.44;0001-01-01T00:00:04.499+01:00|W10|1.8|1.82|0.03|1.82|0.09;0001-01-01T00:00:04.499+01:00|W11|2.9|2.71|0.27|2.71|0.82;0001-01-01T00:00:04.499+01:00|W12|2.4|2.27|0.03|2.27|0.86"
3.00;2.99;0001-01-01T00:00:04.4270000+01:00;3.43;0.01;-0.40;6.6;-3.781;-2.744;-0.550;3.324;2.515;-6.645;96.092;-10.314;96.644;"0001-01-01T00:00:04.499+01:00|W1|1.9|1.80|0.11|1.80|0.68;0001-01-01T00:00:04.499+01:00|W2|0.7|0.56|0.04|0.56|0.46;0001-01-01T00:00:04.499+01:00|W3|1.4|1.11|0.30|1.11|0.77;0001-01-01T00:00:04.499+01:00|W4|0.6|0.55|0.10|0.55|0.10;0001-01-01T00:00:04.499+01:00|W5|1.7|1.35|0.21|1.35|0.95;0001-01-01T00:00:04.499+01:00|W6|1.6|1.56|0.07|1.56|0.18;0001-01-01T00:00:04.499+01:00|W7|2.8|2.72|0.01|2.72|0.38;0001-01-01T00:00:04.499+01:00|W8|1.2|1.16|0.06|1.16|0.10;0001-01-01T00:00:04.499+01:00|W9|2.6|2.50|0.38|2.50|0.44;0001-01-01T00:00:04.499+01:00|W10|1.8|1.82|0.03|1.82|0.09;0001-01-01T00:00:04.499+01:00|W11|2.9|2.71|0.27|2.71|0.82;0001-01-01T00:00:04.499+01:00|W12|2.4|2.27|0.03|2.27|0.86"
4.00;3.04;0001-01-01T00:00:04.4340000+01:00;4.47;-0.02;-0.53;11.6;-0.431;-0.350;-1.436;3.278;3.663;-8.221;96.858;-13.826;97.841;"0001-01-01T00:00:04.499+01:00|W1|1.9|1.80|0.11|1.80|0.68;0001-01-01T00:00:04.499+01:00|W2|0.7|0.56|0.04|0.56|0.46;0001-01-01T00:00:04.499+01:00|W3|1.4|1.11|0.30|1.11|0.77;0001-01-01T00:00:04.499+01:00|W4|0.6|0.55|0.10|0.55|0.10;0001-01-01T00:00:04.499+01:00|W5|1.7|1.35|0.21|1.35|0.95;0001-01-01T00:00:04.499+01:00|W6|1.6|1.56|0.07|1.56|0.18;0001-01-01T00:00:04.499+01:00|W7|2.8|2.72|0.01|2.72|0.38;0001-01-01T00:00:04.499+01:00|W8|1.2|1.16|0.06|1.16|0.10;0001-01-01T00:00:04.499+01:00|W9|2.6|2.50|0.38|2.50|0.44;0001-01-01T00:00:04.499+01:00|W10|1.8|1.82|0.03|1.82|0.09;0001-01-01T00:00:04.499+01:00|W11|2.9|2.71|0.27|2.71|0.82;0001-01-01T00:00:04.499+01:00|W12|2.4|2.27|0.03|2.27|0.86"
5.00;3.07;0001-01-01T00:00:04.2820000+01:00;5.50;-0.00;-0.68;13.4;0.496;1.057;-1.139;1.442;5.499;-10.190;97.156;-14.358;98.211;"0001-01-01T00:00:04.249+01:00|W1|2.0|1.86|0.08|1.86|0.66;0001-01-01T00:00:04.249+01:00|W2|0.7|0.51|0.12|0.51|0.41;0001-01-01T00:00:04.249+01:00|W3|1.4|1.12|0.33|1.12|0.79;0001-01-01T00:00:04.249+01:00|W4|0.6|0.55|0.12|0.55|0.08;0001-01-01T00:00:04.249+01:00|W5|1.5|1.26|0.10|1.26|0.84;0001-01-01T00:00:04.249+01:00|W6|1.7|1.72|0.10|1.72|0.27;0001-01-01T00:00:04.249+01:00|W7|2.8|2.81|0.13|2.81|0.42;0001-01-01T00:00:04.249+01:00|W8|1.1|1.07|0.02|1.07|0.11;0001-01-01T00:00:04.249+01:00|W9|2.6|2.48|0.38|2.48|0.50;0001-01-01T00:00:04.249+01:00|W10|1.9|1.90|0.11|1.90|0.13;0001-01-01T00:00:04.249+01:00|W11|2.9|2.74|0.29|2.74|0.74;0001-01-01T00:00:04.249+01:00|W12|2.5|2.40|0.07|2.40|0.81"
6.00;3.13;0001-01-01T00:00:04.4580000+01:00;6.53;-0.03;-0.84;18.8;2.387;2.457;1.129;-0.384;7.541;-12.149;96.843;-15.540;98.083;"0001-01-01T00:00:04.499+01:00|W1|1.9|1.80|0.11|1.80|0.68;0001-01-01T00:00:04.499+01:00|W2|0.7|0.56|0.04|0.56|0.46;0001-01-01T00:00:04.499+01:00|W3|1.4|1.11|0.30|1.11|0.77;0001-01-01T00:00:04.499+01:00|W4|0.6|0.55|0.10|0.55|0.10;0001-01-01T00:00:04.499+01:00|W5|1.7|1.35|0.21|1.35|0.95;0001-01-01T00:00:04.499+01:00|W6|1.6|1.56|0.07|1.56|0.18;0001-01-01T00:00:04.499+01:00|W7|2.8|2.72|0.01|2.72|0.38;0001-01-01T00:00:04.499+01:00|W8|1.2|1.16|0.06|1.16|0.10;0001-01-01T00:00:04.499+01:00|W9|2.6|2.50|0.38|2.50|0.44;0001-01-01T00:00:04.499+01:00|W10|1.8|1.82|0.03|1.82|0.09;0001-01-01T00:00:04.499+01:00|W11|2.9|2.71|0.27|2.71|0.82;0001-01-01T00:00:04.499+01:00|W12|2.4|2.27|0.03|2.27|0.86"
7.00;3.19;0001-01-01T00:00:04.5800000+01:00;7.56;-0.04;-1.01;23.6;3.542;3.224;3.342;-2.508;9.802;-13.872;96.527;-16.592;97.944;"0001-01-01T00:00:04.499+01:00|W1|1.9|1.80|0.11|1.80|0.68;0001-01-01T00:00:04.499+01:00|W2|0.7|0.56|0.04|0.56|0.46;0001-01-01T00:00:04.499+01:00|W3|1.4|1.11|0.30|1.11|0.77;0001-01-01T00:00:04.499+01:00|W4|0.6|0.55|0.10|0.55|0.10;0001-01-01T00:00:04.499+01:00|W5|1.7|1.35|0.21|1.35|0.95;0001-01-01T00:00:04.499+01:00|W6|1.6|1.56|0.07|1.56|0.18;0001-01-01T00:00:04.499+01:00|W7|2.8|2.72|0.01|2.72|0.38;0001-01-01T00:00:04.499+01:00|W8|1.2|1.16|0.06|1.16|0.10;0001-01-01T00:00:04.499+01:00|W9|2.6|2.50|0.38|2.50|0.44;0001-01-01T00:00:04.499+01:00|W10|1.8|1.82|0.03|1.82|0.09;0001-01-01T00:00:04.499+01:00|W11|2.9|2.71|0.27|2.71|0.82;0001-01-01T00:00:04.499+01:00|W12|2.4|2.27|0.03|2.27|0.86"
8.00;3.24;0001-01-01T00:00:04.6190000+01:00;8.59;-0.05;-1.19;26.9;4.116;3.614;5.281;-4.873;11.932;-15.008;96.316;-17.429;97.882;"0001-01-01T00:00:04.499+01:00|W1|1.9|1.80|0.11|1.80|0.68;0001-01-01T00:00:04.499+01:00|W2|0.7|0.56|0.04|0.56|0.46;0001-01-01T00:00:04.499+01:00|W3|1.4|1.11|0.30|1.11|0.77;0001-01-01T00:00:04.499+01:00|W4|0.6|0.55|0.10|0.55|0.10;0001-01-01T00:00:04.499+01:00|W5|1.7|1.35|0.21|1.35|0.95;0001-01-01T00:00:04.499+01:00|W6|1.6|1.56|0.07|1.56|0.18;0001-01-01T00:00:04.499+01:00|W7|2.8|2.72|0.01|2.72|0.38;0001-01-01T00:00:04.499+01:00|W8|1.2|1.16|0.06|1.16|0.10;0001-01-01T00:00:04.499+01:00|W9|2.6|2.50|0.38|2.50|0.44;0001-01-01T00:00:04.499+01:00|W10|1.8|1.82|0.03|1.82|0.09;0001-01-01T00:00:04.499+01:00|W11|2.9|2.71|0.27|2.71|0.82;0001-01-01T00:00:04.499+01:00|W12|2.4|2.27|0.03|2.27|0.86"
