Position;Height above ground [m];Time;X [m];Y [m];Z [m];Opening Angle [°];Stalling Angle Left [°];Stalling Angle Right [°];Roll Angle Left [°];Roll Angle Right [°];Yaw Angle Left [°];Yaw Angle Right [°];Speed hor. [km/h];Speed vert. [km/h];Speed resulting [km/h];WindTime|WindName|WindSpeed|WindSpeedTangent|WindTurbulence|WindSpeedCleanTan|WindSpeedCross
-4.43;NaN;0001-01-01T00:00:00.0000000+01:00;-3.10;0.00;0.61;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.000;0.000;0.000;"0001-01-01T00:00:00.041+01:00|W1|0.6|0.55|0.04|0.55|0.09;0001-01-01T00:00:00.041+01:00|W2|0.7|0.61|0.05|0.61|0.19;0001-01-01T00:00:00.041+01:00|W3|0.4|0.30|0.11|0.30|0.07;0001-01-01T00:00:00.041+01:00|W4|0.8|0.84|0.02|0.84|0.10;0001-01-01T00:00:00.041+01:00|W5|0.7|0.39|0.02|0.39|0.56;0001-01-01T00:00:00.041+01:00|W6|0.9|0.82|0.07|0.82|0.42;0001-01-01T00:00:00.041+01:00|W7|0.5|-0.33|0.02|-0.33|0.30;0001-01-01T00:00:00.041+01:00|W8|0.3|-0.23|0.23|-0.23|0.01;0001-01-01T00:00:00.041+01:00|W9|0.5|0.44|0.17|0.44|0.22;0001-01-01T00:00:00.041+01:00|W10|0.6|-0.42|0.18|-0.42|0.41;0001-01-01T00:00:00.041+01:00|W11|0.4|-0.20|0.11|-0.20|0.06;0001-01-01T00:00:00.041+01:00|W12|0.4|-0.17|0.13|-0.17|0.31"
0.00;2.93;0001-01-01T00:00:00.9330000+01:00;-45.67;0.00;9.29;0.0;NaN;-11.500;NaN;0.000;NaN;0.000;80.430;-16.364;82.078;"0001-01-01T00:00:01.043+01:00|W1|0.7|0.68|0.10|0.68|0.12;0001-01-01T00:00:01.043+01:00|W2|0.8|0.70|0.03|0.70|0.21;0001-01-01T00:00:01.043+01:00|W3|0.4|0.37|0.03|0.37|0.13;0001-01-01T00:00:01.043+01:00|W4|0.9|0.91|0.05|0.91|0.22;0001-01-01T00:00:01.043+01:00|W5|0.6|0.52|0.03|0.52|0.34;0001-01-01T00:00:01.043+01:00|W6|0.9|0.79|0.06|0.79|0.50;0001-01-01T00:00:01.043+01:00|W7|0.4|-0.37|0.13|-0.37|0.12;0001-01-01T00:00:01.043+01:00|W8|0.3|-0.30|0.14|-0.30|0.02;0001-01-01T00:00:01.043+01:00|W9|0.3|0.30|0.30|0.30|0.09;0001-01-01T00:00:01.043+01:00|W10|0.6|-0.52|0.08|-0.52|0.27;0001-01-01T00:00:01.043+01:00|W11|0.7|-0.61|0.34|-0.61|0.19;0001-01-01T00:00:01.043+01:00|W12|0.5|-0.19|0.05|-0.19|0.27"
1.00;9.42;0001-01-01T00:00:02.7850000+01:00;2.13;0.06;6.22;11.7;NaN;16.293;NaN;5.104;NaN;-7.042;89.559;8.183;89.945;"0001-01-01T00:00:02.793+01:00|W1|0.9|0.87|0.24|0.87|0.19;0001-01-01T00:00:02.793+01:00|W2|0.7|0.60|0.01|0.60|0.34;0001-01-01T00:00:02.793+01:00|W3|0.3|0.29|0.03|0.29|0.09;0001-01-01T00:00:02.793+01:00|W4|1.3|1.26|0.37|1.26|0.42;0001-01-01T00:00:02.793+01:00|W5|0.6|0.53|0.04|0.53|0.26;0001-01-01T00:00:02.793+01:00|W6|1.1|0.93|0.06|0.93|0.44;0001-01-01T00:00:02.793+01:00|W7|0.3|-0.17|0.14|-0.17|0.16;0001-01-01T00:00:02.793+01:00|W8|0.5|-0.45|0.10|-0.45|0.08;0001-01-01T00:00:02.793+01:00|W9|0.4|0.31|0.10|0.31|0.08;0001-01-01T00:00:02.793+01:00|W10|0.8|-0.73|0.15|-0.73|0.33;0001-01-01T00:00:02.793+01:00|W11|0.6|-0.49|0.15|-0.49|0.39;0001-01-01T00:00:02.793+01:00|W12|0.3|-0.07|0.10|-0.07|0.30"
2.00;9.70;0001-01-01T00:00:02.8330000+01:00;3.30;0.04;6.33;17.5;NaN;21.564;NaN;9.884;NaN;-10.103;90.826;6.600;91.080;"0001-01-01T00:00:02.793+01:00|W1|0.9|0.87|0.24|0.87|0.19;0001-01-01T00:00:02.793+01:00|W2|0.7|0.60|0.01|0.60|0.34;0001-01-01T00:00:02.793+01:00|W3|0.3|0.29|0.03|0.29|0.09;0001-01-01T00:00:02.793+01:00|W4|1.3|1.26|0.37|1.26|0.42;0001-01-01T00:00:02.793+01:00|W5|0.6|0.53|0.04|0.53|0.26;0001-01-01T00:00:02.793+01:00|W6|1.1|0.93|0.06|0.93|0.44;0001-01-01T00:00:02.793+01:00|W7|0.3|-0.17|0.14|-0.17|0.16;0001-01-01T00:00:02.793+01:00|W8|0.5|-0.45|0.10|-0.45|0.08;0001-01-01T00:00:02.793+01:00|W9|0.4|0.31|0.10|0.31|0.08;0001-01-01T00:00:02.793+01:00|W10|0.8|-0.73|0.15|-0.73|0.33;0001-01-01T00:00:02.793+01:00|W11|0.6|-0.49|0.15|-0.49|0.39;0001-01-01T00:00:02.793+01:00|W12|0.3|-0.07|0.10|-0.07|0.30"
3.00;9.99;0001-01-01T00:00:02.8800000+01:00;4.48;0.01;6.41;23.6;NaN;25.373;NaN;10.819;NaN;-13.817;90.710;5.244;90.891;"0001-01-01T00:00:02.793+01:00|W1|0.9|0.87|0.24|0.87|0.19;0001-01-01T00:00:02.793+01:00|W2|0.7|0.60|0.01|0.60|0.34;0001-01-01T00:00:02.793+01:00|W3|0.3|0.29|0.03|0.29|0.09;0001-01-01T00:00:02.793+01:00|W4|1.3|1.26|0.37|1.26|0.42;0001-01-01T00:00:02.793+01:00|W5|0.6|0.53|0.04|0.53|0.26;0001-01-01T00:00:02.793+01:00|W6|1.1|0.93|0.06|0.93|0.44;0001-01-01T00:00:02.793+01:00|W7|0.3|-0.17|0.14|-0.17|0.16;0001-01-01T00:00:02.793+01:00|W8|0.5|-0.45|0.10|-0.45|0.08;0001-01-01T00:00:02.793+01:00|W9|0.4|0.31|0.10|0.31|0.08;0001-01-01T00:00:02.793+01:00|W10|0.8|-0.73|0.15|-0.73|0.33;0001-01-01T00:00:02.793+01:00|W11|0.6|-0.49|0.15|-0.49|0.39;0001-01-01T00:00:02.793+01:00|W12|0.3|-0.07|0.10|-0.07|0.30"
4.00;10.26;0001-01-01T00:00:02.9260000+01:00;5.66;-0.02;6.47;29.1;NaN;27.775;NaN;9.224;NaN;-17.786;90.927;3.475;91.023;"0001-01-01T00:00:03.042+01:00|W1|0.9|0.92|0.25|0.92|0.13;0001-01-01T00:00:03.042+01:00|W2|0.8|0.63|0.08|0.63|0.35;0001-01-01T00:00:03.042+01:00|W3|0.4|0.31|0.01|0.31|0.11;0001-01-01T00:00:03.042+01:00|W4|1.3|1.22|0.29|1.22|0.31;0001-01-01T00:00:03.042+01:00|W5|0.5|0.50|0.11|0.50|0.14;0001-01-01T00:00:03.042+01:00|W6|1.0|0.92|0.01|0.92|0.35;0001-01-01T00:00:03.042+01:00|W7|0.3|-0.18|0.10|-0.18|0.18;0001-01-01T00:00:03.042+01:00|W8|0.5|-0.47|0.13|-0.47|0.09;0001-01-01T00:00:03.042+01:00|W9|0.5|0.44|0.01|0.44|0.10;0001-01-01T00:00:03.042+01:00|W10|0.9|-0.85|0.24|-0.85|0.27;0001-01-01T00:00:03.042+01:00|W11|0.6|-0.47|0.12|-0.47|0.41;0001-01-01T00:00:03.042+01:00|W12|0.3|-0.01|0.11|-0.01|0.30"
5.00;10.54;0001-01-01T00:00:02.9730000+01:00;6.83;-0.05;6.50;33.9;NaN;29.306;NaN;8.789;NaN;-21.407;90.981;1.950;91.022;"0001-01-01T00:00:03.042+01:00|W1|0.9|0.92|0.25|0.92|0.13;0001-01-01T00:00:03.042+01:00|W2|0.8|0.63|0.08|0.63|0.35;0001-01-01T00:00:03.042+01:00|W3|0.4|0.31|0.01|0.31|0.11;0001-01-01T00:00:03.042+01:00|W4|1.3|1.22|0.29|1.22|0.31;0001-01-01T00:00:03.042+01:00|W5|0.5|0.50|0.11|0.50|0.14;0001-01-01T00:00:03.042+01:00|W6|1.0|0.92|0.01|0.92|0.35;0001-01-01T00:00:03.042+01:00|W7|0.3|-0.18|0.10|-0.18|0.18;0001-01-01T00:00:03.042+01:00|W8|0.5|-0.47|0.13|-0.47|0.09;0001-01-01T00:00:03.042+01:00|W9|0.5|0.44|0.01|0.44|0.10;0001-01-01T00:00:03.042+01:00|W10|0.9|-0.85|0.24|-0.85|0.27;0001-01-01T00:00:03.042+01:00|W11|0.6|-0.47|0.12|-0.47|0.41;0001-01-01T00:00:03.042+01:00|W12|0.3|-0.01|0.11|-0.01|0.30"
6.00;10.82;0001-01-01T00:00:03.0190000+01:00;8.01;-0.06;6.52;37.6;NaN;30.199;NaN;8.603;NaN;-24.244;90.249;1.002;90.271;"0001-01-01T00:00:03.042+01:00|W1|0.9|0.92|0.25|0.92|0.13;0001-01-01T00:00:03.042+01:00|W2|0.8|0.63|0.08|0.63|0.35;0001-01-01T00:00:03.042+01:00|W3|0.4|0.31|0.01|0.31|0.11;0001-01-01T00:00:03.042+01:00|W4|1.3|1.22|0.29|1.22|0.31;0001-01-01T00:00:03.042+01:00|W5|0.5|0.50|0.11|0.50|0.14;0001-01-01T00:00:03.042+01:00|W6|1.0|0.92|0.01|0.92|0.35;0001-01-01T00:00:03.042+01:00|W7|0.3|-0.18|0.10|-0.18|0.18;0001-01-01T00:00:03.042+01:00|W8|0.5|-0.47|0.13|-0.47|0.09;0001-01-01T00:00:03.042+01:00|W9|0.5|0.44|0.01|0.44|0.10;0001-01-01T00:00:03.042+01:00|W10|0.9|-0.85|0.24|-0.85|0.27;0001-01-01T00:00:03.042+01:00|W11|0.6|-0.47|0.12|-0.47|0.41;0001-01-01T00:00:03.042+01:00|W12|0.3|-0.01|0.11|-0.01|0.30"
7.00;11.10;0001-01-01T00:00:03.0660000+01:00;9.18;-0.08;6.52;40.5;NaN;30.835;NaN;6.702;NaN;-26.354;89.897;-0.088;89.906;"0001-01-01T00:00:03.042+01:00|W1|0.9|0.92|0.25|0.92|0.13;0001-01-01T00:00:03.042+01:00|W2|0.8|0.63|0.08|0.63|0.35;0001-01-01T00:00:03.042+01:00|W3|0.4|0.31|0.01|0.31|0.11;0001-01-01T00:00:03.042+01:00|W4|1.3|1.22|0.29|1.22|0.31;0001-01-01T00:00:03.042+01:00|W5|0.5|0.50|0.11|0.50|0.14;0001-01-01T00:00:03.042+01:00|W6|1.0|0.92|0.01|0.92|0.35;0001-01-01T00:00:03.042+01:00|W7|0.3|-0.18|0.10|-0.18|0.18;0001-01-01T00:00:03.042+01:00|W8|0.5|-0.47|0.13|-0.47|0.09;0001-01-01T00:00:03.042+01:00|W9|0.5|0.44|0.01|0.44|0.10;0001-01-01T00:00:03.042+01:00|W10|0.9|-0.85|0.24|-0.85|0.27;0001-01-01T00:00:03.042+01:00|W11|0.6|-0.47|0.12|-0.47|0.41;0001-01-01T00:00:03.042+01:00|W12|0.3|-0.01|0.11|-0.01|0.30"
8.00;11.38;0001-01-01T00:00:03.1130000+01:00;10.35;-0.09;6.52;42.7;NaN;31.414;NaN;3.595;NaN;-28.047;89.551;-1.223;89.563;"0001-01-01T00:00:03.042+01:00|W1|0.9|0.92|0.25|0.92|0.13;0001-01-01T00:00:03.042+01:00|W2|0.8|0.63|0.08|0.63|0.35;0001-01-01T00:00:03.042+01:00|W3|0.4|0.31|0.01|0.31|0.11;0001-01-01T00:00:03.042+01:00|W4|1.3|1.22|0.29|1.22|0.31;0001-01-01T00:00:03.042+01:00|W5|0.5|0.50|0.11|0.50|0.14;0001-01-01T00:00:03.042+01:00|W6|1.0|0.92|0.01|0.92|0.35;0001-01-01T00:00:03.042+01:00|W7|0.3|-0.18|0.10|-0.18|0.18;0001-01-01T00:00:03.042+01:00|W8|0.5|-0.47|0.13|-0.47|0.09;0001-01-01T00:00:03.042+01:00|W9|0.5|0.44|0.01|0.44|0.10;0001-01-01T00:00:03.042+01:00|W10|0.9|-0.85|0.24|-0.85|0.27;0001-01-01T00:00:03.042+01:00|W11|0.6|-0.47|0.12|-0.47|0.41;0001-01-01T00:00:03.042+01:00|W12|0.3|-0.01|0.11|-0.01|0.30"
