dict_id,length,Speed hor. [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-1. point,207.11879248392697,95.964,0.5,0.4,0.06,0.4,0.22,0.7,0.26,0.24,0.26,0.35,1.0,0.66,0.02,0.66,0.7,1.4,0.65,0.31,0.65,1.21,1.0,-0.05,0.23,-0.05,0.92,0.7,0.34,0.02,0.34,0.58,1.9,0.16,0.18,0.16,1.68,0.3,0.14,0.01,0.14,0.21,0.5,-0.36,0.25,-0.36,0.03,0.8,-0.69,0.03,-0.69,0.22,0.8,-0.65,0.03,-0.65,0.43,1.1,-1.08,0.1,-1.08,0.14
-1. point,229.29820845353328,104.266,1.3,1.05,0.07,1.05,0.62,2.9,1.57,0.17,1.57,1.66,0.9,0.49,0.22,0.49,0.74,1.1,-0.36,0.25,-0.36,0.97,1.1,1.05,0.32,1.05,0.18,1.6,-0.09,0.17,-0.09,1.55,1.5,0.37,0.02,0.37,1.42,2.0,-1.04,0.16,-1.04,1.59,1.1,0.07,0.25,0.07,1.02,1.6,1.12,0.23,1.12,1.09,1.2,0.96,0.35,0.96,0.57,0.6,0.51,0.34,0.51,0.13
-1. point,211.1778513480995,96.027,0.9,-0.05,0.31,-0.05,0.91,1.1,0.55,0.16,0.55,0.84,1.3,0.3,0.04,0.3,1.15,2.3,-1.04,0.18,-1.04,1.98,1.0,0.61,0.22,0.61,0.77,0.9,-0.13,0.18,-0.13,0.61,2.0,-0.01,0.12,-0.01,1.73,1.4,-0.17,0.55,-0.17,1.37,1.8,-1.42,0.12,-1.42,0.93,2.1,-1.98,0.32,-1.98,0.58,1.0,-0.5,0.36,-0.5,0.75,1.8,-1.41,0.01,-1.41,1.04
-1. point,195.45360805060622,104.228,0.5,0.35,0.2,0.35,0.18,0.5,0.35,0.28,0.35,0.16,1.2,0.06,0.02,0.06,1.16,1.2,0.88,0.07,0.88,0.73,1.3,-0.07,0.04,-0.07,1.29,1.3,-0.13,0.17,-0.13,1.23,0.6,-0.2,0.09,-0.2,0.59,1.8,-1.22,0.23,-1.22,1.28,1.0,0.17,0.27,0.17,0.62,0.4,-0.39,0.08,-0.39,0.15,0.6,-0.41,0.06,-0.41,0.1,2.2,-1.65,0.13,-1.65,1.39
-1. point,203.56941666173728,99.484,0.7,-0.01,0.06,-0.01,0.61,1.1,-0.89,0.02,-0.89,0.59,0.6,-0.15,0.02,-0.15,0.52,0.4,-0.06,0.09,-0.06,0.04,1.7,0.14,0.53,0.14,1.13,1.2,0.12,0.03,0.12,1.16,1.1,-1.03,0.02,-1.03,0.27,1.9,-1.91,0.12,-1.91,0.17,1.3,-0.65,0.08,-0.65,1.06,1.8,-1.78,0.33,-1.78,0.1,1.2,-1.15,0.07,-1.15,0.06,1.5,-1.52,0.15,-1.52,0.17
-1. point,219.36577148680237,94.817,0.7,-0.16,0.02,-0.16,0.65,0.8,0.55,0.43,0.55,0.31,0.8,0.35,0.12,0.35,0.72,0.5,0.37,0.14,0.37,0.27,1.4,1.35,0.55,1.35,0.26,1.6,-1.59,0.16,-1.59,0.09,1.9,1.32,0.27,1.32,0.99,1.1,0.77,0.11,0.77,0.66,0.8,0.48,0.07,0.48,0.17,0.9,0.51,0.03,0.51,0.64,1.6,1.5,0.45,1.5,0.25,0.6,-0.29,0.01,-0.29,0.27
-1. point,199.45385932591026,89.114,0.4,-0.07,0.21,-0.07,0.35,1.6,-1.4,0.39,-1.4,0.67,1.0,0.03,0.03,0.03,0.98,0.9,0.35,1.08,0.35,0.7,1.2,-0.31,0.11,-0.31,0.33,1.1,-0.68,0.7,-0.68,0.84,1.4,0.29,0.56,0.29,1.21,3.3,-0.12,0.3,-0.12,3.22,2.2,-1.13,0.0,-1.13,1.94,1.8,-1.61,0.05,-1.61,0.88,0.4,-0.07,0.01,-0.07,0.28,1.3,-1.08,0.03,-1.08,0.55
-1. point,223.7171949135783,92.523,0.8,0.51,0.05,0.51,0.53,0.4,0.11,0.1,0.11,0.34,1.6,1.34,0.09,1.34,0.79,1.9,1.02,0.22,1.02,1.58,1.4,1.24,0.02,1.24,0.7,0.6,-0.23,0.17,-0.23,0.54,1.9,1.8,0.47,1.8,0.41,0.9,0.84,0.26,0.84,0.09,0.6,0.58,0.14,0.58,0.13,0.7,0.39,0.13,0.39,0.55,1.2,1.04,0.24,1.04,0.54,0.9,0.6,0.45,0.6,0.61
-1. point,216.59870059628707,101.045,0.6,0.37,0.06,0.37,0.4,1.1,1.07,0.1,1.07,0.3,1.1,0.5,0.02,0.5,0.98,1.3,1.14,0.41,1.14,0.5,1.6,0.83,0.62,0.83,1.35,1.7,0.76,0.27,0.76,1.54,1.2,0.38,0.13,0.38,1.11,0.8,-0.18,0.15,-0.18,0.64,1.4,0.66,0.15,0.66,1.25,0.7,-0.58,0.01,-0.58,0.39,0.6,0.04,0.04,0.04,0.29,0.5,-0.19,0.17,-0.19,0.46
-1. point,164.01528130024957,98.27,0.6,-0.52,0.02,-0.52,0.19,1.8,1.74,0.13,1.74,0.15,0.7,0.5,0.15,0.5,0.42,1.0,0.03,0.05,0.03,0.95,0.7,-0.43,0.03,-0.43,0.56,1.8,-1.75,0.16,-1.75,0.1,1.2,0.63,0.05,0.63,0.73,1.7,-1.08,0.03,-1.08,1.28,1.1,-0.8,0.15,-0.8,0.49,0.8,-0.57,0.06,-0.57,0.26,2.1,-1.93,0.02,-1.93,0.48,1.6,-1.47,0.11,-1.47,0.61
