dict_id,length,Speed hor. [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
65. point,207.11879248392697,94.538,0.6,0.46,0.02,0.46,0.17,1.3,0.27,0.15,0.27,0.99,0.9,0.62,0.14,0.62,0.62,1.9,1.0,0.11,1.0,1.62,1.3,0.14,0.39,0.14,0.85,0.7,0.06,0.25,0.06,0.54,1.5,0.61,0.22,0.61,1.28,0.5,-0.26,0.06,-0.26,0.44,0.8,-0.5,0.04,-0.5,0.3,1.1,-0.93,0.39,-0.93,0.6,0.9,-0.89,0.1,-0.89,0.07,1.0,-0.89,0.03,-0.89,0.28
65. point,229.29820845353328,95.846,1.4,0.99,0.07,0.99,0.72,2.5,2.18,0.02,2.18,0.71,1.4,0.93,0.0,0.93,0.96,1.3,-0.32,0.03,-0.32,1.04,0.5,0.34,0.47,0.34,0.03,1.8,-0.31,0.06,-0.31,1.72,1.5,0.22,0.13,0.22,1.51,2.0,-0.6,0.09,-0.6,1.84,0.8,-0.39,0.35,-0.39,0.59,1.1,0.44,0.35,0.44,0.97,1.3,1.24,0.32,1.24,0.08,0.6,0.47,0.14,0.47,0.29
65. point,211.1778513480995,98.467,0.4,-0.04,0.06,-0.04,0.34,0.8,-0.19,0.1,-0.19,0.7,1.3,0.7,0.09,0.7,0.99,2.1,-0.75,0.14,-0.75,1.94,0.7,0.03,0.1,0.03,0.7,1.0,-0.72,0.13,-0.72,0.64,2.0,0.46,0.31,0.46,1.71,0.6,-0.18,0.49,-0.18,0.55,1.9,-1.43,0.41,-1.43,0.83,1.4,-1.15,0.03,-1.15,0.71,1.3,-1.0,0.22,-1.0,0.82,1.6,-1.38,0.22,-1.38,0.68
65. point,195.45360805060622,96.34,0.9,0.51,0.18,0.51,0.58,0.2,-0.03,0.03,-0.03,0.22,1.2,0.14,0.02,0.14,1.09,1.0,0.28,0.1,0.28,0.95,1.3,0.24,0.03,0.24,1.16,1.1,0.0,0.17,0.0,0.94,1.0,-0.89,0.17,-0.89,0.32,2.3,-1.63,0.03,-1.63,1.68,1.6,-0.68,0.3,-0.68,0.33,0.6,-0.38,0.16,-0.38,0.07,0.4,0.27,0.11,0.27,0.25,2.2,-1.94,0.34,-1.94,1.01
65. point,203.56941666173728,95.433,0.7,-0.24,0.02,-0.24,0.69,1.1,-0.71,0.09,-0.71,0.8,0.5,-0.02,0.07,-0.02,0.41,0.6,0.15,0.31,0.15,0.54,0.9,0.03,0.31,0.03,0.84,0.9,-0.29,0.08,-0.29,0.69,1.0,-0.73,0.1,-0.73,0.59,1.8,-1.75,0.04,-1.75,0.5,1.4,-0.71,0.19,-0.71,1.01,1.3,-1.28,0.05,-1.28,0.11,1.0,-0.9,0.15,-0.9,0.26,1.8,-1.7,0.13,-1.7,0.33
65. point,219.36577148680237,93.868,0.6,-0.5,0.36,-0.5,0.26,1.7,1.57,0.37,1.57,0.52,1.0,0.7,0.04,0.7,0.54,0.8,0.15,0.01,0.15,0.63,0.6,0.56,0.22,0.56,0.01,1.3,-1.34,0.46,-1.34,0.02,1.6,0.99,0.01,0.99,0.94,0.9,0.69,0.11,0.69,0.57,0.7,0.5,0.01,0.5,0.45,0.8,0.76,0.54,0.76,0.16,0.8,0.74,0.05,0.74,0.37,0.8,-0.28,0.31,-0.28,0.05
65. point,199.45385932591026,94.946,0.8,-0.17,0.12,-0.17,0.71,1.5,-1.34,0.3,-1.34,0.38,1.0,0.27,0.12,0.27,0.84,2.8,0.55,0.18,0.55,2.44,1.0,0.54,0.33,0.54,0.88,2.4,-1.62,0.43,-1.62,1.52,2.5,0.43,0.05,0.43,2.38,3.3,-0.36,0.23,-0.36,3.25,2.4,-1.57,0.03,-1.57,1.61,1.9,-1.81,0.17,-1.81,0.44,0.5,-0.19,0.07,-0.19,0.4,1.2,-0.89,0.53,-0.89,0.08
65. point,223.7171949135783,94.359,0.9,0.42,0.06,0.42,0.66,0.6,0.23,0.12,0.23,0.53,1.5,1.2,0.13,1.2,0.95,1.9,0.86,0.22,0.86,1.66,1.5,1.24,0.18,1.24,0.78,0.9,-0.05,0.17,-0.05,0.87,0.7,0.48,0.03,0.48,0.26,1.3,1.1,0.04,1.1,0.72,1.0,0.72,0.26,0.72,0.12,1.0,0.61,0.2,0.61,0.83,0.8,0.54,0.09,0.54,0.63,1.2,1.15,0.08,1.15,0.32
65. point,216.59870059628707,96.338,0.6,0.29,0.14,0.29,0.47,1.1,0.8,0.31,0.8,0.72,1.0,0.67,0.21,0.67,0.55,0.7,0.03,0.55,0.03,0.53,2.4,1.77,0.01,1.77,1.49,1.4,0.48,0.03,0.48,1.25,1.4,-0.08,0.08,-0.08,1.26,0.3,-0.07,0.12,-0.07,0.31,0.9,0.65,0.01,0.65,0.58,1.0,-0.59,0.4,-0.59,0.76,0.4,0.16,0.22,0.16,0.32,0.3,-0.19,0.05,-0.19,0.1
65. point,164.01528130024957,95.57,0.7,-0.59,0.14,-0.59,0.0,1.5,1.43,0.03,1.43,0.26,1.0,0.64,0.45,0.64,0.7,1.1,0.09,0.07,0.09,0.87,0.7,-0.54,0.04,-0.54,0.43,1.3,-1.18,0.1,-1.18,0.28,1.0,-0.1,0.39,-0.1,0.79,1.7,-1.22,0.05,-1.22,1.1,0.8,-0.67,0.01,-0.67,0.43,0.9,-0.75,0.01,-0.75,0.44,1.9,-1.87,0.13,-1.87,0.0,1.7,-1.41,0.61,-1.41,0.77
