dict_id,length,Speed hor. [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
1. point,199.7606487774807,99.551,0.8,0.49,0.04,0.49,0.51,0.9,0.82,0.02,0.82,0.34,1.2,0.67,0.02,0.67,0.85,2.1,1.14,0.02,1.14,1.82,1.2,0.25,0.16,0.25,1.16,1.3,0.87,0.21,0.87,0.98,1.9,0.06,0.11,0.06,1.58,2.1,-0.41,0.1,-0.41,2.06,2.1,-1.35,0.61,-1.35,1.45,0.4,-0.19,0.25,-0.19,0.26,0.9,-0.13,0.43,-0.13,0.87,0.2,-0.19,0.4,-0.19,0.08
1. point,213.45253149119594,97.819,0.9,0.11,0.11,0.11,0.94,1.1,-0.51,0.08,-0.51,0.5,0.5,-0.01,0.0,-0.01,0.45,0.8,-0.16,0.23,-0.16,0.61,0.6,-0.52,0.17,-0.52,0.13,0.7,-0.13,0.06,-0.13,0.56,0.1,-0.1,0.22,-0.1,0.1,0.6,0.35,0.02,0.35,0.46,1.5,0.95,0.38,0.95,1.17,1.1,0.74,0.14,0.74,0.79,1.5,-0.12,0.08,-0.12,1.31,1.7,1.64,0.38,1.64,0.3
1. point,233.2731467614736,93.691,0.7,0.13,0.11,0.13,0.69,1.6,1.39,0.08,1.39,0.45,1.4,1.05,0.09,1.05,0.91,2.1,2.13,0.17,2.13,0.25,0.6,0.56,0.13,0.56,0.06,2.3,2.25,0.02,2.25,0.35,2.4,1.84,0.02,1.84,1.52,1.8,1.81,0.04,1.81,0.09,2.8,1.89,0.09,1.89,2.04,0.2,0.16,0.17,0.16,0.07,1.4,-0.51,0.08,-0.51,1.31,1.1,1.01,0.32,1.01,0.45
1. point,203.54295099560682,97.898,2.0,0.97,0.18,0.97,0.43,0.5,0.31,0.51,0.31,0.06,1.2,0.76,0.06,0.76,0.85,0.3,0.09,0.0,0.09,0.3,1.7,0.6,0.23,0.6,1.62,1.9,-0.55,0.76,-0.55,1.68,1.7,-0.16,0.04,-0.16,1.16,0.9,0.29,0.22,0.29,0.85,0.9,0.01,0.37,0.01,0.89,1.4,-0.88,0.17,-0.88,0.86,1.6,-1.14,0.21,-1.14,1.04,1.5,-1.27,0.2,-1.27,0.05
1. point,221.80018687999342,98.678,0.4,0.16,0.02,0.16,0.32,1.5,1.07,0.44,1.07,0.28,1.4,0.64,0.02,0.64,1.21,0.8,0.01,0.11,0.01,0.82,1.6,0.8,0.0,0.8,1.35,0.4,-0.29,0.01,-0.29,0.21,1.9,-0.02,0.07,-0.02,1.52,0.6,0.18,0.26,0.18,0.57,1.9,0.16,0.04,0.16,1.84,0.6,0.07,0.15,0.07,0.58,0.6,0.5,0.0,0.5,0.24,0.8,-0.62,0.28,-0.62,0.5
1. point,197.45661877992342,97.1,1.4,0.28,0.04,0.28,1.36,0.8,0.5,0.1,0.5,0.64,1.1,0.44,0.16,0.44,0.79,2.2,1.59,0.24,1.59,1.54,1.8,0.21,0.28,0.21,1.82,2.5,-0.2,0.52,-0.2,2.47,2.5,-0.48,0.05,-0.48,2.47,2.1,-0.75,0.18,-0.75,1.93,1.7,-1.34,0.18,-1.34,0.73,1.2,-1.14,0.19,-1.14,0.18,1.0,-0.84,0.02,-0.84,0.6,0.5,0.1,0.02,0.1,0.47
1. point,212.66576663863887,98.757,1.5,-0.19,0.04,-0.19,1.47,0.6,-0.28,0.15,-0.28,0.28,1.1,0.02,0.0,0.02,1.07,0.8,0.62,0.2,0.62,0.08,1.1,0.68,0.11,0.68,0.89,0.9,0.46,0.2,0.46,0.46,3.1,0.23,0.61,0.23,3.06,2.2,0.78,0.04,0.78,2.05,2.3,-2.17,0.12,-2.17,0.47,1.5,-0.7,0.06,-0.7,1.27,0.6,0.49,0.03,0.49,0.1,2.3,-2.24,0.19,-2.24,0.2
1. point,185.66868583581885,97.569,0.5,-0.34,0.01,-0.34,0.28,0.9,-0.88,0.03,-0.88,0.01,0.8,0.57,0.02,0.57,0.38,0.7,-0.7,0.19,-0.7,0.19,0.8,-0.06,0.11,-0.06,0.69,1.1,0.3,0.54,0.3,1.09,3.1,-0.54,0.07,-0.54,2.94,2.2,-0.53,0.01,-0.53,2.15,1.8,-0.92,0.06,-0.92,1.26,1.6,-1.04,0.33,-1.04,1.16,1.3,-0.99,0.0,-0.99,0.83,1.8,-1.42,0.16,-1.42,0.98
1. point,219.07254049743435,96.398,0.8,0.75,0.01,0.75,0.15,1.0,0.92,0.17,0.92,0.23,1.3,1.11,0.13,1.11,0.52,1.4,1.04,0.24,1.04,0.75,0.8,0.35,0.16,0.35,0.69,1.1,1.06,0.18,1.06,0.15,1.7,1.38,0.28,1.38,0.96,1.0,0.64,0.1,0.64,0.58,1.0,0.35,0.18,0.35,0.74,1.2,-0.68,0.24,-0.68,0.74,0.6,0.12,0.07,0.12,0.54,0.5,0.14,0.11,0.14,0.1
1. point,203.66466188320447,96.371,1.1,-0.81,0.19,-0.81,0.72,0.8,0.53,0.16,0.53,0.02,1.0,0.37,0.18,0.37,0.06,0.8,-0.08,0.03,-0.08,0.65,0.3,-0.27,0.07,-0.27,0.19,1.0,-1.02,0.13,-1.02,0.1,0.8,0.09,0.0,0.09,0.78,0.8,0.18,0.06,0.18,0.8,0.5,-0.05,0.01,-0.05,0.44,1.3,-1.31,0.1,-1.31,0.29,1.9,-1.74,0.21,-1.74,0.78,1.8,-1.56,0.38,-1.56,0.06
1. point,193.23749144511268,96.923,1.1,-0.05,0.17,-0.05,0.9,0.8,-0.75,0.15,-0.75,0.12,1.1,0.48,0.05,0.48,0.92,1.2,0.34,0.22,0.34,1.14,1.2,0.07,0.03,0.07,1.12,0.2,-0.14,0.33,-0.14,0.03,1.9,0.03,0.38,0.03,1.79,0.9,0.14,0.01,0.14,0.87,1.5,-1.02,0.03,-1.02,1.03,1.1,-0.99,0.08,-0.99,0.53,0.6,0.48,0.09,0.48,0.38,1.2,-0.92,0.03,-0.92,0.77
1. point,188.63729959899234,97.064,0.7,0.64,0.23,0.64,0.35,0.4,0.13,0.04,0.13,0.08,0.4,0.13,0.04,0.13,0.2,0.6,0.44,0.14,0.44,0.05,0.2,-0.01,0.09,-0.01,0.22,0.7,0.58,0.14,0.58,0.36,0.4,-0.13,0.11,-0.13,0.43,0.9,0.89,0.0,0.89,0.02,1.0,0.68,0.03,0.68,0.51,0.4,0.41,0.02,0.41,0.14,0.3,-0.08,0.02,-0.08,0.33,0.4,-0.05,0.01,-0.05,0.32
1. point,183.82165215229676,98.476,0.9,0.86,0.27,0.86,0.23,0.5,0.48,0.08,0.48,0.23,0.5,0.5,0.13,0.5,0.05,0.3,0.34,0.09,0.34,0.0,0.5,0.47,0.11,0.47,0.29,1.1,1.05,0.02,1.05,0.07,0.6,-0.13,0.17,-0.13,0.19,0.8,0.51,0.04,0.51,0.67,0.7,0.61,0.15,0.61,0.22,0.3,-0.17,0.01,-0.17,0.16,0.9,0.62,0.23,0.62,0.6,1.8,-1.01,0.17,-1.01,1.18
1. point,179.474739448202,95.346,1.6,1.57,0.08,1.57,0.09,1.1,1.1,0.02,1.1,0.15,1.1,0.92,0.19,0.92,0.15,1.7,1.62,0.07,1.62,0.01,1.0,0.47,0.05,0.47,0.91,0.2,0.08,0.25,0.08,0.1,0.2,0.12,0.02,0.12,0.08,0.2,0.22,0.15,0.22,0.01,0.5,0.39,0.2,0.39,0.28,0.7,-0.24,0.0,-0.24,0.6,0.4,-0.23,0.12,-0.23,0.21,0.3,-0.12,0.23,-0.12,0.3
1. point,179.88638358697415,96.3,1.2,1.25,0.08,1.25,0.03,1.0,0.83,0.08,0.83,0.28,0.8,0.78,0.12,0.78,0.19,1.0,0.91,0.01,0.91,0.34,0.4,0.29,0.04,0.29,0.26,0.4,0.36,0.12,0.36,0.12,0.4,0.33,0.09,0.33,0.16,0.7,0.46,0.1,0.46,0.27,0.7,0.29,0.01,0.29,0.24,0.4,0.4,0.07,0.4,0.09,0.2,0.07,0.13,0.07,0.15,1.1,1.01,0.02,1.01,0.36
1. point,186.20930723247966,97.141,0.3,-0.17,0.04,-0.17,0.24,0.4,0.42,0.5,0.42,0.01,0.9,0.81,0.1,0.81,0.4,0.7,0.56,0.01,0.56,0.12,0.7,-0.02,0.01,-0.02,0.55,0.5,0.3,0.09,0.3,0.1,0.7,-0.08,0.04,-0.08,0.01,0.6,0.45,0.16,0.45,0.15,0.7,0.24,0.26,0.24,0.32,0.2,-0.16,0.05,-0.16,0.06,0.8,-0.72,0.07,-0.72,0.16,0.2,-0.19,0.0,-0.19,0.01
1. point,194.16780732139918,94.415,1.5,1.38,0.08,1.38,0.3,1.0,0.69,0.16,0.69,0.61,2.4,2.32,0.35,2.32,0.35,1.2,1.18,0.01,1.18,0.2,1.3,1.27,0.22,1.27,0.44,1.3,1.29,0.04,1.29,0.19,2.3,2.2,0.11,2.2,0.45,1.3,1.26,0.1,1.26,0.35,1.5,1.37,0.66,1.37,0.22,0.5,0.28,0.09,0.28,0.43,1.7,1.51,0.37,1.51,0.76,1.6,1.59,0.32,1.59,0.04
1. point,224.37627548383986,96.565,1.5,1.42,0.13,1.42,0.41,1.0,0.69,0.17,0.69,0.66,2.0,1.86,0.08,1.86,0.68,1.1,0.87,0.03,0.87,0.57,2.0,1.87,0.15,1.87,0.79,1.3,1.28,0.24,1.28,0.05,3.0,3.01,0.86,3.01,0.03,1.6,1.52,0.35,1.52,0.21,2.7,2.63,0.07,2.63,0.27,1.3,1.25,0.24,1.25,0.47,2.0,1.82,0.08,1.82,0.01,1.8,1.75,0.06,1.75,0.53
1. point,210.62507756675132,96.424,2.1,1.91,0.03,1.91,0.76,0.9,0.8,0.2,0.8,0.32,1.7,1.66,0.04,1.66,0.48,2.1,2.06,0.18,2.06,0.16,0.9,0.89,0.05,0.89,0.2,1.3,1.27,0.07,1.27,0.06,1.1,0.69,0.11,0.69,0.78,0.5,0.14,0.18,0.14,0.25,0.9,0.49,0.08,0.49,0.32,0.7,0.54,0.09,0.54,0.49,1.2,1.13,0.18,1.13,0.2,0.7,-0.22,0.09,-0.22,0.58
1. point,211.88939237253007,94.521,2.0,2.01,0.05,2.01,0.22,1.9,1.83,0.02,1.83,0.32,2.5,2.38,0.08,2.38,0.16,2.0,1.77,0.06,1.77,0.87,1.4,1.28,0.22,1.28,0.47,1.8,1.33,0.21,1.33,1.15,1.7,1.72,0.08,1.72,0.18,0.9,0.69,0.02,0.69,0.47,0.9,0.8,0.09,0.8,0.4,2.1,1.92,0.12,1.92,0.09,1.7,1.25,0.05,1.25,0.88,1.6,1.22,0.6,1.22,0.54
1. point,240.47254209160764,94.401,1.6,1.4,0.31,1.4,0.67,1.3,1.21,0.18,1.21,0.16,1.7,1.7,0.22,1.7,0.34,2.7,2.67,0.34,2.67,0.3,1.0,0.96,0.31,0.96,0.07,1.9,1.67,0.1,1.67,0.94,1.9,1.8,0.25,1.8,0.43,0.8,0.59,0.23,0.59,0.46,2.2,2.11,0.17,2.11,0.7,1.2,1.12,0.41,1.12,0.34,1.6,1.56,0.03,1.56,0.45,0.9,0.82,0.12,0.82,0.1
1. point,199.44042945200454,96.898,1.4,1.37,0.0,1.37,0.41,0.8,0.74,0.07,0.74,0.18,1.2,1.06,0.23,1.06,0.34,1.2,0.96,0.01,0.96,0.66,0.8,0.8,0.01,0.8,0.24,1.0,0.49,0.1,0.49,0.83,1.4,0.97,0.18,0.97,0.95,0.7,0.15,0.16,0.15,0.69,0.9,0.08,0.03,0.08,0.92,0.6,-0.35,0.05,-0.35,0.51,0.4,0.09,0.06,0.09,0.41,0.6,-0.31,0.06,-0.31,0.45
1. point,221.74693797209466,93.442,0.9,0.6,0.09,0.6,0.61,0.3,0.13,0.01,0.13,0.26,1.0,0.88,0.02,0.88,0.29,0.5,0.45,0.16,0.45,0.12,0.3,0.22,0.02,0.22,0.07,0.7,0.31,0.06,0.31,0.63,1.1,1.03,0.12,1.03,0.33,0.6,-0.1,0.09,-0.1,0.32,0.9,0.7,0.07,0.7,0.45,0.2,-0.15,0.06,-0.15,0.1,0.6,0.46,0.23,0.46,0.21,1.0,0.5,0.07,0.5,0.83
1. point,228.21668322013622,97.539,2.3,2.19,0.1,2.19,0.72,1.4,1.38,0.58,1.38,0.27,2.3,2.14,0.04,2.14,0.72,2.1,2.04,0.05,2.04,0.28,1.7,1.58,0.04,1.58,0.63,1.1,0.67,0.17,0.67,0.81,3.1,3.06,0.51,3.06,0.33,2.6,2.24,0.18,2.24,1.21,2.9,2.86,0.13,2.86,0.58,1.3,1.19,0.12,1.19,0.4,2.5,2.08,0.17,2.08,1.22,2.5,2.45,0.16,2.45,0.58
1. point,197.485720496445,94.609,2.0,1.81,0.03,1.81,0.55,1.8,1.75,0.05,1.75,0.11,1.8,1.78,0.09,1.78,0.15,1.4,1.39,0.07,1.39,0.39,1.6,1.57,0.06,1.57,0.08,1.7,1.45,0.13,1.45,0.83,1.5,1.4,0.36,1.4,0.21,1.6,1.45,0.18,1.45,0.75,1.2,0.26,0.08,0.26,1.01,0.9,0.91,0.12,0.91,0.04,1.4,0.98,0.11,0.98,0.66,0.5,0.36,0.14,0.36,0.21
1. point,194.9921742019407,92.682,2.5,2.43,0.22,2.43,0.63,1.4,1.33,0.23,1.33,0.04,2.0,1.92,0.09,1.92,0.41,2.3,2.23,0.18,2.23,0.53,1.0,1.03,0.18,1.03,0.01,2.2,1.5,0.64,1.5,1.61,1.7,1.62,0.12,1.62,0.46,2.6,2.45,0.2,2.45,0.85,2.0,1.95,0.01,1.95,0.19,1.2,1.0,0.2,1.0,0.67,1.5,1.41,0.22,1.41,0.43,1.5,1.35,0.01,1.35,0.64
1. point,226.97186499652332,98.6,1.0,0.23,0.04,0.23,0.93,0.5,0.21,0.13,0.21,0.24,0.7,0.1,0.01,0.1,0.66,0.7,-0.16,0.17,-0.16,0.18,1.5,0.64,0.48,0.64,1.23,0.9,-0.86,0.3,-0.86,0.02,0.9,-0.04,0.08,-0.04,0.92,1.7,-1.46,0.1,-1.46,0.88,0.7,-0.48,0.06,-0.48,0.47,0.9,-0.66,0.38,-0.66,0.57,0.4,-0.2,0.06,-0.2,0.35,0.5,0.49,0.07,0.49,0.14
1. point,207.53052835667336,96.974,0.7,0.28,0.05,0.28,0.58,0.8,0.57,0.27,0.57,0.52,0.7,0.19,0.07,0.19,0.63,1.2,-0.77,0.32,-0.77,0.77,0.8,0.07,0.08,0.07,0.84,0.7,-0.65,0.36,-0.65,0.22,1.7,-0.19,0.07,-0.19,1.57,2.0,0.25,0.07,0.25,2.01,0.5,-0.1,0.07,-0.1,0.33,0.7,0.44,0.01,0.44,0.51,0.7,-0.46,0.08,-0.46,0.13,0.8,-0.51,0.27,-0.51,0.57
1. point,202.20551550341054,100.176,1.4,0.48,0.13,0.48,1.2,0.5,-0.41,0.15,-0.41,0.01,1.0,0.15,0.11,0.15,0.94,2.4,0.84,0.84,0.84,2.26,1.2,-0.21,0.03,-0.21,1.2,1.9,0.43,0.09,0.43,1.82,2.0,-0.23,0.04,-0.23,1.89,1.6,0.2,0.16,0.2,1.54,1.0,0.03,0.17,0.03,0.96,0.9,-0.41,0.23,-0.41,0.66,0.8,0.48,0.22,0.48,0.5,1.0,-0.9,0.25,-0.9,0.37
1. point,198.22699765672687,98.654,0.8,0.62,0.19,0.62,0.55,1.1,0.83,0.02,0.83,0.71,0.9,-0.1,0.09,-0.1,0.87,1.7,-0.27,0.25,-0.27,1.7,0.3,-0.05,0.4,-0.05,0.03,2.8,-1.57,0.39,-1.57,2.32,0.8,0.16,0.23,0.16,0.61,1.2,-0.5,0.08,-0.5,1.09,1.1,-0.52,0.06,-0.52,0.89,1.5,-0.16,0.17,-0.16,1.53,0.1,0.0,0.08,0.0,0.08,1.2,-1.1,0.31,-1.1,0.01
1. point,212.77754275298884,98.693,1.0,0.42,0.24,0.42,0.71,2.1,1.72,0.43,1.72,0.97,1.2,0.89,0.06,0.89,0.79,1.6,0.95,0.25,0.95,1.22,1.2,0.46,0.03,0.46,1.13,0.9,-0.52,0.26,-0.52,0.54,2.9,-0.14,0.03,-0.14,2.89,1.7,-0.4,0.15,-0.4,1.65,1.3,-1.11,0.05,-1.11,0.72,1.6,-1.26,0.09,-1.26,0.86,0.9,-0.29,0.05,-0.29,0.83,2.6,-1.94,0.06,-1.94,1.71
1. point,188.19160980235011,96.578,1.3,0.64,0.54,0.64,1.1,0.3,0.18,0.08,0.18,0.1,0.5,0.44,0.18,0.44,0.02,1.3,-0.33,0.02,-0.33,1.05,0.8,-0.39,0.42,-0.39,0.71,2.1,-0.84,0.4,-0.84,1.87,1.5,-0.09,0.15,-0.09,1.51,0.6,-0.03,0.06,-0.03,0.61,1.2,1.04,0.0,1.04,0.06,1.4,-1.11,0.69,-1.11,0.46,0.4,-0.38,0.12,-0.38,0.14,1.2,-0.13,0.32,-0.13,1.04
1. point,220.59274557428222,99.13,1.0,0.25,0.69,0.25,0.88,0.3,0.14,0.13,0.14,0.06,1.0,-0.17,0.07,-0.17,0.94,1.6,0.34,0.18,0.34,1.59,0.8,0.46,0.1,0.46,0.61,1.0,-0.95,0.0,-0.95,0.03,2.4,0.13,0.42,0.13,2.31,1.9,0.13,0.25,0.13,1.81,1.4,-1.27,0.38,-1.27,0.49,0.8,-0.58,0.01,-0.58,0.52,0.8,-0.55,0.05,-0.55,0.49,0.5,-0.49,0.03,-0.49,0.06
1. point,210.27236004762966,100.625,0.9,0.11,0.05,0.11,0.84,0.4,-0.14,0.01,-0.14,0.37,0.7,0.25,0.05,0.25,0.61,1.7,-0.19,0.31,-0.19,1.58,0.8,0.07,0.07,0.07,0.75,0.4,-0.21,0.11,-0.21,0.17,1.3,-0.14,0.11,-0.14,1.28,0.5,-0.09,0.25,-0.09,0.48,1.4,-1.2,0.13,-1.2,0.56,1.1,-1.08,0.14,-1.08,0.32,0.9,-0.6,0.07,-0.6,0.61,0.6,0.02,0.0,0.02,0.38
