,X [m],Y [m],Z [m],Vx [m/s],Vy [m/s],Vz [m/s],Speed [m/s],Opening Angle [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Stalling Angle Left [°],Stalling Angle Right [°]
X [m],0.999108260622323,0.003280314703658709,-0.0012379331515479232,0.007327942398774232,-0.010696460773953807,-0.0015965609242948116,-0.0012375034303106866,0.00023803902013516264,-0.0002236635940204261,-0.00011143390058404072,5.4253861182672466e-05,7.487583349793626e-05,0.00041485838531543444,0.00012724156680017583
Y [m],-2.058646033876817e-05,0.9994298854002738,-2.903792372100311e-05,5.5829843224358194e-05,0.05172099702022095,-2.9410003804225958e-05,-2.976024439267572e-05,6.31344027095685e-06,-2.7517097260648063e-05,-2.366609721666213e-05,-1.3702360409484372e-05,8.433457301954e-06,3.9595996997914e-05,-3.903031787885913e-05
Z [m],-0.00041791492721975326,-0.0015927057160910582,0.9994290559413281,-2.39253784803069e-05,0.004926842098633334,0.004887980554859149,-9.793401303312483e-05,-9.133136970015857e-05,2.247012907155542e-05,3.901479750477856e-05,1.2282692531472901e-05,-6.0760082261529465e-05,2.560207558143563e-05,1.980296319480752e-05
Vx [m/s],0.009650425036634772,0.017489511096864814,0.014399324030259543,0.9320049990158292,-0.06827300093642522,0.03624536659340787,0.03619765806630405,0.011566857531777813,0.005361825624263236,-0.005528768346918331,-0.006525125829918296,0.008849188425556848,-0.011379431332871835,-0.010606436656227132
Vy [m/s],0.00035796286042075697,0.06963601542044057,8.654322364335996e-05,-0.0011621004495991228,0.7567124005422295,0.0011484913818524077,0.0006673900511273866,0.0020774632680534964,-0.002742184513802863,-0.0029765848461000255,0.0017300334288300474,0.0039039518210297005,0.0007150915128411317,-0.0018467679941159114
Vz [m/s],-0.02489649783388015,0.001740816225383863,-0.04955478680882338,0.0010270487880293872,-0.031695743811694425,0.9769625415573429,-0.008199813512178706,-0.005033407890978628,-0.002481901164718931,-0.001038792980944652,0.0033623909059946736,-0.0009596126439630289,0.005478313036905768,-0.0008128770181933916
Speed [m/s],0.024157830090832215,0.013197493394056353,0.04335837804667539,-0.03438142838534134,-0.040391672134356155,0.02323100946299398,0.51923237216652,0.011557531433960983,0.005777370608047542,-0.0042412634050973145,-0.007560562954998904,0.0079374869327917,-0.01415630715361161,-0.010123497035070088
Opening Angle [°],0.07518438464933938,-0.009159390075861848,0.12250591714080669,-0.24764876820111267,-0.007276827276931796,0.1313991078149523,0.13759415037124265,0.4823700958316205,-0.0019357694378031296,-0.0018398581689311325,0.014807974127779663,-0.0065120038880870585,0.006904118086418164,0.009480619573624265
Roll Angle Left [°],0.006610868007369696,-0.04834379423605593,0.029366470727369174,-0.08481451905302528,0.28722636919763095,0.04091118476868632,0.04823902291759846,-0.0012128357135078728,0.489095482645444,-0.003924518550402925,0.0007050678661282667,-0.008302226382364788,0.041764588640357654,-0.011331148733259348
Roll Angle Right [°],-0.021922742042658105,-0.03782724059525759,-0.051379385763639145,0.07975622826502492,0.24550036776163758,-0.038493469994777915,-0.04492047194758862,0.008603123789499123,-0.002139203563419458,0.4911011989216755,-0.018937169563887846,0.0023343913250200294,0.0016084704903061057,-0.034521944945442154
Yaw Angle Left [°],0.03897721252075498,0.00215982071734909,0.06476136473644471,-0.12198335942506014,-0.025403419905247956,0.06387982811535918,0.0676774006073752,-0.008670418265786309,-0.0023047459538093505,-0.0013804488024222253,0.5060438958147072,-0.0020258059112140707,0.006267793781685617,0.003481052619954953
Yaw Angle Right [°],-0.04041539854749718,0.009537779814723667,-0.06591454871241671,0.1280812755426341,-0.02682918929536005,-0.06783805628067605,-0.07113125478154206,0.00884399328077381,0.0001509303139756928,0.0008876190097193047,-0.007054019577714553,0.5016236927660987,-0.0027692635697056578,-0.006888079040321878
Stalling Angle Left [°],0.07906948554132968,-0.0034666992020208386,0.1216891157807592,-0.19823859503868363,0.025913763845232137,0.11178070290815985,0.11011236553820776,-0.0032147187495573004,0.0012580667905834242,-0.006866746700269864,-0.001772387464680726,0.006306751465781429,0.497007683458719,-0.008123204932024142
Stalling Angle Right [°],0.08562940832079027,0.012986435791155668,0.12884211589060357,-0.202191992003618,0.0005795565253031079,0.11507587902830785,0.11201866954170661,-0.0022085878606954382,0.007949561745362658,-0.0015811888220569029,-0.0031460747979346858,0.0055233813714221786,-0.003970598451239561,0.49273020148549185
