,X [m],Y [m],Z [m],Vx [m/s],Vy [m/s],Vz [m/s],Speed [m/s],Opening Angle [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Stalling Angle Left [°],Stalling Angle Right [°]
X [m],0.9983218629986828,-7.368867272220535e-05,-0.0020173930412507772,0.048398906516506385,-0.00024253927186022848,-0.002990346913497011,0.0010266968947868166,-0.0002237308520277036,-9.907590321547219e-05,-1.871891490322856e-05,7.54156971087436e-05,-6.615888227195742e-05,3.7759467782719544e-05,-8.94975108568508e-05
Y [m],-1.0936846306255993e-05,0.9994262562799686,-5.869245606585825e-06,-1.753001191152578e-05,0.051721978288347875,-7.863681430323171e-05,5.643222966124523e-06,6.766369559620067e-05,-2.79421031291794e-05,-2.288973344799977e-05,-7.359967988666162e-05,7.095658103692634e-05,4.6400497447227375e-05,-3.621569485891921e-05
Z [m],0.0003401910576773193,2.827254927087445e-05,1.0003548701209595,5.6677978697759926e-05,-8.948755473418814e-05,0.05049731664984862,-0.00020066381572125515,-2.7616162263180964e-05,1.525894727396057e-05,-7.935485755767547e-06,4.3561090032758475e-05,-3.2112441682909424e-05,-2.6731081517544253e-05,5.745169468207071e-06
Vx [m/s],-0.0032644107850869535,0.008059264793905755,0.0035513318400391377,0.5065483162390879,-0.02415908871045903,0.16075667187104445,0.25458482823822276,0.007473568933040372,-0.0009810075536724491,-0.0008338988238006732,-0.005731067342128832,0.005708257911891795,0.0019425203259873698,-0.00032211380930440464
Vy [m/s],-0.002364208999587908,0.0692904918381507,-0.0033186325565027147,0.0006162861484463484,0.7590663916066848,-0.0020164705786699295,-0.0010344462449571065,0.00406121707100744,-0.002793245497942124,-0.002951956287037668,-0.00043081713013721893,0.006001699133418846,0.0009812938652873995,-0.001551461321777259
Vz [m/s],-0.05073047840688866,-0.004887256334019789,-0.0632595997714598,0.10045765786823839,-0.0010919243252488118,0.7905630954987197,-0.06923238245410655,0.0017927705010546335,-0.0014146652303875082,0.0010058943153879536,-0.0015141464837483097,0.002853318913249214,0.003881613589414381,0.003950839899363047
Speed [m/s],-0.0008289049758434892,0.0010166696690394816,-2.151950990543221e-05,0.0018482400642597754,-0.0030628162403692123,-0.00030087246891654935,0.5001518921860129,0.000511648433508863,0.000479542970024004,-0.00034490817991612133,-0.00026594318621543173,0.0002724473792739266,-0.0013201528481574364,-0.000818552888469857
Opening Angle [°],-0.058319133732319894,-0.026311758022951083,-0.07450373868881933,0.03032423317892626,0.045973259183752876,-0.01046565385909818,0.03544101335369436,0.38998174618072706,-0.006952951953290243,-0.0007234231782732552,0.09805512767194842,-0.09313116119216612,0.005276490375149534,0.010488768064138957
Roll Angle Left [°],-0.024373808058792534,-0.0531399340622806,-0.020984615385040362,0.0493588834797373,0.3023368661995763,-0.010438272453547925,0.006501659268375584,-0.02089811759927671,0.4879628043297983,-0.0035703558608011898,0.016060734231989112,-0.02421841849094655,0.04053683102725736,-0.011621023507744637
Roll Angle Right [°],0.016045433765311014,-0.03399228464053181,0.0070306010949347355,-0.029500392802208678,0.23285624934227897,0.022102910602798155,-0.009726922776437708,0.025809307710404374,-0.0014140781406468328,0.49119679280785106,-0.03257525894342052,0.016653937930148438,0.002585264827603358,-0.034703616501441804
Yaw Angle Left [°],-0.026947020461642955,-0.005897383387342666,-0.03242520478076641,0.013013609449504542,-0.0021428633648056384,-0.01131566150430187,0.018507681229750904,-0.04844460150806022,-0.004678194407112727,-0.0009940692571012845,0.5412796544677454,-0.03855943967306603,0.005752627647455558,0.004029405394128844
Yaw Angle Right [°],0.030630865298466675,0.01708044110939005,0.038360876146432174,-0.011896071648439446,-0.04955967197239474,0.009954030281306056,-0.01989163294110908,0.05304072612445486,0.0025945633046894983,0.0002579451085341134,-0.04641103418606838,0.5429068843369663,-0.002208329527439789,-0.007839294384969643
Stalling Angle Left [°],-0.040351570548765266,-0.015868181309583118,-0.048941329234664335,0.007764017139334886,0.06035503052244765,0.007549756180852055,0.030297630234807995,-0.0446971299143544,-0.003862785760102395,-0.005493485126954738,0.032221382491872695,-0.029406858659626178,0.5001628971109413,-0.005214919016120335
Stalling Angle Right [°],-0.038734678939907806,0.0004575151013100939,-0.048071966449844995,0.009373215702807053,0.03451807132455785,0.0087023898724042,0.02687958176462767,-0.0430024349949207,0.0026161098105083806,-0.00013518056953472878,0.030053469879545793,-0.02910224335012554,-0.0004755076916273795,0.49608313754622246
