,takeoff_Speed,mid_Speed,landing_Speed,takeoff_Tangent,mid_Tangent,landing_Tangent,takeoff_Cross,mid_Cross,landing_Cross,takeoff_Turbulence,mid_Turbulence,landing_Turbulence,takeoff_Speed_quad,mid_Speed_quad,landing_Speed_quad,takeoff_Tangent_quad,mid_Tangent_quad,landing_Tangent_quad,takeoff_Cross_quad,mid_Cross_quad,landing_Cross_quad,takeoff_Turbulence_quad,mid_Turbulence_quad,landing_Turbulence_quad,Speed [m/s],Opening Angle [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Stalling Angle Left [°],Stalling Angle Right [°]
X [m],0.00019781011991676942,-0.005566360585820256,-0.008501367336030168,0.0037524184575770604,-0.0005318549967644625,-0.0016480168881983373,-0.01724700949717502,0.008491614193247397,0.007605515818412139,-0.04320165006609528,-0.06878705299690151,-0.003099909340647074,-0.01277534367228277,-0.000885293320275355,0.017379969808861747,0.012405347931557054,0.002547336806944948,-0.014074399657235509,0.02204002235124103,0.00114305983936986,-0.01727321920129287,0.060801909787409666,0.08620790823005847,0.0016148024701014814,0.0,0.0004163101527438725,-0.00012665924582297083,-0.0001490122173172693,-3.539039094000175e-05,0.00017508821637867775,0.0002952292765045343,3.073364707714024e-05
Y [m],0.0006911075663900297,-0.00018806746609835063,-0.00035384889665285085,-0.00021311576432612905,-1.4542229902558283e-05,5.3710692142543236e-05,0.0002876778857388665,3.4289921589248996e-05,-9.209407354808906e-05,0.0010923739950754261,-0.00031395912970722954,-0.00021090785672911474,-0.0007055873425832557,0.00048147712438692335,-0.00033877326933737234,0.000580862575093834,-0.0003811783412601474,0.0004890595374287299,0.0004389248376543555,-0.00045225401887292923,0.0003168678462640869,-0.0012737189238570896,-0.0003876483696186989,-0.0003084374574624836,0.0,1.0154312091238586e-05,-2.5945997254344625e-05,-2.385068441711383e-05,-1.5343650103560782e-05,1.017172928528018e-05,3.8374312597811354e-05,-3.94265980406179e-05
Z [m],0.009544385792274901,0.03990720120891837,0.02812570965238648,0.005841262000465509,0.0019018408848231463,0.008122173590909476,0.08128928385942914,-0.0527288023452479,-0.010069475288097231,-0.013646131378794021,0.015461946909811853,0.055053815771257834,0.009008049190660516,-0.018677802839255426,-0.020215825006443762,-0.010242264419274573,0.0074623452763825735,0.013032460446843612,-0.05091405052113553,0.02481747775164183,0.016046043589941824,0.05352260805992602,-0.05185970984164367,-0.05552977920024126,0.0,-9.712486437570918e-05,-0.0003930190648883612,0.0004097851167982228,0.00024586950139767264,-0.00012852310676463846,0.0012838282575890246,0.0014547259618264503
Vx [m/s],0.016364895187494413,0.006335773324241858,-0.1255028333205699,0.04800924196336927,-0.03513018970326666,-0.03347202337554674,0.06518881437313832,0.05481693578279211,0.009638276684071915,0.5578802980474076,-0.15473049293737215,0.009212072558805339,0.030385446361756777,-0.057705569161869294,0.09406093620454761,-0.04823315176768335,0.0716408914268515,-0.03748789213812589,-0.09900746216335615,0.03423223548809857,-0.05725528850447816,-0.6033277470353535,0.16148624194003788,-0.15631870975345763,0.0,0.006901960929441807,0.0034868931452698626,-0.005215445422411059,-0.00452995712111304,0.00659376310351458,-0.009816140612991643,-0.01003686407847823
Vy [m/s],0.006734864635362397,0.05397134908793658,-0.04142270151877664,0.006428130778611469,-0.00658978668978963,-0.018901770057804457,-0.12080165472854848,-0.07740945621136855,0.03085122436821703,0.05797347843892783,0.04801645859865567,-0.02900297294298094,-0.03754218670279952,0.027139748200734837,-0.0397467979253217,0.038706123103837864,-0.04357014735634669,0.05697801055635596,0.11668646672216657,-0.008900991730026998,0.05587169692455096,-0.2042417708023062,-0.032054772884191465,0.059622727885901554,0.0,0.0019918562781456738,-0.0028181762744372823,-0.0029358433545357437,0.0017897779521323614,0.0038562917191108147,0.0008685647716075883,-0.0016942132137435382
Vz [m/s],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Speed [m/s],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Opening Angle [°],-0.13681086014127614,0.05194877676695234,0.35362985540194863,0.045257534275612,-0.09998952292143069,0.08644967722274985,0.1720872281081168,-0.11735113025397918,-0.361015088471282,1.3795834121116617,0.5527246901760549,-0.13826455651015335,0.14700566616078878,-0.13241645155941478,-0.5533560551215091,-0.13879877723098022,0.17577600384923148,0.41373455524462033,-0.19798607891633757,0.13832352445714066,0.5742322721813359,-2.110828198733458,-0.7895129564617788,1.0357047714086842,0.0,0.4647103884612663,-0.008622208331647634,-0.0012777447789065496,0.02218409890746632,-0.014886259792814632,0.011442113525035961,0.01004710862748286
Roll Angle Left [°],-0.3152020161944014,0.08805004190660816,0.052271538026263525,0.07851451097226672,-0.07922432456184787,0.10891079164167895,0.48342170052605543,-0.11831375382257285,-0.4657578118794826,0.0429182345443241,-0.3628587856733696,0.7252453383259257,0.02994080433571381,-0.07938595381763638,-0.267302887815365,0.0697276204192397,0.0910582168463017,0.23286905492523535,-0.16736072764832685,0.10275948659582737,0.49693506981644714,0.13443388609381313,0.2803995927866991,-0.7673582407241066,0.0,-0.007406258645104882,0.4871915096030334,-0.004109922106814393,0.003047283150878056,-0.011172157224825773,0.042024478885164224,-0.012650388234395496
Roll Angle Right [°],0.5944911556110574,0.05729340237138413,-0.5759570439076712,-0.1590617453730294,0.05320505069331455,-0.042876143834494125,-0.2611659419460944,0.13453145130050892,0.30493854162413936,-0.6260541031598699,-0.35265741895093117,-0.15748383374110547,0.006852569770605955,0.07379477495425699,0.37400299521987435,-0.15774446750934648,-0.0830067361437797,-0.1676856197262924,-0.08114898672382498,-0.15653235098371215,-0.3327749340099186,0.949159954064296,0.033042111999909564,-0.21754565945527163,0.0,0.014370374946567002,-0.0003343191013556584,0.4912455012771762,-0.02114149275548153,0.005005852721221561,0.0012568781092095807,-0.033419930817592154
