,takeoff_Speed,mid_Speed,landing_Speed,takeoff_Tangent,mid_Tangent,landing_Tangent,takeoff_Cross,mid_Cross,landing_Cross,takeoff_Turbulence,mid_Turbulence,landing_Turbulence,takeoff_Speed_quad,mid_Speed_quad,landing_Speed_quad,takeoff_Tangent_quad,mid_Tangent_quad,landing_Tangent_quad,takeoff_Cross_quad,mid_Cross_quad,landing_Cross_quad,takeoff_Turbulence_quad,mid_Turbulence_quad,landing_Turbulence_quad,Speed [m/s],Opening Angle [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Stalling Angle Left [°],Stalling Angle Right [°]
X [m],0.015422954263499567,0.010252545442049375,0.006724340262797902,-0.0013974525461679394,-0.0005474685746544193,0.0011767583011312315,0.007483183498205712,-0.007668109154679202,-0.0007172414273064187,-0.008729804448943662,-0.010818494902064315,0.016893250945371873,-0.003538374986306508,-0.005778877205185134,-0.004731303184539935,-0.0010953493173632841,0.0030465284687889835,0.0022714787371671125,-0.006432217445301451,0.005551690590041325,0.0024148126153193707,0.01800424335609618,0.0113766228522485,-0.02901091813028734,0.000823252123578901,-0.00024668289887054453,-8.940707048522014e-05,-1.4901550839727947e-05,6.519264325968603e-05,-8.195632633279188e-05,3.445893864032844e-05,-8.754432550216338e-05
Y [m],0.0006456957736329721,8.485247648167076e-05,-0.0003159517357287336,-0.0002214211719801994,-1.410717191426698e-06,7.289529429240155e-05,0.0003996294681693816,-0.0001273126730430067,5.7848531216641975e-06,0.001222575154467073,-0.00034997481224051673,0.0001870855199429025,-0.0007245134084335719,0.0003653932931071611,-0.00041839493447606694,0.0006139676083873962,-0.0003427712040403025,0.0005483728596515952,0.0004337377895402959,-0.00035015578322226005,0.0003301684834565569,-0.001577156623964106,-0.00038374531949328595,-0.0010220780816678377,2.388637949467735e-06,6.841193309810789e-05,-2.8347289149303054e-05,-2.3355712369489663e-05,-7.382775439767455e-05,7.147903611270432e-05,4.669164357781322e-05,-3.7112842279777594e-05
Z [m],-0.002885367086220442,-0.0019907412390111883,-0.001711227320442264,4.777705372288364e-05,6.164146160657066e-07,-0.00012420793661063086,-0.0018375510478221392,0.0008369800872628591,0.000531581303499825,0.0037895721167642417,0.0048308116026464926,-0.0008510893727236423,0.0014743370963342843,0.0015803663163121609,0.0009258332106595482,-0.0005837275733893429,-0.000971823708998991,-0.0003719725935114268,0.0005893357075581177,-0.0013653876759456324,-0.0006982253456958042,-0.0076166850176105794,-0.005800572388057253,0.0025252233430344577,-0.00017768343638992104,-2.194345601059025e-05,1.6763852194350815e-05,-7.450678242819438e-06,4.563482259951869e-05,-3.352765668818933e-05,-2.5611373312937176e-05,3.2596291413609396e-06
Vx [m/s],0.3040677604715875,0.15232862939850544,0.05718294750569655,-0.004089752705435805,-0.0066170600445120105,0.013447667063311953,-0.02914737050511655,-0.04494325907295907,0.12995302905918496,-0.5107068544567616,-0.6747116548061762,0.299649236153541,-0.16519041479172375,-0.12132260507242816,0.16074983484366187,0.06791235181372965,0.07659002232796487,-0.1794159870506863,0.05716240981433012,0.10974617685859772,-0.2573706953479384,0.7307202430755937,0.7871229955752469,-0.7274121957893744,0.2516363663838576,0.007563562148901601,-0.0007953577595797822,-0.0008176874458680689,-0.006035901694975755,0.005802141594676398,0.0018026332275634667,-0.00015646219879293508
Vy [m/s],0.0033756949035297214,0.06138686632653856,-0.03834072858543181,0.0067148908925615146,-0.006761679024147497,-0.018391372153619967,-0.1257976286929443,-0.0774400146716884,0.030909690863777,0.0716373709639178,0.04095559437310621,-0.03349086397970642,-0.037713993298788696,0.025152678934306748,-0.04193104233869526,0.039650323865817204,-0.04356815964841872,0.057867120071177745,0.12126044787707536,-0.008720390748558899,0.05760656259831455,-0.2334894871334156,-0.023374759022829535,0.061176112786176996,-0.00045559313087894924,0.004152279759157603,-0.0028566369594200097,-0.0029052063625061445,-0.00040829448963977113,0.006118516592250169,0.001061913839744175,-0.00160716724205344
Vz [m/s],0.173246683673267,0.25220433890182964,0.15459888141037742,0.00897697246664905,0.006887453778214397,0.020698570119942958,0.2719713573572681,-0.21351950791763075,-0.02301919975115034,0.21409438261808814,0.3278308388814194,0.35506571790640573,-0.0005815494139750016,-0.05833618270433287,-0.1586902454770619,-0.05928949709556829,-0.017701032612836558,0.10848100000887752,-0.2058889188592332,0.05763826136507919,0.10128409573439072,-0.2146799467149973,-0.4875704959634698,-0.37969842414490756,-0.07427498490251733,0.0015772427403951236,-0.0015236468392236064,0.001004901053165653,-0.0014691647018660544,0.002565330144684792,0.0038042202595781967,0.003952882410069749
Speed [m/s],0.010308157888912551,0.0057210799614014225,-0.01471717737297728,0.005221050985590368,-0.0019276319886944308,-0.007147587786548959,0.005764902368207821,0.0052132774593107644,0.0035022599839061026,0.04274118763968168,-0.03238612606998099,-0.01875557561321553,0.0024771226390101586,-0.013457562206227243,0.01660257098807165,-0.008172883299854187,0.012430268373447264,-0.009321167742428057,-0.014339032253529515,0.009986306193798753,-0.013117474077844238,-0.019181207079547697,0.0300325117404896,0.008507836601437611,0.5000809795203066,0.0005191562060407837,0.0004861502681162188,-0.00036694004897327,-0.00027101427289452683,0.0002775334097186004,-0.001321546862934091,-0.0008463394233832582
Opening Angle [°],-0.17050759872671284,-0.2397320641537924,0.3250494072760459,0.06156030351962169,-0.10577546485700595,0.0898809066986163,0.3226124387872884,-0.10296407884706682,-0.48436008797764535,0.9830656685909936,0.6402836565118357,-0.4124808707897293,0.2468404238913841,-0.0441960091792994,-0.505953406921652,-0.21126966755758625,0.1740344139633835,0.39252788447042214,-0.3645785510663679,0.11489812165684253,0.6057935792050676,-1.2901848609570754,-0.9530435259443223,1.6689081404332446,0.03718461510236171,0.3891819932915396,-0.007331297893262719,-0.0008906303986382618,0.09844548002334556,-0.09394439737722383,0.005447189857513586,0.010488438837794975
Roll Angle Left [°],-0.45839196162596635,-0.05286727510599251,0.04493958855857028,0.09033574661340354,-0.08741983097498426,0.11793567653467919,0.4841310477732969,-0.0812846910677655,-0.553947713799194,-0.02795041484173304,-0.4258739322280285,0.5050485771562973,0.11095822135540594,-0.04043060372255087,-0.26112394254190635,0.04391649097583246,0.09841463116409076,0.23429892469434996,-0.18341512186526138,0.08545049327027349,0.5563857823790483,0.210483076857774,0.3404456650946122,-0.408480160739164,0.011231466916082887,-0.020655194724119467,0.48779221880371404,-0.0037374785342670818,0.015674178878098514,-0.02445046859657586,0.04072921400681755,-0.011696597096462064
Roll Angle Right [°],0.6827316196335721,0.1635218565214181,-0.5951671860843235,-0.17576037571534067,0.060225764171738576,-0.051160626976611535,-0.2723944599122047,0.09881493616286288,0.3987108933699182,-0.5943045057458983,-0.2108985715584189,0.00951715060005558,-0.049946422467739685,0.04625072151771351,0.36011267912995415,-0.13474227779802747,-0.09087544361416156,-0.1525985369835705,-0.06079890969984534,-0.14166980633062035,-0.3776139126162497,0.892109981808904,-0.11046161909859578,-0.48056168228560286,-0.012300820557534895,0.02609981097631166,-0.0013793240923262277,0.4908432946869724,-0.03240814145533075,0.017145195102005316,0.0026092750720549014,-0.035451493707125734
