Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-96.53,,0.0,-84.05,-0.0,45.21,,,,,,,,0.0,0.0,0.0,0.6,0.34,0.07,0.34,0.47,1.6,1.51,0.07,1.51,0.39,1.2,0.9,0.03,0.9,0.8,1.7,0.34,0.22,0.34,1.6,1.1,0.57,0.2,0.57,0.86,1.5,0.52,0.35,0.52,1.26,2.8,-0.31,0.0,-0.31,2.65,1.9,-0.6,0.2,-0.6,1.82,1.6,-1.23,0.09,-1.23,0.76,1.5,-0.89,0.51,-0.89,1.21,0.8,-0.21,0.09,-0.21,0.71,2.8,-2.34,0.34,-2.34,1.46
0.0,2.93,4.31,0.03,-0.0,-0.01,0.0,-11.5,-11.5,0.0,0.0,0.0,0.0,98.693,-20.079,100.715,1.0,0.42,0.24,0.42,0.71,2.1,1.72,0.43,1.72,0.97,1.2,0.89,0.06,0.89,0.79,1.6,0.95,0.25,0.95,1.22,1.2,0.46,0.03,0.46,1.13,0.9,-0.52,0.26,-0.52,0.54,2.9,-0.14,0.03,-0.14,2.89,1.7,-0.4,0.15,-0.4,1.65,1.3,-1.11,0.05,-1.11,0.72,1.6,-1.26,0.09,-1.26,0.86,0.9,-0.29,0.05,-0.29,0.83,2.6,-1.94,0.06,-1.94,1.71
1.0,2.9,4.483,1.34,-0.02,-0.19,2.4,-8.96,-9.558,-7.491,6.677,1.122,-1.288,97.302,-13.767,98.273,1.0,0.47,0.24,0.47,0.74,2.2,1.76,0.44,1.76,0.98,1.3,0.9,0.07,0.9,0.8,1.6,0.95,0.25,0.95,1.22,1.2,0.46,0.03,0.46,1.13,0.9,-0.52,0.26,-0.52,0.54,2.9,-0.14,0.03,-0.14,2.89,1.7,-0.4,0.15,-0.4,1.65,1.3,-1.11,0.05,-1.11,0.72,1.6,-1.26,0.09,-1.26,0.86,0.9,-0.29,0.05,-0.29,0.83,2.6,-1.94,0.06,-1.94,1.71
2.0,2.91,4.521,2.38,-0.02,-0.32,3.9,-5.425,-6.878,-4.545,6.518,2.04,-1.913,97.26,-11.04,97.887,1.0,0.47,0.24,0.47,0.74,2.2,1.76,0.44,1.76,0.98,1.3,0.9,0.07,0.9,0.8,1.6,0.95,0.25,0.95,1.22,1.2,0.46,0.03,0.46,1.13,0.9,-0.52,0.26,-0.52,0.54,2.9,-0.14,0.03,-0.14,2.89,1.7,-0.4,0.15,-0.4,1.65,1.3,-1.11,0.05,-1.11,0.72,1.6,-1.26,0.09,-1.26,0.86,0.9,-0.29,0.05,-0.29,0.83,2.6,-1.94,0.06,-1.94,1.71
3.0,2.95,4.56,3.42,-0.04,-0.44,5.7,-1.381,-4.021,1.862,0.945,3.27,-2.887,98.521,-10.471,99.079,1.0,0.47,0.24,0.47,0.74,2.2,1.76,0.44,1.76,0.98,1.3,0.9,0.07,0.9,0.8,1.6,0.95,0.25,0.95,1.22,1.2,0.46,0.03,0.46,1.13,0.9,-0.52,0.26,-0.52,0.54,2.9,-0.14,0.03,-0.14,2.89,1.7,-0.4,0.15,-0.4,1.65,1.3,-1.11,0.05,-1.11,0.72,1.6,-1.26,0.09,-1.26,0.86,0.9,-0.29,0.05,-0.29,0.83,2.6,-1.94,0.06,-1.94,1.71
4.0,3.01,4.598,4.46,-0.07,-0.56,7.2,3.473,-0.945,0.052,-0.654,4.772,-4.662,99.079,-12.397,99.856,1.0,0.47,0.24,0.47,0.74,2.2,1.76,0.44,1.76,0.98,1.3,0.9,0.07,0.9,0.8,1.6,0.95,0.25,0.95,1.22,1.2,0.46,0.03,0.46,1.13,0.9,-0.52,0.26,-0.52,0.54,2.9,-0.14,0.03,-0.14,2.89,1.7,-0.4,0.15,-0.4,1.65,1.3,-1.11,0.05,-1.11,0.72,1.6,-1.26,0.09,-1.26,0.86,0.9,-0.29,0.05,-0.29,0.83,2.6,-1.94,0.06,-1.94,1.71
5.0,3.05,4.636,5.49,-0.07,-0.71,11.8,5.385,2.024,1.54,-2.198,7.0,-6.375,99.134,-13.45,100.047,1.0,0.47,0.24,0.47,0.74,2.2,1.76,0.44,1.76,0.98,1.3,0.9,0.07,0.9,0.8,1.6,0.95,0.25,0.95,1.22,1.2,0.46,0.03,0.46,1.13,0.9,-0.52,0.26,-0.52,0.54,2.9,-0.14,0.03,-0.14,2.89,1.7,-0.4,0.15,-0.4,1.65,1.3,-1.11,0.05,-1.11,0.72,1.6,-1.26,0.09,-1.26,0.86,0.9,-0.29,0.05,-0.29,0.83,2.6,-1.94,0.06,-1.94,1.71
6.0,3.11,4.673,6.53,-0.06,-0.86,16.6,7.157,4.987,3.183,-3.738,9.261,-8.085,99.165,-14.463,100.22,1.0,0.47,0.24,0.47,0.74,2.2,1.76,0.44,1.76,0.98,1.3,0.9,0.07,0.9,0.8,1.6,0.95,0.25,0.95,1.22,1.2,0.46,0.03,0.46,1.13,0.9,-0.52,0.26,-0.52,0.54,2.9,-0.14,0.03,-0.14,2.89,1.7,-0.4,0.15,-0.4,1.65,1.3,-1.11,0.05,-1.11,0.72,1.6,-1.26,0.09,-1.26,0.86,0.9,-0.29,0.05,-0.29,0.83,2.6,-1.94,0.06,-1.94,1.71
7.0,3.18,4.71,7.56,-0.06,-1.01,21.1,8.578,7.479,4.803,-4.395,11.512,-9.817,99.222,-15.775,100.474,1.0,0.47,0.24,0.47,0.74,2.2,1.76,0.44,1.76,0.98,1.3,0.9,0.07,0.9,0.8,1.6,1.03,0.22,1.03,1.17,1.3,0.5,0.09,0.5,1.19,0.9,-0.61,0.24,-0.61,0.51,2.9,-0.1,0.03,-0.1,2.91,1.8,-0.51,0.03,-0.51,1.74,1.4,-1.1,0.01,-1.1,0.79,1.6,-1.27,0.09,-1.27,0.86,0.8,-0.3,0.01,-0.3,0.77,2.7,-1.99,0.01,-1.99,1.72
8.0,3.24,4.747,8.59,-0.07,-1.19,25.0,9.04,8.685,6.357,-2.641,13.738,-11.609,99.35,-17.907,100.957,1.0,0.47,0.24,0.47,0.74,2.2,1.76,0.44,1.76,0.98,1.3,0.9,0.07,0.9,0.8,1.6,1.03,0.22,1.03,1.17,1.3,0.5,0.09,0.5,1.19,0.9,-0.61,0.24,-0.61,0.51,2.9,-0.1,0.03,-0.1,2.91,1.8,-0.51,0.03,-0.51,1.74,1.4,-1.1,0.01,-1.1,0.79,1.6,-1.27,0.09,-1.27,0.86,0.8,-0.3,0.01,-0.3,0.77,2.7,-1.99,0.01,-1.99,1.72
