Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-93.55,,0.0,-81.43,0.0,43.11,,,,,,,,0.0,0.0,0.0,0.7,0.59,0.15,0.59,0.29,2.0,1.91,0.32,1.91,0.52,1.5,0.94,0.03,0.94,0.91,1.3,1.08,0.01,1.08,0.64,1.7,1.22,0.05,1.22,1.12,1.6,1.28,0.23,1.28,0.78,3.0,0.62,0.24,0.62,2.66,1.8,1.5,0.06,1.5,0.99,1.7,1.52,0.05,1.52,0.7,1.2,-0.41,0.06,-0.41,1.12,0.1,-0.03,0.17,-0.03,0.07,0.5,0.0,0.07,0.0,0.48
0.0,2.93,4.174,0.06,0.0,-0.01,0.0,,-11.5,,0.0,,0.0,94.342,-19.194,96.275,1.1,0.91,0.13,0.91,0.45,1.4,1.33,0.29,1.33,0.19,1.7,1.28,0.15,1.28,0.98,1.8,1.54,0.08,1.54,0.96,1.7,1.55,0.1,1.55,0.59,1.5,0.42,0.14,0.42,1.39,1.9,-0.16,0.52,-0.16,1.82,2.0,1.86,0.03,1.86,0.68,2.1,1.37,0.09,1.37,1.47,1.0,0.38,0.08,0.38,0.58,0.4,0.34,0.21,0.34,0.21,0.7,-0.42,0.19,-0.42,0.12
1.0,2.86,4.339,1.34,-0.0,-0.22,2.9,,-9.933,,2.394,,-1.581,95.224,-13.596,96.192,1.1,0.91,0.11,0.91,0.45,1.4,1.33,0.27,1.33,0.16,2.0,1.55,0.38,1.55,0.99,1.6,1.3,0.18,1.3,0.99,1.6,1.5,0.04,1.5,0.59,1.4,0.24,0.23,0.24,1.31,1.8,-0.2,0.44,-0.2,1.76,2.0,1.93,0.05,1.93,0.62,2.1,1.39,0.04,1.39,1.4,1.1,0.55,0.01,0.55,0.71,0.5,0.49,0.31,0.49,0.16,0.6,-0.43,0.07,-0.43,0.3
2.0,2.88,4.408,2.38,-0.01,-0.35,4.2,,-6.487,,2.602,,-2.337,92.546,-11.045,93.206,1.1,0.91,0.11,0.91,0.45,1.4,1.33,0.27,1.33,0.16,2.0,1.55,0.38,1.55,0.99,1.6,1.3,0.18,1.3,0.99,1.6,1.5,0.04,1.5,0.59,1.4,0.24,0.23,0.24,1.31,1.8,-0.2,0.44,-0.2,1.76,2.0,1.93,0.05,1.93,0.62,2.1,1.39,0.04,1.39,1.4,1.1,0.55,0.01,0.55,0.71,0.5,0.49,0.31,0.49,0.16,0.6,-0.43,0.07,-0.43,0.3
3.0,2.93,4.448,3.41,-0.02,-0.46,7.9,,-2.825,,-2.2,,-3.382,95.037,-9.25,95.492,1.1,0.91,0.11,0.91,0.45,1.4,1.33,0.27,1.33,0.16,2.0,1.55,0.38,1.55,0.99,1.6,1.3,0.18,1.3,0.99,1.6,1.5,0.04,1.5,0.59,1.4,0.24,0.23,0.24,1.31,1.8,-0.2,0.44,-0.2,1.76,2.0,1.93,0.05,1.93,0.62,2.1,1.39,0.04,1.39,1.4,1.1,0.55,0.01,0.55,0.71,0.5,0.49,0.31,0.49,0.16,0.6,-0.43,0.07,-0.43,0.3
4.0,2.97,4.487,4.45,-0.04,-0.61,12.2,,0.874,,-0.342,,-4.941,95.163,-11.942,95.918,1.1,0.91,0.11,0.91,0.45,1.4,1.33,0.27,1.33,0.16,2.0,1.55,0.38,1.55,0.99,1.6,1.3,0.18,1.3,0.99,1.6,1.5,0.04,1.5,0.59,1.4,0.24,0.23,0.24,1.31,1.8,-0.2,0.44,-0.2,1.76,2.0,1.93,0.05,1.93,0.62,2.1,1.39,0.04,1.39,1.4,1.1,0.55,0.01,0.55,0.71,0.5,0.49,0.31,0.49,0.16,0.6,-0.43,0.07,-0.43,0.3
5.0,3.01,4.527,5.49,-0.06,-0.75,14.6,,4.573,,1.65,,-6.511,95.241,-14.726,96.385,1.1,0.91,0.11,0.91,0.45,1.4,1.33,0.27,1.33,0.16,2.0,1.55,0.38,1.55,0.99,1.6,1.3,0.18,1.3,0.99,1.6,1.5,0.04,1.5,0.59,1.4,0.24,0.23,0.24,1.31,1.8,-0.2,0.44,-0.2,1.76,2.0,1.93,0.05,1.93,0.62,2.1,1.39,0.04,1.39,1.4,1.1,0.55,0.01,0.55,0.71,0.5,0.49,0.31,0.49,0.16,0.6,-0.43,0.07,-0.43,0.3
6.0,3.06,4.566,6.52,-0.07,-0.9,16.7,,7.618,,1.036,,-8.224,95.012,-15.953,96.358,1.1,0.91,0.11,0.91,0.45,1.4,1.33,0.27,1.33,0.16,2.0,1.55,0.38,1.55,0.99,1.6,1.3,0.18,1.3,0.99,1.6,1.5,0.04,1.5,0.59,1.4,0.24,0.23,0.24,1.31,1.8,-0.2,0.44,-0.2,1.76,2.0,1.93,0.05,1.93,0.62,2.1,1.39,0.04,1.39,1.4,1.1,0.55,0.01,0.55,0.71,0.5,0.49,0.31,0.49,0.16,0.6,-0.43,0.07,-0.43,0.3
7.0,3.12,4.605,7.55,-0.09,-1.07,19.3,,9.494,,-2.074,,-10.145,94.557,-15.643,95.862,1.1,0.91,0.11,0.91,0.45,1.4,1.33,0.27,1.33,0.16,2.0,1.55,0.38,1.55,0.99,1.6,1.3,0.18,1.3,0.99,1.6,1.5,0.04,1.5,0.59,1.4,0.24,0.23,0.24,1.31,1.8,-0.2,0.44,-0.2,1.76,2.0,1.93,0.05,1.93,0.62,2.1,1.39,0.04,1.39,1.4,1.1,0.55,0.01,0.55,0.71,0.5,0.49,0.31,0.49,0.16,0.6,-0.43,0.07,-0.43,0.3
8.0,3.17,4.644,8.57,-0.12,-1.25,25.8,,9.786,,-0.538,,-12.167,94.996,-17.884,96.698,1.1,0.91,0.11,0.91,0.45,1.4,1.33,0.27,1.33,0.16,2.0,1.55,0.38,1.55,0.99,1.6,1.3,0.18,1.3,0.99,1.6,1.5,0.04,1.5,0.59,1.4,0.24,0.23,0.24,1.31,1.8,-0.2,0.44,-0.2,1.76,2.0,1.93,0.05,1.93,0.62,2.1,1.39,0.04,1.39,1.4,1.1,0.55,0.01,0.55,0.71,0.5,0.49,0.31,0.49,0.16,0.6,-0.43,0.07,-0.43,0.3
